id,fr,retro_es,nota
c026,Windows voit l'iPod mais n'a pas de pilote pour lui. Installez « Appareils Apple » depuis le Microsoft Store (ou iTunes d'Apple) puis rebranchez-le : Aura Studio a besoin de ce pilote pour parler à l'iPod en mode DFU.,Windows ve el iPod pero no tiene un controlador para él. Instale «Dispositivos Apple» desde Microsoft Store (o iTunes de Apple) y vuelva a conectarlo: Aura Studio necesita ese controlador para comunicarse con el iPod en modo DFU.,
c027,"Le pilote d'appareils d'Apple est introuvable. Installez « Appareils Apple » depuis le Microsoft Store (ou iTunes) avant de continuer : sans lui, Windows ne peut pas parler à l'iPod en mode DFU.","No se encuentra el controlador de dispositivos de Apple. Instale «Dispositivos Apple» desde Microsoft Store (o iTunes) antes de continuar: sin él, Windows no puede comunicarse con el iPod en modo DFU.",
c028,Windows reconnaît « {0} » et son pilote fonctionne.,Windows reconoce «{0}» y su controlador funciona.,
c029,L'état du pilote n'a pas pu être vérifié.,No se pudo comprobar el estado del controlador.,
c030,Une opération est déjà en train d'écrire sur l'iPod. Attendez qu'elle se termine avant d'en lancer une autre.,Ya hay una operación escribiendo en el iPod. Espere a que termine antes de iniciar otra.,
c031,"Les fichiers du micrologiciel n'ont pas pu être vérifiés, donc rien n'est installé.","No se pudieron verificar los archivos del firmware, así que no se instala nada.",
c032,Écrit. En attente du redémarrage de l'iPod et de sa réapparition…,Escrito. Esperando el reinicio del iPod y que vuelva a aparecer…,
c033,Commencer,Comenzar,
c034,Opération annulée.,Operación cancelada.,
c035,{0} fichier écrit sur l'iPod.,{0} archivo escrito en el iPod.,
c036,{0} fichiers écrits sur l'iPod.,{0} archivos escritos en el iPod.,
c037,Le micrologiciel n'a pas pu être copié sur l'iPod.,No se pudo copiar el firmware al iPod.,
c038,Copier le micrologiciel,Copiar el firmware,
c039,Copie du micrologiciel sur l'iPod…,Copiando el firmware al iPod…,
c040,Vérifiez ces informations avec attention. Ce qui suit efface le contenu du disque affiché ici.,Revise esta información con atención. Lo que sigue borra el contenido del disco que se muestra aquí.,
c041,Confirmez qu'il s'agit bien de votre iPod,Confirme que este es su iPod,
c042,Aura Studio l'a reconnu au branchement. Voulez-vous y installer un micrologiciel ? Rien ne se passe tant que vous n'avez pas choisi.,Aura Studio lo reconoció al conectarlo. ¿Quiere instalarle un firmware? No pasa nada mientras no elija.,
c043,Pas maintenant,Ahora no,
c044,"Oui, installer","Sí, instalar",
c045,Votre iPod est en mode DFU,Su iPod está en modo DFU,
c046,iPod détecté en mode DFU.,iPod detectado en modo DFU.,
c047,iPod détecté en mode DFU (état {0}).,iPod detectado en modo DFU (estado {0}).,
c048,Guide de flashage et de restauration (dépôt du micrologiciel),Guía de flasheo y restauración (repositorio del firmware),
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,"URL sin traducir; la propia ruta ya está en español, así que probablemente no cambia entre idiomas"
c050,Aucun micrologiciel n'est disponible à installer : le dossier des artefacts n'a pas été rempli.,No hay ningún firmware disponible para instalar: la carpeta de artefactos no se llenó.,
c051,Aucun iPod en mode DFU n'est encore visible. Refaites la combinaison de boutons et relancez la recherche. N'oubliez pas de continuer à appuyer après que l'écran devient noir.,Todavía no se ve ningún iPod en modo DFU. Repita la combinación de botones y vuelva a buscar. No olvide seguir presionando después de que la pantalla se ponga negra.,
c052,"Le pilote d'Apple est installé, mais Windows ne voit aucun appareil Apple. Si vous avez déjà fait la combinaison de boutons et que l'écran de l'iPod est noir, il est probablement en mode DFU et sa connexion USB n'arrive pas jusqu'ici. Sur une machine virtuelle, vérifiez que l'iPod en mode DFU est bien redirigé vers Windows : en passant en DFU il change d'identifiant USB et il faut parfois l'autoriser à nouveau.","El controlador de Apple está instalado, pero Windows no ve ningún dispositivo Apple. Si ya hizo la combinación de botones y la pantalla del iPod está negra, probablemente esté en modo DFU y su conexión USB no está llegando hasta aquí. En una máquina virtual, compruebe que el iPod en modo DFU se esté redirigiendo bien a Windows: al pasar a DFU cambia su identificador USB y a veces hay que volver a autorizarlo.",
c053,"Si votre iPod lit de la musique, arrêtez la lecture.","Si su iPod está reproduciendo música, detenga la reproducción.",
c054,Maintenez SELECT + MENU enfoncés en même temps.,Mantenga presionados SELECT + MENU al mismo tiempo.,
c055,"Continuez à appuyer sur les deux boutons pendant environ 12 secondes, jusqu'après que l'écran devient noir.","Siga presionando los dos botones durante unos 12 segundos, hasta después de que la pantalla se ponga negra.",
c056,Relâchez. Aura Studio détectera le mode DFU automatiquement.,Suelte. Aura Studio detectará el modo DFU automáticamente.,
c057,"Si vous relâchez avant environ 12 secondes, l'iPod redémarre normalement et n'entre PAS en mode DFU. L'écran qui devient noir n'est pas le signal pour relâcher : continuez à appuyer après cela.","Si suelta antes de unos 12 segundos, el iPod reinicia normalmente y NO entra en modo DFU. La pantalla que se pone negra no es la señal para soltar: siga presionando después de eso.",
c058,L'état de l'iPod n'a pas pu être lu. Vérifiez ci-dessous si le pilote d'Apple manque.,No se pudo leer el estado del iPod. Compruebe abajo si falta el controlador de Apple.,
c059,En attente du mode DFU…,Esperando el modo DFU…,
c060,Le micrologiciel est installé. Éjectez l'iPod depuis Général avant de le débrancher.,El firmware está instalado. Expulse el iPod desde General antes de desconectarlo.,"Sin comillas alrededor de ""Général"", a diferencia del alemán que sí usaba comillas para ""Allgemein"""
c061,Terminé,Listo,
c062,Répéter sans écrire,Ensayar sin escribir,"""Répéter"" es literalmente ""Repetir""; traducido por sentido (ensayo/simulacro de la operación) para que combine con el resto de la sección, no de forma literal"
c063,Répétition terminée — le disque n'a pas été touché,Ensayo terminado: el disco no se tocó,
c064,La répétition s'est bien passée : le disque a été vérifié à nouveau avec les droits d'administrateur et le plan de formatage est valide. Rien n'a encore été écrit.,El ensayo salió bien: el disco se volvió a comprobar con permisos de administrador y el plan de formateo es válido. Todavía no se ha escrito nada.,
c065,Répétition de la préparation du disque…,Ensayando la preparación del disco…,
c066,Mettez maintenant l'iPod en mode DFU,Ponga el iPod en modo DFU ahora,
c067,C'est le moment : le disque est prêt et l'étape suivante écrit le bootloader. L'iPod doit rester branché en USB pendant l'opération.,Este es el momento: el disco está listo y el siguiente paso escribe el bootloader. El iPod debe permanecer conectado por USB durante la operación.,
c068,Impossible de continuer,No se pudo continuar,
c069,"Cet iPod a {0} d'installé et vous allez installer {1}. {0} est conservé en entier, avec ses réglages, et vous pouvez y revenir depuis Extras quand vous voulez.","Este iPod tiene {0} instalado y usted va a instalar {1}. {0} se conserva por completo, con sus ajustes, y puede volver a él desde Extras cuando quiera.",
c070,Micrologiciel à installer,Firmware a instalar,
c071,Écrire le bootloader,Escribir el bootloader,
c072,Je comprends que cela remplace le bootloader d'origine d'Apple et que cela ne peut pas être annulé sans le restaurer.,Entiendo que esto reemplaza el bootloader original de Apple y que no se puede deshacer sin restaurarlo.,
c073,Le bootloader n'a pas pu être écrit.,No se pudo escribir el bootloader.,
c074,Votre confirmation manque avant d'écrire le bootloader. Aura Studio n'écrit rien sans que vous confirmiez d'abord.,Falta su confirmación antes de escribir el bootloader. Aura Studio no escribe nada sin que usted confirme antes.,
c075,Écriture du bootloader sur l'iPod…,Escribiendo el bootloader en el iPod…,
c076,Je comprends que tout le contenu de {0} sera effacé.,Entiendo que se borrará todo el contenido de {0}.,
c077,La répétition ci-dessus n'a rien touché. Ce qui suit efface tout le contenu du disque et ne peut pas être annulé. Vérifiez qu'il s'agit du bon iPod avant de continuer.,El ensayo de arriba no tocó nada. Lo que sigue borra todo el contenido del disco y no se puede deshacer. Compruebe que sea el iPod correcto antes de continuar.,
c078,Cette étape efface réellement l'iPod,Este paso sí borra el iPod,
c079,Votre confirmation manque avant d'effacer l'iPod. Aura Studio ne formate rien sans que vous confirmiez d'abord sur quel disque il va agir.,Falta su confirmación antes de borrar el iPod. Aura Studio no formatea nada sin que usted confirme antes en qué disco va a actuar.,
c080,La préparation du disque doit d'abord être répétée. Cela vérifie tout sans rien écrire.,La preparación del disco se tiene que ensayar primero. Con eso se comprueba todo sin escribir nada.,
c081,Effacer et formater {0},Borrar y formatear {0},
c082,Formatage du disque de l'iPod…,Formateando el disco del iPod…,
c083,L'iPod n'a aucun volume que Windows puisse lire. Préparez le disque avant de copier les fichiers.,El iPod no tiene ningún volumen que Windows pueda leer. Prepare el disco antes de copiar los archivos.,
c084,Aucun iPod n'est branché. Branchez-le en USB et attendez que Windows le reconnaisse.,No hay ningún iPod conectado. Conéctelo por USB y espere a que Windows lo reconozca.,
c085,"Compris, continuer","Entendido, continuar",
c086,"Pour préparer le disque de l'iPod, Windows vous demandera les droits d'administrateur avec sa propre invite. Aura Studio fait tout depuis ici : vous n'aurez jamais à ouvrir une console ni à taper une commande. Les droits ne sont demandés que pour deux choses précises — formater le disque de l'iPod et, pendant l'écriture du bootloader, suspendre le service Apple qui pourrait garder le port USB. Chaque utilisation est consignée dans le journal de l'application.","Para preparar el disco del iPod, Windows le pedirá permisos de administrador con su propio aviso. Aura Studio hace todo desde aquí: usted nunca tendrá que abrir una consola ni escribir un comando. Los permisos se piden solo para dos cosas concretas: formatear el disco del iPod y, mientras se escribe el bootloader, suspender el servicio de Apple que podría retener el puerto USB. Cada uso queda registrado en el historial de la aplicación.",
c087,Autorisations nécessaires,Permisos necesarios,
c088,Préparer le disque,Preparar el disco,
c089,Ce qu'a fait l'opération avec droits élevés,Qué hizo la operación con permisos elevados,
c090,L'iPod est sorti du mode DFU. Vous pouvez copier le micrologiciel.,El iPod salió del modo DFU. Ya puede copiar el firmware.,
c091,Recommencer,Volver a empezar,
c092,Aura Studio s'est arrêté par sécurité avant de toucher au disque : {0}.,"Por seguridad, Aura Studio se detuvo antes de tocar el disco: {0}.",
c093,Rechercher l'iPod en DFU,Buscar el iPod en DFU,
c094,Recherche de l'iPod en mode DFU…,Buscando el iPod en modo DFU…,
c095,L'iPod est toujours en mode DFU et l'installation n'a pas été confirmée. Ne le débranchez pas : relancez la recherche.,El iPod todavía está en modo DFU y la instalación no se confirmó. No lo desconecte: vuelva a buscarlo.,
c096,"Installez le micrologiciel sur votre iPod, étape par étape","Instale el firmware en su iPod, paso a paso",
c097,Programme d'installation,Programa de instalación,
c098,"Le numéro de disque de « {0} » n'a pas pu être identifié, donc rien n'est touché.","No se pudo identificar el número de disco de «{0}», así que no se toca nada.",
c099,"Aura Studio va préparer le disque de votre iPod, écrire le bootloader et copier le micrologiciel. Chaque étape est expliquée avant d'être exécutée, et rien n'est touché tant que vous n'avez pas confirmé.","Aura Studio va a preparar el disco de su iPod, escribir el bootloader y copiar el firmware. Cada paso se explica antes de ejecutarse, y nada se toca mientras usted no haya confirmado.",
c100,Installons le micrologiciel sur votre iPod,Instalemos el firmware en su iPod,
c101,"L'installation efface tout ce qui se trouve sur l'iPod et remplace son bootloader d'origine d'Apple. Si de la musique n'existe que là, copiez-la ailleurs avant.","La instalación borra todo lo que hay en el iPod y reemplaza su bootloader original de Apple. Si tiene música que solo existe ahí, cópiela a otro lugar antes.",
c102,{0} fichier orphelin supprimé.,{0} archivo huérfano eliminado.,
c103,{0} fichiers orphelins supprimés.,{0} archivos huérfanos eliminados.,
c104,Supprimer {0} fichier orphelin ?,¿Eliminar {0} archivo huérfano?,
c105,Supprimer {0} fichiers orphelins ?,¿Eliminar {0} archivos huérfanos?,
c106,{0} fichier orphelin ({1}).,{0} archivo huérfano ({1}).,
c107,{0} fichiers orphelins ({1}).,{0} archivos huérfanos ({1}).,
c108,Supprimer,Eliminar,Idéntico a c109/c110
c109,Supprimer,Eliminar,Idéntico a c108/c110
c110,Supprimer,Eliminar,Idéntico a c108/c109
c111,Supprimer l'album,Eliminar el álbum,
c112,Supprimer les albums,Eliminar los álbumes,
c113,Supprimer l'artiste,Eliminar el artista,
c114,Supprimer les artistes,Eliminar los artistas,
c115,Supprimer de la bibliothèque,Eliminar de la biblioteca,
c116,Supprimer la pochette,Eliminar la carátula,
c117,Supprimer l'épisode,Eliminar el episodio,
c118,Supprimer les épisodes,Eliminar los episodios,
c119,Supprimer les photos de la bibliothèque,Eliminar las fotos de la biblioteca,
c120,Supprimer le film,Eliminar la película,
c121,Supprimer les films,Eliminar las películas,
c122,Supprimer la série,Eliminar la serie,
c123,Supprimer les séries,Eliminar las series,
c124,Retirer de l'album,Quitar del álbum,
c125,Retirer des favoris,Quitar de favoritos,
c126,Retirer des favoris,Quitar de favoritos,
c127,Retirer des favoris,Quitar de favoritos,"c125/c126/c127 son las TRES idénticas en francés; en alemán c125 era distinta (""Favorit entfernen"", singular) de c126/c127 -- podría indicar que el francés unificó tres claves que el alemán distinguía, o al revés"
c128,Retirer la photo de l'artiste,Quitar la foto del artista,
c129,Retirer les photos des artistes,Quitar las fotos de los artistas,
c130,Retirer l'affiche,Quitar el póster,"""affiche"" es más literalmente ""cartel""; traducido como ""póster"" por consistencia con el resto del vocabulario de películas/series"
c131,"L'appareil a changé depuis votre confirmation. Par sécurité, rien n'a été écrit.","El dispositivo cambió desde su confirmación. Por seguridad, no se ha escrito nada.",
c132,"Appareil vérifié : {0}, {1}, {2}","Dispositivo verificado: {0}, {1}, {2}",
c133,"Plus d'un iPod est candidat. Par sécurité, aucun n'a été choisi.","Hay más de un iPod candidato. Por seguridad, no se eligió ninguno.",
c134,L'iPod a disparu. Rien n'a été écrit.,El iPod desapareció. No se ha escrito nada.,
c135,Le volume de l'iPod n'est pas monté.,El volumen del iPod no está montado.,
c136,Annuler,Cancelar,
c137,{0} fichier copié dans la bibliothèque.,{0} archivo copiado a la biblioteca.,
c138,{0} fichiers copiés dans la bibliothèque.,{0} archivos copiados a la biblioteca.,
c139,{0} n'a pas pu être copié.,No se pudo copiar {0}.,
c140,{0} n'ont pas pu être copiés.,No se pudieron copiar {0}.,
c141,{0} a été ignoré parce que son fichier est absent ; il reste dans le catalogue.,{0} se omitió porque falta su archivo; se queda en el catálogo.,
c142,{0} ont été ignorés parce que leurs fichiers sont absents ; ils restent dans le catalogue.,{0} se omitieron porque faltan sus archivos; se quedan en el catálogo.,
c143,Copie de {0} fichier dans la bibliothèque…,Copiando {0} archivo a la biblioteca…,
c144,Copie de {0} fichiers dans la bibliothèque…,Copiando {0} archivos a la biblioteca…,
c145,{0} fichier préparé porte l'ancien nom,{0} archivo preparado tiene el nombre antiguo,
c146,{0} fichiers préparés portent l'ancien nom,{0} archivos preparados tienen el nombre antiguo,
c147,les étiquettes de {0} morceau ont été écrites,se escribieron las etiquetas de {0} canción,"Empieza en minúscula, mismo patrón fragmentario que el alemán c147"
c148,les étiquettes de {0} morceaux ont été écrites,se escribieron las etiquetas de {0} canciones,"Misma nota que c147"
c149,{0} élément ne dit pas encore si son fichier est une copie d'Aura ou le vôtre,{0} elemento todavía no dice si su archivo es una copia de Aura o suyo,"A diferencia del alemán (c149 empezaba en minúscula, fragmento), este SÍ empieza en mayúscula -- podría ser una frase independiente en francés y un fragmento concatenado en alemán, o el francés recompuso el fragmento en oración completa"
c150,{0} éléments ne disent pas encore si leurs fichiers sont des copies d'Aura ou les vôtres,{0} elementos todavía no dicen si sus archivos son copias de Aura o suyos,"Misma nota que c149"
c151,Qualité audio,Calidad de audio,
c152,Compresser en MP3 de bonne qualité,Comprimir a MP3 de buena calidad,
c153,Rechercher les orphelins,Buscar huérfanos,
c154,Nettoyer les fichiers orphelins,Limpiar archivos huérfanos,
c155,"Ils ne sont liés à aucun élément de votre bibliothèque ; les supprimer n'affecte aucun morceau, aucune photo et aucune vidéo que vous ayez.","No están vinculados a ningún elemento de su biblioteca; eliminarlos no afecta ninguna canción, foto ni video que usted tenga.",
c156,"Fichiers préparés et pochettes qui n'appartiennent plus à aucun élément de votre bibliothèque — issus d'éléments supprimés avant cette version, ou d'un retraitement. Ce ne sont pas vos fichiers d'origine : ce sont des copies techniques qu'Aura crée toute seule et peut recréer si besoin.","Archivos preparados y carátulas que ya no pertenecen a ningún elemento de su biblioteca — provenientes de elementos eliminados antes de esta versión, o de un reprocesamiento. No son sus archivos originales: son copias técnicas que Aura crea sola y puede volver a crear si hace falta.",
c157,Il n'y a aucun fichier orphelin : rien à nettoyer.,No hay ningún archivo huérfano: nada que limpiar.,
c158,Fichiers orphelins,Archivos huérfanos,
c159,Qualité d'image,Calidad de imagen,
c160,Changer de dossier ne déplace rien,Cambiar de carpeta no mueve nada,
c161,Dossier de la bibliothèque,Carpeta de la biblioteca,
c162,"Aura Studio se met à utiliser le nouveau dossier et lit la bibliothèque qui s'y trouve (ou démarre à vide s'il n'y en a aucune). Votre bibliothèque précédente reste intacte là où elle était, et revient si vous choisissez de nouveau ce dossier.","Aura Studio pasa a usar la carpeta nueva y lee la biblioteca que hay ahí (o empieza vacía si no hay ninguna). Su biblioteca anterior queda intacta donde estaba, y vuelve si elige esa carpeta de nuevo.",
c163,"Dossiers externes que vous avez déposés avec la copie désactivée. Aura n'en copie rien, il se contente de les retenir. En retirer un de cette liste ne supprime ni ne délie ce que vous en avez déjà importé : cela cesse simplement de l'afficher.","Carpetas externas que usted arrastró con la copia desactivada. Aura no copia nada de ahí, solo las recuerda. Quitar una de esta lista no borra ni desvincula lo que ya importó de ahí: solo deja de mostrarse.",
c164,Copier les médias dans le dossier de la bibliothèque,Copiar los medios a la carpeta de la biblioteca,
c165,Conserver le format d'origine (recommandé),Mantener el formato original (recomendado),
c166,Migrer la bibliothèque,Migrar la biblioteca,Idéntico a c172
c167,Migrer depuis une version antérieure,Migrar desde una versión anterior,
c168,"Économiser de l'espace (320 px, recommandé)","Ahorrar espacio (320 px, recomendado)",
c169,Version HD (640 px),Versión HD (640 px),
c170,Les WAV et les AIFF sont toujours convertis,Los WAV y los AIFF siempre se convierten,
c171,Cette bibliothèque vient d'une version antérieure,Esta biblioteca viene de una versión anterior,
c172,Migrer la bibliothèque,Migrar la biblioteca,Idéntico a c166
c173,{0} élément retiré de la bibliothèque.,{0} elemento retirado de la biblioteca.,
c174,{0} éléments retirés de la bibliothèque.,{0} elementos retirados de la biblioteca.,
c175,Modifier ce réglage n'affecte que ce que vous importerez à partir de maintenant : ce qui est déjà dans votre bibliothèque reste tel quel.,Modificar este ajuste solo afecta lo que usted importe a partir de ahora: lo que ya está en su biblioteca se queda igual.,
c176,"Copier dans la bibliothèque Aura : Aura gère les fichiers, modifie leurs étiquettes et les synchronise directement ; cela occupe de l'espace disque (une copie) ; vous pouvez supprimer vos originaux ensuite.","Copiar a la biblioteca de Aura: Aura administra los archivos, modifica sus etiquetas y los sincroniza directamente; esto ocupa espacio en disco (una copia); puede eliminar sus originales después.",
c177,"Les référencer sur place : aucun espace supplémentaire et vos fichiers ne sont jamais touchés ; Aura garde une version préparée à côté (.preparados/), les modifications ne vivent que dans Aura et sur l'iPod, et si le disque d'origine est absent, ces morceaux ne peuvent pas être synchronisés.","Referenciarlos en su lugar: sin espacio adicional y sus archivos nunca se tocan; Aura guarda una versión preparada aparte (.preparados/), los cambios viven solo en Aura y en el iPod, y si falta el disco original, esas canciones no se pueden sincronizar.",
c178,Comment stocker votre musique,Cómo guardar su música,
