id,ja,retro_es,nota
d020,ファイルのコピー中に iPod が外れました。ファームウェア一式は小さなファイルが数千個あり、USB では数分かかることがあります。ケーブルを確認し（USB ハブを使っている場合は外してください）、もう一度お試しください。すでにコピーした分は失われず、続きから再開します。,"El iPod se desconectó durante la copia de archivos. El firmware completo son miles de archivos pequeños, y por USB puede tardar varios minutos. Revise el cable (si usa un concentrador USB, quítelo) y vuelva a intentarlo. Lo que ya se copió no se pierde, y continúa desde donde quedó.",
d021,接続された iPod が見つかりませんでした。,No se encontró ningún iPod conectado.,
d022,iPod はファームウェアを受け取りましたが、適用したという確認は返ってきませんでした。まだ DFUモードのままです。Windows が iTunes か Appleデバイスを開いて iPod を復元モードで表示している場合は、「復元」に触れずに閉じてください（触れると Apple の元のファームウェアが再インストールされます）。そのうえで、もう一度お試しください。iPod はすでに DFUモードなので、次はすぐこの手順まで進むはずです。,"El iPod recibió el firmware, pero no llegó a confirmar que lo aplicó. Sigue en modo DFU. Si Windows abrió iTunes o Dispositivos Apple y muestra el iPod en modo de recuperación, ciérrelo sin tocar «Restaurar» (si lo toca, se reinstalará el firmware original de Apple). Después de eso, vuelva a intentarlo: el iPod ya está en modo DFU, así que debería llegar rápido de nuevo a este mismo paso.",「」→ «»
d023,Windows には DFUモードの iPod 用のドライバーがないため、Aura Studio は通信できません。Microsoft Store から Appleデバイス（または iTunes）をインストールするか、Zadig でこのデバイスに WinUSB ドライバーを割り当ててください。権限の手順で、どちらの方法も説明しています。,"Como Windows no tiene un controlador para el iPod en modo DFU, Aura Studio no puede comunicarse con él. Instale Dispositivos Apple (o iTunes) desde Microsoft Store, o asigne el controlador WinUSB a este dispositivo con Zadig. El paso de permisos explica las dos formas.","""Appleデバイス"" sin espacio, confirmado contra la ficha real de la tienda (verificado en esta corrida, ver DECISIONS)"
d024,DFUモードの iPod を時間内に検出できませんでした。ボタン操作をもう一度お試しください。,No se pudo detectar a tiempo el iPod en modo DFU. Vuelva a intentar la combinación de botones.,
d026,あなたの iPod かもしれないディスクが {0} 台見つかりました。安全のため、Aura Studio はどれかを勝手に選びません。ほかの外付けディスクを取り外して、もう一度お試しください。,Se encontraron {0} discos que podrían ser su iPod. Por seguridad Aura Studio no elige ninguno por su cuenta. Desconecte los demás discos externos y vuelva a intentarlo.,"sin fila ""d025""/.one, esperado: el japonés no distingue número"
d027,"デュアルブートには、iPod が Apple の元のファームウェアを ""winpod"" 形式で保持している必要があります。つまり、Apple のファームウェアのパーティションがそのまま残った MBR のパーティションテーブルと、FAT32 のパーティションです。これは、Windows の PC で iTunes が復元したときに作られる形式です。この iPod は Mac の形式（Rockbox が読めない Apple/HFS のパーティション）か、ディスクが読み取れない状態です。ここから準備すると、元のファームウェアも含めてディスク全体が消えます。iTunes か Appleデバイスで iPod を復元してからデュアルブートをやり直すか、Apple のファームウェアを残す必要がなければファームウェアだけをインストールしてください。","Para el arranque dual, el iPod necesita conservar el firmware original de Apple en formato ""winpod"": es decir, una tabla de particiones MBR con la partición del firmware de Apple intacta, más una partición FAT32. Este es el formato que se crea cuando iTunes restaura el iPod en una PC con Windows. Este iPod está en formato Mac (particiones Apple/HFS, que Rockbox no puede leer), o su disco no se puede leer. Prepararlo desde aquí borraría el disco entero, incluido el firmware original. Restaure el iPod con iTunes o Dispositivos Apple y vuelva a intentar el arranque dual, o bien instale solo el firmware si no necesita conservar el de Apple.",
d028,この Release のファームウェアは不完全です。rockbox.zip に {0} がありません。このままでは iPod で映像か音声が使えません。接続の問題ではありません。後でもう一度試すか、この Release に不備があることを知らせてください。,"El firmware de este Release está incompleto. En rockbox.zip falta {0}. Así, el iPod se quedaría sin video o sin audio. No es un problema de conexión. Vuelva a intentarlo más tarde, o informe que este Release tiene un defecto.",
d029,ファームウェアのファイルに成果物 {0} がありません。scripts\FirmwareFetch.ps1 をもう一度実行してください。,Entre los archivos del firmware falta el artefacto {0}. Vuelva a ejecutar scripts\FirmwareFetch.ps1.,
d030,処理はコード {0} で終了しました: {1},El proceso terminó con el código {0}: {1},
d031,{0} の最新バージョンをダウンロードできませんでした: {1} Aura Studio に含まれているバージョンを使います。,No se pudo descargar la versión más reciente de {0}: {1} Se usará la versión incluida en Aura Studio.,
d032,Release {0} には {1} がないため、そこからはインストールできません。Aura Studio に含まれているバージョンを使います。,"Como el Release {0} no tiene {1}, no se puede instalar desde ahí. Se usará la versión incluida en Aura Studio.",
d033,iPod が FAT32 でフォーマットされていません。続ける前に変換してください。,El iPod no está formateado en FAT32. Conviértalo antes de continuar.,
d034,認証をキャンセルしました。この許可がないと、この手順は続けられません。,Se canceló la autenticación. Sin ese permiso este paso no se puede continuar.,
d035,ディスク番号 {0} は範囲外です。,El número de disco {0} está fuera de rango.,
d036,確認が完了しました。ディスクを再確認し、フォーマットの計画も問題ありません。何も書き込んでいません。,"Se completó la comprobación. Se volvió a comprobar el disco, y el plan de formateo también está bien. No se ha escrito nada.","""確認"" (comprobar), consistente con el cambio ya hecho en B7c"
d037,ボリュームのラベルが空になりました。,La etiqueta del volumen quedó vacía.,
d038,iPod を FAT32 でフォーマットしました。,Se formateó el iPod en FAT32.,
d039,要求に想定されるディスクのサイズが入っていないため、再確認できません。,"Como en la solicitud no está el tamaño de disco esperado, no se puede volver a comprobar.",
d040,サイズの許容範囲を負の値にはできません。,El margen de tolerancia de tamaño no puede ser un valor negativo.,
d041,管理者権限での処理が、結果を残さずに終わりました。何かを行ったかどうかを確かめられないため、続行しません。,"La operación con permisos de administrador terminó sin dejar un resultado. Como no se puede confirmar si hizo algo, no se continúa.",
d042,管理者の許可を要求できませんでした: {0},No se pudo solicitar el permiso de administrador: {0},
d043,要求を読み取れませんでした。,No se pudo leer la solicitud.,
d044,処理の結果を読み取れませんでした。,No se pudo leer el resultado del proceso.,
d045,自動で戻す仕組みを用意できなかったため、サービスは停止していません。,"Como no se pudo preparar el mecanismo para revertir automáticamente, el servicio no se detuvo.","ver nota comparativa en criticas2-de-retro.csv (d045): ja habla de ""revertir/restaurar"" (戻す), no de ""reiniciar"" -- coincide con fr/ru, matiz frente a de"
d046,Apple のサービスはすでに動いていました。,El servicio de Apple ya estaba funcionando.,
d047,Apple のサービスはすでに停止していました。,El servicio de Apple ya estaba detenido.,
d048,Apple のサービスは停止できません。,El servicio de Apple no se puede detener.,
d049,このコンピューターには、一時停止する Apple のサービスがありません。,En esta computadora no hay ningún servicio de Apple que pausar.,
d050,Apple のサービスを再び開始しました。,Se volvió a iniciar el servicio de Apple.,
d051,書き込みのあいだ、Apple のサービスを停止しました。,Se detuvo el servicio de Apple mientras se escribía.,
d052,Apple のサービスから時間内に応答がありませんでした。,El servicio de Apple no respondió a tiempo.,
d053,不明な特権操作です。,Es una operación privilegiada desconocida.,
