id,ru
c099,"Aura Studio подготовит диск вашего iPod, запишет загрузчик и скопирует прошивку. Каждый шаг объясняется до того, как он выполняется, и ничего не затрагивается, пока вы не подтвердите."
c100,Установим прошивку на ваш iPod
c101,"Установка стирает всё, что есть на iPod, и заменяет его исходный загрузчик Apple. Если какая-то музыка есть только там, скопируйте её заранее."
c102,Удалён {0} потерянный файл.
c103.few,Удалено {0} потерянных файла.
c103.many,Удалено {0} потерянных файлов.
c104,Удалить {0} потерянный файл?
c105.few,Удалить {0} потерянных файла?
c105.many,Удалить {0} потерянных файлов?
c106,{0} потерянный файл ({1}).
c107.few,{0} потерянных файла ({1}).
c107.many,{0} потерянных файлов ({1}).
c108,Удалить
c109,Удалить
c110,Удалить
c111,Удалить альбом
c112,Удалить альбомы
c113,Удалить исполнителя
c114,Удалить исполнителей
c115,Удалить из медиатеки
c116,Удалить обложку
c117,Удалить эпизод
c118,Удалить эпизоды
c119,Удалить фото из медиатеки
c120,Удалить фильм
c121,Удалить фильмы
c122,Удалить сериал
c123,Удалить сериалы
c124,Убрать из альбома
c125,Убрать из избранного
c126,Убрать из избранного
c127,Убрать из избранного
c128,Убрать фото исполнителя
c129.few,Убрать фото исполнителей
c129.many,Убрать фото исполнителей
c130,Убрать постер
c131,Устройство изменилось с момента подтверждения. В целях безопасности ничего не было записано.
c132,"Устройство проверено: {0}, {1}, {2}"
c133,Подходит больше одного iPod. В целях безопасности не выбран ни один.
c134,iPod исчез. Ничего не было записано.
c135,Том iPod не подключён.
c136,Отмена
c137,{0} файл скопирован в медиатеку.
c138.few,{0} файла скопировано в медиатеку.
c138.many,{0} файлов скопировано в медиатеку.
c139,{0} не удалось скопировать.
c140.few,{0} не удалось скопировать.
c140.many,{0} не удалось скопировать.
c141,"{0} пропущен, потому что его файла нет; он остаётся в каталоге."
c142.few,"{0} пропущены, потому что их файлов нет; они остаются в каталоге."
c142.many,"{0} пропущены, потому что их файлов нет; они остаются в каталоге."
c143,Копирование {0} файла в медиатеку…
c144.few,Копирование {0} файлов в медиатеку…
c144.many,Копирование {0} файлов в медиатеку…
c145,{0} подготовленный файл использует старое имя
c146.few,{0} подготовленных файла используют старое имя
c146.many,{0} подготовленных файлов используют старое имя
c147,записаны теги {0} композиции
c148.few,записаны теги {0} композиций
c148.many,записаны теги {0} композиций
c149,"{0} элемент пока не сообщает, его файл — копия Aura или ваш"
c150.few,"{0} элемента пока не сообщают, их файлы — копии Aura или ваши"
c150.many,"{0} элементов пока не сообщают, их файлы — копии Aura или ваши"
c151,Качество звука
c152,Сжимать в MP3 хорошего качества
c153,Найти потерянные файлы
c154,Очистить потерянные файлы
c155,"Они не связаны ни с одним элементом вашей медиатеки; их удаление не затронет ни одной композиции, ни одного фото и ни одного видео из ваших."
c156,"Подготовленные файлы и обложки, которые больше не принадлежат ни одному элементу вашей медиатеки — от элементов, удалённых до этой версии, или от повторной обработки. Это не ваши исходные файлы: это технические копии, которые Aura делает сама и может сделать заново, если понадобится."
c157,Потерянных файлов нет: очищать нечего.
c158,Потерянные файлы
c159,Качество изображения
c160,Смена папки ничего не перемещает
c161,Папка медиатеки
c162,"Aura Studio начинает использовать новую папку и читает ту медиатеку, которая там есть (или начинает с пустой, если её нет). Ваша прежняя медиатека остаётся нетронутой там, где была, и вернётся, если вы снова выберете ту папку."
c163,"Внешние папки, которые вы перетащили при выключенном копировании. Aura ничего оттуда не копирует, она лишь их запоминает. Убрать одну из этого списка не удаляет и не отвязывает то, что вы уже оттуда импортировали: она просто перестаёт показываться."
c164,Копировать медиафайлы в папку медиатеки
c165,Сохранять исходный формат (рекомендуется)
c166,Перенести медиатеку
c167,Перенести из более ранней версии
c168,"Экономить место (320 px, рекомендуется)"
c169,HD-версия (640 px)
c170,WAV и AIFF преобразуются всегда
c171,Эта медиатека осталась от более ранней версии
c172,Перенести медиатеку
c173,{0} элемент убран из медиатеки.
c174.few,{0} элемента убраны из медиатеки.
c174.many,{0} элементов убраны из медиатеки.
c175,"Изменение этой настройки влияет только на то, что вы импортируете начиная с этого момента: то, что уже в вашей медиатеке, остаётся как есть."
c176,"Копировать в медиатеку Aura: Aura управляет файлами, правит их теги и синхронизирует напрямую; занимает место на диске (одна копия); свои оригиналы вы можете удалить потом."
c177,"Ссылаться на месте: не занимает лишнего места и не трогает ваши файлы; Aura держит подготовленную версию рядом (.preparados/), правки живут только в Aura и на iPod, а если исходного диска нет, эти композиции нельзя синхронизировать."
c178,Как хранить вашу музыку
