id,ru,retro_es,nota
c016,"Загрузчик — это программа, которая работает до прошивки, на отдельной от диска микросхеме. В этой версии он новый, с другим экраном запуска.","El bootloader es el programa que funciona antes que el firmware, en un chip separado del disco. En esta versión es nuevo, con otra pantalla de inicio.",
c017,"Режим DFU нужен потому, что эту микросхему нельзя записать никак иначе.",El modo DFU es necesario porque ese chip no se puede escribir de ninguna otra manera.,
c018,{0} файл ({1}) отправится в Корзину.,{0} archivo ({1}) irá a la Papelera.,
c019.few,{0} файла ({1}) отправятся в Корзину.,{0} archivos ({1}) irán a la Papelera.,
c019.many,{0} файлов ({1}) отправятся в Корзину.,{0} archivos ({1}) irán a la Papelera.,
c020,{0} элемент удаляется из вашей медиатеки; его исходный файл не затрагивается.,{0} elemento se elimina de su biblioteca; su archivo original no se toca.,
c021.few,{0} элемента удаляются из вашей медиатеки; их исходные файлы не затрагиваются.,{0} elementos se eliminan de su biblioteca; sus archivos originales no se tocan.,
c021.many,{0} элементов удаляются из вашей медиатеки; их исходные файлы не затрагиваются.,{0} elementos se eliminan de su biblioteca; sus archivos originales no se tocan.,
c022,Удалить {0} элемент?,¿Eliminar {0} elemento?,
c023.few,Удалить {0} элемента?,¿Eliminar {0} elementos?,
c023.many,Удалить {0} элементов?,¿Eliminar {0} elementos?,
c024,Драйвер для режима DFU,Controlador para el modo DFU,
c025,Драйвер Apple установлен. iPod в режиме DFU пока не виден.,El controlador de Apple está instalado. Todavía no se ve ningún iPod en modo DFU.,
c026,"Windows видит iPod, но не имеет для него драйвера. Установите «Устройства Apple» из Microsoft Store (или iTunes от Apple) и подключите его заново: Aura Studio нужен этот драйвер, чтобы общаться с iPod в режиме DFU.","Windows ve el iPod, pero no tiene un controlador para él. Instale «Dispositivos Apple» desde Microsoft Store (o iTunes de Apple) y vuelva a conectarlo: Aura Studio necesita ese controlador para comunicarse con el iPod en modo DFU.",
c027,"Драйвер устройств Apple не найден. Установите «Устройства Apple» из Microsoft Store (или iTunes), прежде чем продолжать: без него Windows не может общаться с iPod в режиме DFU.","No se encontró el controlador de dispositivos de Apple. Instale «Dispositivos Apple» desde Microsoft Store (o iTunes) antes de continuar: sin él, Windows no puede comunicarse con el iPod en modo DFU.",
c028,"Windows распознаёт «{0}», и его драйвер работает.","Windows reconoce «{0}», y su controlador funciona.",
c029,Не удалось узнать состояние драйвера.,No se pudo conocer el estado del controlador.,
c030,"На iPod уже идёт запись. Дождитесь её окончания, прежде чем начинать другую операцию.","El iPod ya está siendo escrito. Espere a que termine antes de iniciar otra operación.",
c031,"Файлы прошивки не удалось проверить, поэтому ничего не устанавливается.","No se pudieron verificar los archivos del firmware, así que no se instala nada.",
c032,Записано. Ожидание перезапуска iPod и его повторного появления…,Escrito. Esperando el reinicio del iPod y que vuelva a aparecer…,
c033,Начать,Comenzar,"Ambiguo sin contexto: podría ser ""Iniciar""/""Empezar"", igual que en de/fr"
c034,Операция отменена.,Operación cancelada.,
c035,{0} файл записан на iPod.,{0} archivo escrito en el iPod.,
c036.few,{0} файла записано на iPod.,{0} archivos escritos en el iPod.,
c036.many,{0} файлов записано на iPod.,{0} archivos escritos en el iPod.,
c037,Не удалось скопировать прошивку на iPod.,No se pudo copiar el firmware al iPod.,
c038,Скопировать прошивку,Copiar el firmware,
c039,Копирование прошивки на iPod…,Copiando el firmware al iPod…,
c040,"Внимательно проверьте эти данные. То, что последует дальше, стирает содержимое показанного здесь диска.","Revise con atención estos datos. Lo que sigue borra el contenido del disco que se muestra aquí.",
c041,"Подтвердите, что это ваш iPod",Confirme que este es su iPod,
c042,"Aura Studio распознала его при подключении. Хотите установить на него прошивку? Ничего не произойдёт, пока вы не выберете.",Aura Studio lo reconoció al conectarlo. ¿Quiere instalarle un firmware? No pasará nada hasta que elija.,
c043,Не сейчас,Ahora no,
c044,"Да, установить","Sí, instalar",
c045,Ваш iPod в режиме DFU,Su iPod está en modo DFU,
c046,iPod обнаружен в режиме DFU.,iPod detectado en modo DFU.,
c047,iPod обнаружен в режиме DFU (состояние {0}).,iPod detectado en modo DFU (estado {0}).,
c048,Руководство по прошивке и восстановлению (репозиторий прошивки),Guía de flasheo y restauración (repositorio del firmware),
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,"URL sin traducir; la propia ruta ya está en español, así que probablemente no cambia entre idiomas"
c050,"Нет прошивки, доступной для установки: папка артефактов не заполнена.",No hay firmware disponible para instalar: la carpeta de artefactos no se llenó.,
c051,"iPod в режиме DFU пока не виден. Повторите сочетание кнопок и выполните поиск снова. Не забывайте продолжать удерживать после того, как экран погаснет.","Todavía no se ve ningún iPod en modo DFU. Repita la combinación de botones y busque de nuevo. No olvide seguir presionando después de que la pantalla se apague.",
c052,"Драйвер Apple установлен, но Windows не видит ни одного устройства Apple. Если вы уже выполнили сочетание кнопок и экран iPod чёрный, он, скорее всего, в режиме DFU, а его USB-подключение сюда не доходит. На виртуальной машине проверьте, что iPod в режиме DFU перенаправлен в Windows: при переходе в DFU он меняет USB-идентификатор, и его может потребоваться разрешить заново.","El controlador de Apple está instalado, pero Windows no ve ningún dispositivo Apple. Si ya hizo la combinación de botones y la pantalla del iPod está negra, probablemente esté en modo DFU y su conexión USB no está llegando hasta aquí. En una máquina virtual, compruebe que el iPod en modo DFU esté redirigido a Windows: al pasar a DFU cambia su identificador USB, y puede hacer falta autorizarlo de nuevo.",
c053,"Если ваш iPod играет музыку, остановите воспроизведение.","Si su iPod está reproduciendo música, detenga la reproducción.",
c054,Удерживайте SELECT + MENU одновременно.,Mantenga presionados SELECT + MENU al mismo tiempo.,
c055,"Продолжайте удерживать обе кнопки около 12 секунд, до момента после того, как экран погаснет.","Siga presionando ambos botones durante unos 12 segundos, hasta después de que la pantalla se apague.",
c056,Отпустите. Aura Studio определит режим DFU автоматически.,Suelte. Aura Studio detectará el modo DFU automáticamente.,
c057,"Если отпустить раньше примерно 12 секунд, iPod перезапустится обычным образом и НЕ войдёт в режим DFU. Погасший экран — не сигнал отпускать: продолжайте удерживать после этого.","Si suelta antes de unos 12 segundos, el iPod reiniciará de forma normal y NO entrará en modo DFU. La pantalla apagada no es la señal para soltar: siga presionando después de eso.",
c058,"Не удалось прочитать состояние iPod. Проверьте ниже, не отсутствует ли драйвер Apple.",No se pudo leer el estado del iPod. Compruebe abajo si falta el controlador de Apple.,
c059,Ожидание режима DFU…,Esperando el modo DFU…,
c060,"Прошивка установлена. Извлеките iPod из раздела Общее, прежде чем отключать его.",El firmware está instalado. Expulse el iPod desde la sección General antes de desconectarlo.,
c061,Готово,Listo,
c062,Проверить без записи,Comprobar sin escribir,"""Проверить"" es literalmente ""comprobar/verificar"", distinto de la elección léxica en de/fr (""ensayar""/""proben""/""répéter""→""simuler""); en ruso el concepto se vierte como verificación, más cerca de ""revisar"" que de ""simular"""
c063,Проверка завершена — диск не затронут,Comprobación terminada: el disco no se tocó,
c064,"Проверка прошла хорошо: диск был повторно проверен с правами администратора, и план форматирования верен. Пока ничего не записано.","La comprobación salió bien: el disco se volvió a comprobar con permisos de administrador, y el plan de formateo es válido. Todavía no se ha escrito nada.",
c065,Проверка подготовки диска…,Comprobando la preparación del disco…,
c066,Теперь переведите iPod в режим DFU,Ahora ponga el iPod en modo DFU,
c067,"Вот этот момент: диск готов, и дальше записывается загрузчик. iPod должен оставаться подключённым по USB всё это время.","Este es el momento: el disco está listo, y a continuación se escribe el bootloader. El iPod debe permanecer conectado por USB todo este tiempo.",
c068,Не удалось продолжить,No se pudo continuar,
c069,"На этом iPod установлено {0}, а вы собираетесь установить {1}. {0} сохраняется целиком, со своими настройками, и вы можете вернуться к нему из раздела Дополнения когда захотите.","Este iPod tiene instalado {0}, y usted va a instalar {1}. {0} se conserva por completo, con sus ajustes, y puede volver a él desde la sección Extras cuando quiera.",
c070,Прошивка для установки,Firmware para instalar,
c071,Записать загрузчик,Escribir el bootloader,
c072,"Я понимаю, что это заменяет исходный загрузчик Apple и что это нельзя отменить, не восстановив его.",Entiendo que esto reemplaza el bootloader original de Apple y que no se puede deshacer sin restaurarlo.,
c073,Не удалось записать загрузчик.,No se pudo escribir el bootloader.,
c074,"Не хватает вашего подтверждения перед записью загрузчика. Aura Studio ничего не записывает, пока вы не подтвердите.",Falta su confirmación antes de escribir el bootloader. Aura Studio no escribe nada hasta que usted confirme.,
c075,Запись загрузчика на iPod…,Escribiendo el bootloader en el iPod…,
c076,"Я понимаю, что всё содержимое {0} будет стёрто.",Entiendo que todo el contenido de {0} será borrado.,
c077,"Проверка выше ничего не затронула. То, что последует дальше, стирает всё содержимое диска, и это нельзя отменить. Убедитесь, что это нужный iPod, прежде чем продолжать.","La comprobación de arriba no tocó nada. Lo que sigue borra todo el contenido del disco, y esto no se puede deshacer. Asegúrese de que sea el iPod correcto antes de continuar.",
c078,Вот этот шаг действительно стирает iPod,Este paso sí borra el iPod,
c079,"Не хватает вашего подтверждения перед стиранием iPod. Aura Studio ничего не форматирует, пока вы не подтвердите, с каким диском она будет работать.","Falta su confirmación antes de borrar el iPod. Aura Studio no formatea nada hasta que usted confirme con qué disco va a trabajar.",
c080,"Сначала нужно выполнить проверку подготовки диска. Она проверяет всё, ничего не записывая.","Primero hay que hacer la comprobación de la preparación del disco. Esta comprueba todo, sin escribir nada.",
c081,Стереть и отформатировать {0},Borrar y formatear {0},
c082,Форматирование диска iPod…,Formateando el disco del iPod…,
c083,"У iPod нет тома, который Windows может прочитать. Подготовьте диск, прежде чем копировать файлы.","El iPod no tiene ningún volumen que Windows pueda leer. Prepare el disco antes de copiar los archivos.",
c084,"Ни один iPod не подключён. Подключите его по USB и дождитесь, пока Windows его распознает.","No hay ningún iPod conectado. Conéctelo por USB y espere a que Windows lo reconozca.",
c085,"Понятно, продолжить","Entendido, continuar",
c086,"Чтобы подготовить диск iPod, Windows запросит у вас права администратора собственным окном. Aura Studio делает всё отсюда: вам никогда не придётся открывать консоль или набирать команду. Права запрашиваются только для двух конкретных вещей — отформатировать диск iPod и, во время записи загрузчика, приостановить службу Apple, которая может занять USB-порт. Каждое использование записывается в журнал приложения.","Para preparar el disco del iPod, Windows le pedirá permisos de administrador con su propia ventana. Aura Studio hace todo desde aquí: usted nunca tendrá que abrir una consola ni escribir un comando. Los permisos se piden solo para dos cosas concretas: formatear el disco del iPod y, durante la escritura del bootloader, suspender el servicio de Apple que podría ocupar el puerto USB. Cada uso queda registrado en el historial de la aplicación.",
c087,Необходимые разрешения,Permisos necesarios,
c088,Подготовить диск,Preparar el disco,
c089,Что сделала операция с повышенными правами,Qué hizo la operación con permisos elevados,
c090,iPod вышел из режима DFU. Теперь можно копировать прошивку.,El iPod salió del modo DFU. Ahora puede copiar el firmware.,
c091,Начать заново,Empezar de nuevo,
c092,"Aura Studio остановилась в целях безопасности, не тронув диск: {0}.","Por seguridad, Aura Studio se detuvo sin tocar el disco: {0}.",
c093,Найти iPod в режиме DFU,Buscar el iPod en modo DFU,
c094,Поиск iPod в режиме DFU…,Buscando el iPod en modo DFU…,
c095,"iPod всё ещё в режиме DFU, и установка не была подтверждена. Не отключайте его: выполните поиск снова.",El iPod todavía está en modo DFU y la instalación no se confirmó. No lo desconecte: vuelva a buscarlo.,
c096,"Установите прошивку на ваш iPod, шаг за шагом","Instale el firmware en su iPod, paso a paso",
c097,Установщик,Instalador,
c098,"Не удалось определить номер диска «{0}», поэтому ничего не затрагивается.","No se pudo determinar el número de disco de «{0}», así que no se toca nada.",
c099,"Aura Studio подготовит диск вашего iPod, запишет загрузчик и скопирует прошивку. Каждый шаг объясняется до того, как он выполняется, и ничего не затрагивается, пока вы не подтвердите.","Aura Studio preparará el disco de su iPod, escribirá el bootloader y copiará el firmware. Cada paso se explica antes de ejecutarse, y nada se toca hasta que usted confirme.",
c100,Установим прошивку на ваш iPod,Instalemos el firmware en su iPod,
c101,"Установка стирает всё, что есть на iPod, и заменяет его исходный загрузчик Apple. Если какая-то музыка есть только там, скопируйте её заранее.","La instalación borra todo lo que hay en el iPod y reemplaza su bootloader original de Apple. Si tiene música que solo existe ahí, cópiela de antemano.",
c102,Удалён {0} потерянный файл.,Se eliminó {0} archivo perdido.,"El ruso dice ""perdido"" (потерянный), no ""huérfano"" como el resto de idiomas -- traducido fiel al ruso, no a la metáfora esperada"
c103.few,Удалено {0} потерянных файла.,Se eliminaron {0} archivos perdidos.,
c103.many,Удалено {0} потерянных файлов.,Se eliminaron {0} archivos perdidos.,
c104,Удалить {0} потерянный файл?,¿Eliminar {0} archivo perdido?,
c105.few,Удалить {0} потерянных файла?,¿Eliminar {0} archivos perdidos?,
c105.many,Удалить {0} потерянных файлов?,¿Eliminar {0} archivos perdidos?,
c106,{0} потерянный файл ({1}).,{0} archivo perdido ({1}).,
c107.few,{0} потерянных файла ({1}).,{0} archivos perdidos ({1}).,
c107.many,{0} потерянных файлов ({1}).,{0} archivos perdidos ({1}).,
c108,Удалить,Eliminar,Idéntico a c109/c110
c109,Удалить,Eliminar,Idéntico a c108/c110
c110,Удалить,Eliminar,Idéntico a c108/c109
c111,Удалить альбом,Eliminar el álbum,
c112,Удалить альбомы,Eliminar los álbumes,
c113,Удалить исполнителя,Eliminar el artista,
c114,Удалить исполнителей,Eliminar los artistas,
c115,Удалить из медиатеки,Eliminar de la biblioteca,
c116,Удалить обложку,Eliminar la carátula,
c117,Удалить эпизод,Eliminar el episodio,
c118,Удалить эпизоды,Eliminar los episodios,
c119,Удалить фото из медиатеки,Eliminar las fotos de la biblioteca,
c120,Удалить фильм,Eliminar la película,
c121,Удалить фильмы,Eliminar las películas,
c122,Удалить сериал,Eliminar la serie,
c123,Удалить сериалы,Eliminar las series,
c124,Убрать из альбома,Quitar del álbum,
c125,Убрать из избранного,Quitar de favoritos,
c126,Убрать из избранного,Quitar de favoritos,
c127,Убрать из избранного,Quitar de favoritos,"Las tres idénticas en ruso, igual que en francés; en alemán la primera traía un texto distinto"
c128,Убрать фото исполнителя,Quitar la foto del artista,
c129.few,Убрать фото исполнителей,Quitar las fotos de los artistas,
c129.many,Убрать фото исполнителей,Quitar las fotos de los artistas,
c130,Убрать постер,Quitar el póster,
c131,"Устройство изменилось с момента подтверждения. В целях безопасности ничего не было записано.","El dispositivo cambió desde la confirmación. Por seguridad, no se escribió nada.",
c132,"Устройство проверено: {0}, {1}, {2}","Dispositivo verificado: {0}, {1}, {2}",
c133,"Подходит больше одного iPod. В целях безопасности не выбран ни один.","Hay más de un iPod candidato. Por seguridad, no se eligió ninguno.",
c134,iPod исчез. Ничего не было записано.,El iPod desapareció. No se escribió nada.,
c135,Том iPod не подключён.,El volumen del iPod no está montado.,"""Том"" = volumen lógico, coincide con el término nuevo del glosario (distinto de ""диск"" = disco físico, igual que en la retro alemana)"
c136,Отмена,Cancelar,
c137,{0} файл скопирован в медиатеку.,{0} archivo copiado a la biblioteca.,
c138.few,{0} файла скопировано в медиатеку.,{0} archivos copiados a la biblioteca.,
c138.many,{0} файлов скопировано в медиатеку.,{0} archivos copiados a la biblioteca.,
c139,{0} не удалось скопировать.,No se pudo copiar {0}.,
c140.few,{0} не удалось скопировать.,No se pudieron copiar {0}.,"Igual en ruso para .few y .many -- construcción impersonal, el verbo no concuerda en número con el objeto, correcto"
c140.many,{0} не удалось скопировать.,No se pudieron copiar {0}.,Igual que c140.few (ver su nota)
c141,"{0} пропущен, потому что его файла нет; он остаётся в каталоге.",{0} se omitió porque no tiene su archivo; se queda en el catálogo.,
c142.few,"{0} пропущены, потому что их файлов нет; они остаются в каталоге.",{0} se omitieron porque no tienen sus archivos; se quedan en el catálogo.,
c142.many,"{0} пропущены, потому что их файлов нет; они остаются в каталоге.",{0} se omitieron porque no tienen sus archivos; se quedan en el catálogo.,Idéntico a c142.few en ruso
c143,Копирование {0} файла в медиатеку…,Copiando {0} archivo a la biblioteca…,
c144.few,Копирование {0} файлов в медиатеку…,Copiando {0} archivos a la biblioteca…,"Idéntico a .many en ruso -- correcto: en el genitivo que rige ""Копирование"", 2-4 y 5+ colapsan en la misma forma (""файлов""), a diferencia de contextos nominativos como c019 donde sí se distinguen"
c144.many,Копирование {0} файлов в медиатеку…,Copiando {0} archivos a la biblioteca…,Idéntico a c144.few (ver su nota)
c145,{0} подготовленный файл использует старое имя,{0} archivo preparado usa el nombre antiguo,
c146.few,{0} подготовленных файла используют старое имя,{0} archivos preparados usan el nombre antiguo,
c146.many,{0} подготовленных файлов используют старое имя,{0} archivos preparados usan el nombre antiguo,
c147,записаны теги {0} композиции,se escribieron las etiquetas de {0} canción,"Empieza en minúscula, mismo patrón fragmentario que de/fr; ""композиции"" es el término que hay que contrastar (ver hallazgo de terminología)"
c148.few,записаны теги {0} композиций,se escribieron las etiquetas de {0} canciones,
c148.many,записаны теги {0} композиций,se escribieron las etiquetas de {0} canciones,Idéntico a c148.few en ruso (genitivo plural sirve para 2-4 y 5+ en este contexto)
c149,"{0} элемент пока не сообщает, его файл — копия Aura или ваш",{0} elemento todavía no dice si su archivo es una copia de Aura o suyo,"A diferencia del alemán (empezaba en minúscula, fragmento), este SÍ empieza en mayúscula, igual que el francés"
c150.few,"{0} элемента пока не сообщают, их файлы — копии Aura или ваши",{0} elementos todavía no dicen si sus archivos son copias de Aura o suyos,
c150.many,"{0} элементов пока не сообщают, их файлы — копии Aura или ваши",{0} elementos todavía no dicen si sus archivos son copias de Aura o suyos,
c151,Качество звука,Calidad de audio,
c152,Сжимать в MP3 хорошего качества,Comprimir a MP3 de buena calidad,
c153,Найти потерянные файлы,Buscar archivos perdidos,
c154,Очистить потерянные файлы,Limpiar archivos perdidos,
c155,"Они не связаны ни с одним элементом вашей медиатеки; их удаление не затронет ни одной композиции, ни одного фото и ни одного видео из ваших.","No están vinculados a ningún elemento de su biblioteca; eliminarlos no afectará ninguna canción, ninguna foto ni ningún video de los suyos.",
c156,"Подготовленные файлы и обложки, которые больше не принадлежат ни одному элементу вашей медиатеки — от элементов, удалённых до этой версии, или от повторной обработки. Это не ваши исходные файлы: это технические копии, которые Aura делает сама и может сделать заново, если понадобится.","Archivos preparados y carátulas que ya no pertenecen a ningún elemento de su biblioteca — de elementos eliminados antes de esta versión, o de un reprocesamiento. No son sus archivos originales: son copias técnicas que Aura hace sola y puede volver a hacer si hace falta.",
c157,Потерянных файлов нет: очищать нечего.,No hay archivos perdidos: no hay nada que limpiar.,
c158,Потерянные файлы,Archivos perdidos,
c159,Качество изображения,Calidad de imagen,
c160,Смена папки ничего не перемещает,Cambiar de carpeta no mueve nada,
c161,Папка медиатеки,Carpeta de la biblioteca,
c162,"Aura Studio начинает использовать новую папку и читает ту медиатеку, которая там есть (или начинает с пустой, если её нет). Ваша прежняя медиатека остаётся нетронутой там, где была, и вернётся, если вы снова выберете ту папку.","Aura Studio empieza a usar la carpeta nueva y lee la biblioteca que hay ahí (o empieza vacía, si no hay ninguna). Su biblioteca anterior queda intacta donde estaba, y volverá si elige esa carpeta de nuevo.",
c163,"Внешние папки, которые вы перетащили при выключенном копировании. Aura ничего оттуда не копирует, она лишь их запоминает. Убрать одну из этого списка не удаляет и не отвязывает то, что вы уже оттуда импортировали: она просто перестаёт показываться.","Carpetas externas que arrastró con la copia desactivada. Aura no copia nada de ahí, solo las recuerda. Quitar una de esta lista no elimina ni desvincula lo que ya importó de ahí: simplemente deja de mostrarse.",
c164,Копировать медиафайлы в папку медиатеки,Copiar los archivos multimedia a la carpeta de la biblioteca,
c165,Сохранять исходный формат (рекомендуется),Mantener el formato original (recomendado),
c166,Перенести медиатеку,Migrar la biblioteca,Idéntico a c172
c167,Перенести из более ранней версии,Migrar desde una versión anterior,
c168,"Экономить место (320 px, рекомендуется)","Ahorrar espacio (320 px, recomendado)",
c169,HD-версия (640 px),Versión HD (640 px),
c170,WAV и AIFF преобразуются всегда,WAV y AIFF siempre se convierten,
c171,Эта медиатека осталась от более ранней версии,Esta biblioteca viene de una versión anterior,
c172,Перенести медиатеку,Migrar la biblioteca,Idéntico a c166
c173,{0} элемент убран из медиатеки.,{0} elemento se quitó de la biblioteca.,
c174.few,{0} элемента убраны из медиатеки.,{0} elementos se quitaron de la biblioteca.,
c174.many,{0} элементов убраны из медиатеки.,{0} elementos se quitaron de la biblioteca.,
c175,"Изменение этой настройки влияет только на то, что вы импортируете начиная с этого момента: то, что уже в вашей медиатеке, остаётся как есть.","Cambiar este ajuste afecta solo lo que importe a partir de este momento: lo que ya está en su biblioteca se queda como está.",
c176,"Копировать в медиатеку Aura: Aura управляет файлами, правит их теги и синхронизирует напрямую; занимает место на диске (одна копия); свои оригиналы вы можете удалить потом.","Copiar a la biblioteca de Aura: Aura administra los archivos, corrige sus etiquetas y sincroniza directamente; ocupa espacio en el disco (una copia); sus originales los puede eliminar después.",
c177,"Ссылаться на месте: не занимает лишнего места и не трогает ваши файлы; Aura держит подготовленную версию рядом (.preparados/), правки живут только в Aura и на iPod, а если исходного диска нет, эти композиции нельзя синхронизировать.","Referenciar en su lugar: no ocupa espacio adicional y no toca sus archivos; Aura mantiene una versión preparada al lado (.preparados/), los cambios viven solo en Aura y en el iPod, y si no hay disco original, esas canciones no se pueden sincronizar.",
c178,Как хранить вашу музыку,Cómo guardar su música,
