id,ja
c162,Aura Studio は新しいフォルダーを使い始め、そこにあるライブラリを読み込みます（なければ空から始めます）。これまでのライブラリは元の場所にそのまま残り、そのフォルダーを選び直せば戻ってきます。
c163,コピーをオフにしたままドラッグした外部フォルダーです。Aura はそこから何もコピーせず、覚えているだけです。この一覧から外しても、すでに取り込んだものが削除されたり切り離されたりはしません。表示されなくなるだけです。
c164,メディアをライブラリのフォルダーにコピー
c165,元の形式のまま（推奨）
c166,ライブラリを移行
c167,以前のバージョンから移行
c168,容量を節約（320 px、推奨）
c169,HD 版（640 px）
c170,WAV と AIFF は常に変換されます
c171,このライブラリは以前のバージョンのものです
c172,ライブラリを移行
c174,{0}件の項目をライブラリから外しました。
c175,この設定を変えても、影響するのはこれから取り込むものだけです。すでにライブラリにあるものはそのまま残ります。
c176,Aura のライブラリにコピー：Aura がファイルを管理し、タグを編集し、そのまま同期します。ディスク容量を使います（コピー1つ分）。元のファイルは後で削除できます。
c177,その場を参照：追加の容量を使わず、ファイルにも触れません。Aura は準備済みのバージョンを別に持ちます（.preparados/）。編集内容は Aura と iPod の中だけに存在し、元のディスクがないとその曲は同期できません。
c178,音楽の保存方法
