id,fr,retro_es,nota
d018,"L'iPod est réapparu avec le microprogramme d'origine d'Apple sur l'USB : le bootloader n'a pas été écrit. Refaites l'étape DFU (le disque est déjà préparé, inutile de le formater à nouveau).","El iPod volvió a aparecer en el USB con el firmware original de Apple: el bootloader no se escribió. Repita el paso de DFU (el disco ya está preparado, no hace falta formatearlo de nuevo).",
d019,Le fichier {0} n'a pas passé la vérification d'intégrité.,El archivo {0} no pasó la verificación de integridad.,
d020,"Votre iPod s'est déconnecté pendant la copie des fichiers. Copier le microprogramme complet représente des milliers de petits fichiers et peut prendre plusieurs minutes en USB — vérifiez le câble (évitez les concentrateurs USB si vous en utilisez un) et réessayez : ce qui a déjà été copié n'est pas perdu, la copie reprend là où elle s'est arrêtée.","Su iPod se desconectó durante la copia de los archivos. Copiar el firmware completo son miles de archivos pequeños y por USB puede tardar varios minutos — revise el cable (evite los concentradores USB si usa uno) e inténtelo de nuevo: lo que ya se copió no se pierde, la copia continúa donde se quedó.",
d021,Aucun iPod connecté n'a été détecté.,No se detectó ningún iPod conectado.,
d022,"L'iPod a reçu le microprogramme, mais n'a jamais confirmé l'avoir appliqué — il est toujours en mode DFU. Si Windows a ouvert iTunes ou Appareils Apple en affichant l'iPod en mode de récupération, fermez-le SANS toucher à « Restaurer » (cela réinstallerait le microprogramme d'origine d'Apple). Réessayez ensuite : l'iPod est déjà en mode DFU, la nouvelle tentative devrait donc revenir vite à cette même étape.","El iPod recibió el firmware, pero nunca confirmó haberlo aplicado — sigue en modo DFU. Si Windows abrió iTunes o Dispositivos Apple y muestra el iPod en modo de recuperación, ciérrelo SIN tocar «Restaurar» (eso reinstalaría el firmware original de Apple). Después, inténtelo de nuevo: el iPod ya está en modo DFU, así que el nuevo intento debería volver rápido a este mismo paso.",
d023,"Windows n'a pas de pilote pour votre iPod en mode DFU, Aura Studio ne peut donc pas lui parler. Installez Appareils Apple (ou iTunes) depuis le Microsoft Store, ou attribuez le pilote WinUSB à l'appareil avec Zadig ; l'étape des autorisations explique les deux options.","Windows no tiene un controlador para su iPod en modo DFU, así que Aura Studio no puede comunicarse con él. Instale Dispositivos Apple (o iTunes) desde Microsoft Store, o asigne el controlador WinUSB al dispositivo con Zadig; el paso de permisos explica las dos opciones.",
d024,L'iPod en mode DFU n'a pas été détecté à temps. Refaites la combinaison de boutons.,No se detectó a tiempo el iPod en modo DFU. Repita la combinación de botones.,
d025,"{0} disque pouvant être votre iPod a été trouvé. Par sécurité, Aura Studio n'en choisit aucun — débranchez les autres disques externes et réessayez.",Se encontró {0} disco que podría ser su iPod. Por seguridad Aura Studio no elige ninguno — desconecte los demás discos externos e inténtelo de nuevo.,
d026,"{0} disques pouvant être votre iPod ont été trouvés. Par sécurité, Aura Studio n'en choisit aucun — débranchez les autres disques externes et réessayez.",Se encontraron {0} discos que podrían ser su iPod. Por seguridad Aura Studio no elige ninguno — desconecte los demás discos externos e inténtelo de nuevo.,
d027,"Pour le double démarrage, l'iPod doit conserver le microprogramme d'origine d'Apple au format ""winpod"" : une table de partitions MBR avec la partition de microprogramme d'Apple intacte plus une partition FAT32 — le format que crée iTunes lors d'une restauration sur un PC Windows. Cet iPod est au format Mac (partitions Apple/HFS, que Rockbox ne sait pas lire) ou son disque n'est pas lisible, et le préparer d'ici effacerait tout le disque, y compris le microprogramme d'origine. Options : restaurez l'iPod avec iTunes/Appareils Apple et réessayez le double démarrage, ou installez seulement le microprogramme si vous n'avez pas besoin de conserver celui d'Apple.","Para el arranque dual, el iPod debe conservar el firmware original de Apple en formato «winpod»: una tabla de particiones MBR con la partición del firmware de Apple intacta más una partición FAT32 — el formato que crea iTunes al restaurar en un PC con Windows. Este iPod está en formato Mac (particiones Apple/HFS, que Rockbox no puede leer) o su disco no se puede leer, y prepararlo desde aquí borraría todo el disco, incluido el firmware original. Opciones: restaure el iPod con iTunes/Dispositivos Apple y vuelva a intentar el arranque dual, o instale solo el firmware si no necesita conservar el de Apple.",
d028,Le microprogramme de cette Release est incomplet : il manque {0} dans rockbox.zip — l'iPod se retrouverait sans vidéo ou sans audio. Ce n'est pas un problème de connexion ; réessayez plus tard ou signalez que cette Release est défectueuse.,El firmware de este Release está incompleto: falta {0} en rockbox.zip — el iPod se quedaría sin video o sin audio. No es un problema de su conexión; inténtelo más tarde o reporte que este Release tiene un defecto.,
d029,L'artefact {0} manque parmi les fichiers du microprogramme. Relancez scripts\FirmwareFetch.ps1.,Falta el artefacto {0} entre los archivos del firmware. Vuelva a ejecutar scripts\FirmwareFetch.ps1.,
d030,L'opération s'est terminée avec le code {0} : {1},La operación terminó con el código {0}: {1},
d031,La version la plus récente de {0} n'a pas pu être téléchargée : {1} La version fournie avec Aura Studio sera utilisée.,No se pudo descargar la versión más reciente de {0}: {1} Se usará la versión que viene con Aura Studio.,
d032,"Il manque {1} à la Release {0}, elle ne peut donc pas servir à l'installation. La version fournie avec Aura Studio sera utilisée.","Al Release {0} le falta {1}, así que no puede usarse para instalar. Se usará la versión que viene con Aura Studio.",
d033,L'iPod n'est pas formaté en FAT32. Convertissez-le avant de continuer.,El iPod no está formateado en FAT32. Conviértalo antes de continuar.,
d034,Vous avez annulé l'autorisation. Cette étape ne peut pas continuer sans cette permission.,"Canceló la autorización. Sin ese permiso, este paso no puede continuar.",
d035,Le numéro de disque {0} est hors limites.,El número de disco {0} está fuera de los límites.,
d036,Simulation terminée : le disque a été vérifié à nouveau et le plan de formatage est valide. Rien n'a été écrit.,Simulación terminada: el disco se volvió a verificar y el plan de formateo es válido. No se escribió nada.,"""Simulation"" (sustantivo de ""simuler"", el verbo ya fijado para ""ensayar"" en el glosario) -- consistente con la decisión de B7c"
d037,Le nom du volume est resté vide.,El nombre del volumen quedó vacío.,
d038,L'iPod est maintenant formaté en FAT32.,El iPod ya está formateado en FAT32.,
d039,"La demande ne contient pas la taille attendue du disque, elle ne peut donc pas être revérifiée.","La solicitud no contiene el tamaño de disco esperado, así que no se puede volver a verificar.",
d040,La tolérance de taille ne peut pas être négative.,La tolerancia de tamaño no puede ser negativa.,
d041,"L'opération avec les droits d'administrateur s'est terminée sans laisser de résultat. Impossible de savoir si elle a fait quelque chose, on ne continue donc pas.","La operación con permisos de administrador terminó sin dejar un resultado. No se puede saber si hizo algo, así que no se continúa.",
d042,Impossible de demander l'autorisation d'administrateur : {0},No se pudo solicitar el permiso de administrador: {0},
d043,La demande n'a pas pu être lue.,No se pudo leer la solicitud.,
d044,Le résultat de l'opération n'a pas pu être lu.,No se pudo leer el resultado de la operación.,
d045,"La réactivation automatique n'a pas pu être préparée, aucun service n'a donc été arrêté.","No se pudo preparar la reactivación automática, así que no se detuvo ningún servicio.","ver nota comparativa en criticas2-de-retro.csv (d045): fr habla de ""reactivación"", de habla de ""reinicio"" (Neustart) -- matiz entre idiomas, no marcado como error, señalado para que el Experto lo revise contra el código"
d046,Le service Apple était déjà en cours d'exécution.,El servicio de Apple ya estaba en ejecución.,
d047,Le service Apple était déjà arrêté.,El servicio de Apple ya estaba detenido.,
d048,Le service Apple ne peut pas être arrêté.,El servicio de Apple no se puede detener.,
d049,Il n'y a aucun service Apple à suspendre sur cet ordinateur.,En esta computadora no hay ningún servicio de Apple que suspender.,
d050,Le service Apple a été redémarré.,El servicio de Apple se reinició.,
d051,Le service Apple a été arrêté pendant l'écriture.,El servicio de Apple se detuvo durante la escritura.,
d052,Le service Apple n'a pas répondu à temps.,El servicio de Apple no respondió a tiempo.,
d053,Opération privilégiée inconnue.,Operación privilegiada desconocida.,
