id,ja,retro_es,nota
c033,開始,Iniciar,"ambiguo sin contexto de UI (¿""Comenzar""/""Empezar""?); mismo caso que en de/fr/ru"
c034,操作をキャンセルしました。,Se canceló la operación.,
c036,{0}件のファイルを iPod に書き込みました。,Se escribieron {0} archivo(s) en el iPod.,contador 件
c037,ファームウェアを iPod にコピーできませんでした。,No se pudo copiar el firmware al iPod.,
c038,ファームウェアをコピー,Copiar el firmware,
c039,ファームウェアを iPod にコピーしています…,Copiando el firmware al iPod…,
c040,この内容をよく確認してください。次の手順で、ここに表示されているディスクの中身を消去します。,Revise bien este contenido. El siguiente paso borra el contenido del disco que se muestra aquí.,
c041,これがお使いの iPod であることを確認してください,Confirme que este es su iPod,
c042,接続時に Aura Studio が認識しました。ファームウェアをインストールしますか？ 選ぶまで何も起こりません。,Aura Studio lo reconoció al conectarlo. ¿Instalar un firmware? No pasa nada hasta que elija.,
c043,今はしない,Ahora no,
c044,はい、インストールする,"Sí, instalar",
c045,iPod が DFU モードです,El iPod está en modo DFU,
c046,DFU モードの iPod を検出しました。,Se detectó un iPod en modo DFU.,
c047,DFU モードの iPod を検出しました（状態 {0}）。,Se detectó un iPod en modo DFU (estado {0}).,
c048,書き込みと復元のガイド（ファームウェアのリポジトリ）,Guía de flasheo y restauración (repositorio del firmware),
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,(URL sin traducir),
c050,インストールできるファームウェアがありません。成果物フォルダーが空です。,No hay firmware disponible para instalar. La carpeta de artefactos está vacía.,
c051,DFU モードの iPod はまだ見えません。ボタン操作をやり直して、もう一度探してください。画面が暗くなった後も押し続けることを忘れないでください。,"Todavía no se ve ningún iPod en modo DFU. Repita la combinación de botones y busque de nuevo. No olvide seguir presionando después de que la pantalla se oscurezca.",
c052,Apple のドライバーはインストール済みですが、Windows は Apple のデバイスを認識していません。すでにボタン操作を行い、iPod の画面が暗いままなら、おそらく DFU モードで、USB 接続がここまで届いていません。仮想マシンでは、DFU モードの iPod が Windows に転送されているか確認してください。DFU に入ると USB の識別子が変わるため、もう一度許可が必要になることがあります。,"El controlador de Apple ya está instalado, pero Windows no reconoce ningún dispositivo Apple. Si ya hizo la combinación de botones y la pantalla del iPod sigue oscura, probablemente esté en modo DFU y la conexión USB no está llegando hasta aquí. En una máquina virtual, compruebe si el iPod en modo DFU se está transfiriendo a Windows: al entrar en DFU cambia el identificador USB, y puede que haga falta autorizarlo de nuevo.",
c053,iPod で音楽を再生している場合は、再生を止めてください。,"Si el iPod está reproduciendo música, detenga la reproducción.",
c054,SELECT と MENU を同時に押し続けます。,Mantenga presionados SELECT y MENU al mismo tiempo.,
c055,画面が暗くなった後まで、両方のボタンを約12秒間押し続けます。,"Mantenga ambos botones presionados durante unos 12 segundos, hasta después de que la pantalla se oscurezca.",
c056,離してください。Aura Studio が DFU モードを自動で検出します。,Suelte. Aura Studio detectará el modo DFU automáticamente.,
c057,約12秒より早く離すと、iPod は通常どおり再起動し、DFU モードには入りません。画面が暗くなるのは離す合図ではありません。その後も押し続けてください。,"Si suelta antes de unos 12 segundos, el iPod reiniciará con normalidad y no entrará en modo DFU. Que la pantalla se oscurezca no es la señal para soltar. Siga presionando después de eso.",
c058,iPod の状態を読み取れませんでした。Apple のドライバーが不足していないか、下で確認してください。,No se pudo leer el estado del iPod. Compruebe abajo si falta el controlador de Apple.,
c059,DFU モードを待っています…,Esperando el modo DFU…,
c060,ファームウェアをインストールしました。取り外す前に、一般から iPod を取り出してください。,"Se instaló el firmware. Antes de desconectarlo, expulse el iPod desde General.",
c061,完了,Listo,
c062,書き込まずに確認,Comprobar sin escribir,"como en ru, elige verbo de comprobación, no ""ensayar/simular"""
c063,確認が完了しました — ディスクには触れていません,Se completó la comprobación: no se tocó el disco,
c064,確認は問題なく終わりました。ディスクを管理者権限で再検証し、フォーマットの計画も有効です。まだ何も書き込んでいません。,"La comprobación terminó sin problemas. El disco se volvió a verificar con permisos de administrador, y el plan de formateo también es válido. Todavía no se ha escrito nada.",
c065,ディスクの準備を確認しています…,Comprobando la preparación del disco…,
c066,iPod を DFU モードにしてください,Ponga el iPod en modo DFU,
c067,いよいよです。ディスクの準備は整い、次はブートローダーの書き込みです。その間、iPod は USB につないだままにしてください。,"Este es el momento. El disco ya está preparado, y lo siguiente es escribir el bootloader. Mientras tanto, mantenga el iPod conectado por USB.",
c068,続行できませんでした,No se pudo continuar,
c069,この iPod には {0} が入っていて、これから {1} をインストールします。{0} は設定ごとそのまま保存され、いつでも「その他」から戻せます。,"Este iPod tiene {0} instalado, y ahora se instalará {1}. {0} se conserva por completo, con sus ajustes, y se puede volver a él en cualquier momento desde «Otros».","「その他」= ""los otros/demás""; traducido como el nombre de sección «Otros», igual que en de/fr/ru"
c070,インストールするファームウェア,Firmware a instalar,
c071,ブートローダーを書き込む,Escribir el bootloader,
c072,これが Apple の元のブートローダーを置き換えること、復元しない限り元に戻せないことを理解しています。,"Entiendo que esto reemplaza el bootloader original de Apple, y que no se puede deshacer salvo restaurándolo.",
c073,ブートローダーを書き込めませんでした。,No se pudo escribir el bootloader.,
c074,ブートローダーを書き込む前の確認がまだです。Aura Studio は、あなたが先に確認しない限り何も書き込みません。,Todavía falta confirmar antes de escribir el bootloader. Aura Studio no escribe nada a menos que usted confirme primero.,
c075,iPod にブートローダーを書き込んでいます…,Escribiendo el bootloader en el iPod…,
c076,{0} の中身がすべて消去されることを理解しています。,Entiendo que todo el contenido de {0} se borrará.,
c077,上の確認では何も変更していません。次の手順はディスクの中身をすべて消去し、元に戻せません。続ける前に、正しい iPod かどうか確認してください。,"La comprobación de arriba no cambió nada. El siguiente paso borra todo el contenido del disco, y no se puede deshacer. Antes de continuar, compruebe que sea el iPod correcto.",
c078,この手順は実際に iPod を消去します,Este paso sí borra el iPod,
c079,iPod を消去する前の確認がまだです。Aura Studio は、どのディスクを対象にするかをあなたが先に確認しない限り、何もフォーマットしません。,Todavía falta confirmar antes de borrar el iPod. Aura Studio no formatea nada a menos que usted confirme primero con qué disco va a trabajar.,
c080,先にディスクの準備を確認する必要があります。何も書き込まずにすべてを点検します。,Primero hay que comprobar la preparación del disco. Esto revisa todo sin escribir nada.,
c081,{0} を消去してフォーマット,Borrar y formatear {0},
c082,iPod のディスクをフォーマットしています…,Formateando el disco del iPod…,
c083,iPod に Windows が読めるボリュームがありません。ファイルをコピーする前にディスクを準備してください。,El iPod no tiene ningún volumen que Windows pueda leer. Prepare el disco antes de copiar los archivos.,
c084,iPod が接続されていません。USB でつないで、Windows が認識するまでお待ちください。,No hay ningún iPod conectado. Conéctelo por USB y espere a que Windows lo reconozca.,
c085,了解、続ける,"Entendido, continuar",
c086,iPod のディスクを準備するため、Windows が独自の画面で管理者権限を求めます。Aura Studio はすべてここから行います。コンソールを開いたりコマンドを入力したりする必要は一切ありません。権限を求めるのは次の2つだけです。iPod のディスクをフォーマットすること、そしてブートローダーの書き込み中に、USB ポートを占有する可能性のある Apple のサービスを一時停止することです。使用のたびにアプリのログに記録されます。,"Para preparar el disco del iPod, Windows le pedirá permisos de administrador con su propia pantalla. Aura Studio hace todo desde aquí. No hace falta en absoluto abrir una consola ni escribir un comando. Los permisos se piden solo para estas dos cosas: formatear el disco del iPod, y, mientras se escribe el bootloader, suspender el servicio de Apple que podría ocupar el puerto USB. Cada uso queda registrado en el historial de la aplicación.",
c087,必要な権限,Permisos necesarios,
c088,ディスクを準備,Preparar el disco,
c089,管理者権限の操作が行ったこと,Qué hizo la operación con permisos de administrador,
c090,iPod が DFU モードを抜けました。ファームウェアをコピーできます。,El iPod salió del modo DFU. Ya puede copiar el firmware.,
c091,最初からやり直す,Volver a empezar desde el principio,
c092,Aura Studio はディスクに触れる前に安全のため停止しました：{0}。,"Por seguridad, Aura Studio se detuvo antes de tocar el disco: {0}.",
c093,DFU モードの iPod を探す,Buscar el iPod en modo DFU,
c094,DFU モードの iPod を探しています…,Buscando el iPod en modo DFU…,
c095,iPod はまだ DFU モードで、インストールは確認されていません。取り外さずに、もう一度探してください。,"El iPod todavía está en modo DFU, y la instalación no se ha confirmado. No lo desconecte: vuelva a buscarlo.",
c096,iPod にファームウェアを順を追ってインストールします,Instalar el firmware en el iPod paso a paso,
c097,インストーラー,Instalador,
c098,「{0}」のディスク番号を特定できなかったため、何も変更しません。,"Como no se pudo identificar el número de disco de «{0}», no se cambia nada.",
c099,Aura Studio が iPod のディスクを準備し、ブートローダーを書き込み、ファームウェアをコピーします。各手順は実行前に説明し、確認するまで何にも触れません。,"Aura Studio prepara el disco del iPod, escribe el bootloader y copia el firmware. Cada paso se explica antes de ejecutarse, y no se toca nada hasta que confirme.",
c100,iPod にファームウェアをインストールしましょう,Instalemos el firmware en el iPod,
c101,インストールすると iPod の中身がすべて消え、Apple の元のブートローダーが置き換わります。そこにしかない音楽があるなら、先に別の場所へコピーしてください。,"Al instalar, todo el contenido del iPod se borra y el bootloader original de Apple se reemplaza. Si hay música que solo existe ahí, cópiela antes a otro lugar.",
c103,孤立ファイルを{0}件削除しました。,Se eliminaron {0} archivo(s) huérfano(s).,"孤立 = ""huérfano/aislado""; coincide con la metáfora de de/fr, no con ""perdido"" (hallazgo corregido en ru)"
c105,孤立ファイルを{0}件削除しますか？,¿Eliminar {0} archivo(s) huérfano(s)?,
c107,孤立ファイル{0}件（{1}）。,{0} archivo(s) huérfano(s) ({1}).,
c108,削除,Eliminar,
c109,削除,Eliminar,idéntica a c108/c110 en japonés (no hay flexión singular/plural)
c110,削除,Eliminar,idéntica a c108/c109
c111,アルバムを削除,Eliminar el álbum,
c112,アルバムを削除,Eliminar los álbumes,"idéntica a c111 en japonés (una sola forma cubre singular y plural); se distingue en retro_es por el número esperado en cada contexto de uso, no por el texto fuente"
c113,アーティストを削除,Eliminar el artista,
c114,アーティストを削除,Eliminar los artistas,idéntica a c113 en japonés
c115,ライブラリから削除,Eliminar de la biblioteca,
c116,アートワークを削除,Eliminar la carátula,
c117,エピソードを削除,Eliminar el episodio,
c118,エピソードを削除,Eliminar los episodios,idéntica a c117 en japonés
c119,写真をライブラリから削除,Eliminar las fotos de la biblioteca,
c120,映画を削除,Eliminar la película,
c121,映画を削除,Eliminar las películas,idéntica a c120 en japonés
c122,シリーズを削除,Eliminar la serie,
c123,シリーズを削除,Eliminar las series,idéntica a c122 en japonés
c124,アルバムから外す,Quitar del álbum,
c125,お気に入りから外す,Quitar de favoritos,
c126,お気に入りから外す,Quitar de favoritos,idéntica a c125/c127
c127,お気に入りから外す,Quitar de favoritos,idéntica a c125/c126
c129,アーティストの写真を外す,Quitar la(s) foto(s) del/de los artista(s),"una sola forma japonesa cubre lo que en otros idiomas son c128 (singular) y c129 (plural); c128 está ausente aquí, como se espera"
c130,ポスターを外す,Quitar el póster,
c131,確認したときからデバイスが変わりました。安全のため、何も書き込んでいません。,"El dispositivo cambió desde que se confirmó. Por seguridad, no se ha escrito nada.",
c132,デバイスを確認しました：{0}、{1}、{2},"Dispositivo verificado: {0}, {1}, {2}","： y 、fullwidth traducidos a dos puntos y comas latinas"
c133,候補となる iPod が複数あります。安全のため、どれも選びませんでした。,"Hay varios iPod candidatos. Por seguridad, no se eligió ninguno.",
c134,iPod が見えなくなりました。何も書き込んでいません。,El iPod desapareció. No se ha escrito nada.,
c135,iPod のボリュームがマウントされていません。,El volumen del iPod no está montado.,
c136,キャンセル,Cancelar,
c138,{0}件のファイルをライブラリにコピーしました。,Se copiaron {0} archivo(s) a la biblioteca.,contador 件
c140,{0}件をコピーできませんでした。,No se pudieron copiar {0}.,contador 件
c142,{0}件はファイルが見つからないためスキップしました。カタログには残ります。,Se omitieron {0} porque no se encontró el archivo. Se quedan en el catálogo.,contador 件
c144,{0}件のファイルをライブラリにコピーしています…,Copiando {0} archivo(s) a la biblioteca…,contador 件
c146,{0}件の準備済みファイルが古い名前を使っています,{0} archivo(s) preparado(s) usa(n) el nombre antiguo,contador 件
c148,{0}曲のタグを書き込みました,Se escribieron las etiquetas de {0} canción(es),"contador 曲 (canciones), no 件; sin espacio junto a {0}, correcto"
c150,{0}件の項目は、ファイルが Aura のコピーかあなたのものかをまだ示していません,{0} elemento(s) todavía no indica(n) si su archivo es una copia de Aura o es suyo,contador 件
c151,音質,Calidad de audio,
c152,高音質の MP3 に圧縮,Comprimir a MP3 de alta calidad,
c153,孤立ファイルを探す,Buscar archivos huérfanos,
c154,孤立ファイルを整理,Limpiar archivos huérfanos,
c155,これらはライブラリのどの項目にも結び付いていません。削除しても、お持ちの曲・写真・ビデオには影響しません。,"Estos no están vinculados a ningún elemento de la biblioteca. Eliminarlos no afecta ninguna canción, foto ni video que tenga.",
c156,ライブラリのどの項目にも属さなくなった準備済みファイルとアートワークです。このバージョンより前に削除した項目や、再処理によって生じたものです。あなたの元のファイルではありません。Aura が自分で作る技術的なコピーで、必要ならまた作り直せます。,"Son archivos preparados y carátulas que ya no pertenecen a ningún elemento de la biblioteca. Vienen de elementos eliminados antes de esta versión, o de un reprocesamiento. No son sus archivos originales. Son copias técnicas que Aura genera sola, y puede volver a generarlas si hace falta.",
c157,孤立ファイルはありません。整理するものはありません。,No hay archivos huérfanos. No hay nada que limpiar.,
c158,孤立ファイル,Archivos huérfanos,
c159,画質,Calidad de imagen,
c160,フォルダーを変えても何も移動しません,Cambiar de carpeta no mueve nada,
c161,ライブラリのフォルダー,Carpeta de la biblioteca,
c162,Aura Studio は新しいフォルダーを使い始め、そこにあるライブラリを読み込みます（なければ空から始めます）。これまでのライブラリは元の場所にそのまま残り、そのフォルダーを選び直せば戻ってきます。,"Aura Studio empieza a usar la carpeta nueva y lee la biblioteca que hay ahí (o empieza vacía si no hay ninguna). La biblioteca anterior queda intacta en su lugar original, y vuelve si elige esa carpeta de nuevo.",
c163,コピーをオフにしたままドラッグした外部フォルダーです。Aura はそこから何もコピーせず、覚えているだけです。この一覧から外しても、すでに取り込んだものが削除されたり切り離されたりはしません。表示されなくなるだけです。,"Son carpetas externas que arrastró con la copia desactivada. Aura no copia nada de ahí, solo las recuerda. Quitar una de esta lista no elimina ni desvincula lo que ya se importó de ahí. Simplemente deja de mostrarse.",
c164,メディアをライブラリのフォルダーにコピー,Copiar los medios a la carpeta de la biblioteca,
c165,元の形式のまま（推奨）,Mantener el formato original (recomendado),
c166,ライブラリを移行,Migrar la biblioteca,
c167,以前のバージョンから移行,Migrar desde una versión anterior,
c168,容量を節約（320 px、推奨）,"Ahorrar espacio (320 px, recomendado)",
c169,HD 版（640 px）,Versión HD (640 px),
c170,WAV と AIFF は常に変換されます,WAV y AIFF siempre se convierten,
c171,このライブラリは以前のバージョンのものです,Esta biblioteca es de una versión anterior,
c172,ライブラリを移行,Migrar la biblioteca,idéntica a c166 en japonés
c174,{0}件の項目をライブラリから外しました。,Se quitaron {0} elemento(s) de la biblioteca.,contador 件
c175,この設定を変えても、影響するのはこれから取り込むものだけです。すでにライブラリにあるものはそのまま残ります。,Cambiar este ajuste solo afecta lo que se importe de ahora en adelante. Lo que ya está en la biblioteca se queda igual.,
c176,Aura のライブラリにコピー：Aura がファイルを管理し、タグを編集し、そのまま同期します。ディスク容量を使います（コピー1つ分）。元のファイルは後で削除できます。,"Copiar a la biblioteca de Aura: Aura administra los archivos, edita las etiquetas y sincroniza directamente. Usa espacio en disco (una copia). Los archivos originales se pueden eliminar después.",：fullwidth → dos puntos latinos
c177,その場を参照：追加の容量を使わず、ファイルにも触れません。Aura は準備済みのバージョンを別に持ちます（.preparados/）。編集内容は Aura と iPod の中だけに存在し、元のディスクがないとその曲は同期できません。,"Referenciar en su lugar: no usa espacio adicional y no toca los archivos. Aura mantiene una versión preparada aparte (.preparados/). Los cambios existen solo dentro de Aura y del iPod, y si no hay disco original, esa canción no se puede sincronizar.",
c178,音楽の保存方法,Cómo guardar la música,
