id,de,retro_es,nota
c075,Bootloader wird auf den iPod geschrieben…,Escribiendo el bootloader en el iPod…,
c076,"Mir ist klar, dass alles auf {0} gelöscht wird.",Entiendo que se borrará todo en {0}.,
c077,"Die Probe oben hat nichts angetastet. Was jetzt folgt, löscht alles auf dem Datenträger und lässt sich nicht rückgängig machen. Prüfe, dass es der richtige iPod ist, bevor du fortfährst.","El ensayo de arriba no tocó nada. Lo que sigue borra todo en el disco y no se puede deshacer. Comprueba que sea el iPod correcto antes de continuar.",
c078,Dieser Schritt löscht den iPod wirklich,Este paso sí borra el iPod de verdad,
c079,"Deine Bestätigung fehlt, bevor der iPod gelöscht wird. Aura Studio formatiert nichts, ohne dass du vorher bestätigst, auf welchem Datenträger es arbeitet.","Falta tu confirmación antes de borrar el iPod. Aura Studio no formatea nada sin que confirmes antes en qué disco va a trabajar.",
c080,"Die Vorbereitung des Datenträgers muss zuerst geprobt werden. Dabei wird alles geprüft, ohne etwas zu schreiben.","La preparación del disco se tiene que ensayar primero. Con eso se comprueba todo, sin escribir nada.",
c081,{0} löschen und formatieren,Borrar y formatear {0},
c082,Datenträger des iPod wird formatiert…,Formateando el disco del iPod…,
c083,"Der iPod hat kein Volume, das Windows lesen kann. Bereite den Datenträger vor, bevor du die Dateien kopierst.","El iPod no tiene ningún volumen que Windows pueda leer. Prepara el disco antes de copiar los archivos.",
c084,"Es ist kein iPod angeschlossen. Schließe ihn über USB an und warte, bis Windows ihn erkennt.","No hay ningún iPod conectado. Conéctalo por USB y espera a que Windows lo reconozca.",
c085,"Verstanden, weiter","Entendido, continuar",
c086,"Um den Datenträger des iPod vorzubereiten, fragt dich Windows mit seiner eigenen Meldung nach Administratorrechten. Aura Studio erledigt alles von hier aus: du wirst nie eine Konsole öffnen oder einen Befehl eintippen müssen. Die Rechte werden nur für zwei bestimmte Dinge angefordert — den Datenträger des iPod zu formatieren und, während der Bootloader geschrieben wird, den Apple-Dienst anzuhalten, der den USB-Anschluss belegen könnte. Jede Verwendung wird im Protokoll der Anwendung festgehalten.","Para preparar el disco del iPod, Windows te pedirá permisos de administrador con su propio mensaje. Aura Studio hace todo desde aquí: nunca vas a tener que abrir una consola ni escribir un comando. Los permisos se piden solo para dos cosas concretas: formatear el disco del iPod y, mientras se escribe el bootloader, detener el servicio de Apple que podría ocupar el puerto USB. Cada uso queda registrado en el historial de la aplicación.",
c087,Nötige Berechtigungen,Permisos necesarios,
c088,Datenträger vorbereiten,Preparar disco,
c089,Was der Vorgang mit erhöhten Rechten getan hat,Qué hizo la operación con permisos elevados,
c090,Der iPod hat den DFU-Modus verlassen. Du kannst die Firmware jetzt kopieren.,El iPod salió del modo DFU. Ya puedes copiar el firmware.,
c091,Von vorn beginnen,Empezar de nuevo,
c092,"Aura Studio hat zur Sicherheit angehalten, bevor der Datenträger angetastet wurde: {0}.","Por seguridad, Aura Studio se detuvo antes de tocar el disco: {0}.",
c093,iPod im DFU-Modus suchen,Buscar iPod en modo DFU,
c094,iPod wird im DFU-Modus gesucht…,Buscando iPod en modo DFU…,
c095,Der iPod ist noch im DFU-Modus und die Installation wurde nicht bestätigt. Trenne ihn nicht: suche ihn erneut.,El iPod todavía está en modo DFU y la instalación no se confirmó. No lo desconectes: vuelve a buscarlo.,
c096,Installiere die Firmware Schritt für Schritt auf deinem iPod,Instala el firmware paso a paso en tu iPod,
c097,Installationsprogramm,Instalador,
c098,"Die Datenträgernummer von „{0}“ konnte nicht ermittelt werden, also wird nichts angetastet.","No se pudo determinar el número de disco de «{0}», así que no se toca nada.",
c099,"Aura Studio bereitet den Datenträger deines iPod vor, schreibt den Bootloader und kopiert die Firmware. Jeder Schritt wird erklärt, bevor er passiert, und nichts wird angetastet, bis du bestätigst.","Aura Studio prepara el disco de tu iPod, escribe el bootloader y copia el firmware. Cada paso se explica antes de que ocurra, y no se toca nada hasta que confirmes.",
c100,Los geht's: Firmware auf deinem iPod installieren,Comencemos: instalar firmware en tu iPod,
c101,"Die Installation löscht alles auf dem iPod und ersetzt seinen ursprünglichen Apple-Bootloader. Wenn du Musik nur dort hast, kopiere sie vorher woandershin.","La instalación borra todo en el iPod y reemplaza su bootloader original de Apple. Si tienes música solo ahí, cópiala a otro lugar antes.",
c102,{0} verwaiste Datei gelöscht.,{0} archivo huérfano eliminado.,
c103,{0} verwaiste Dateien gelöscht.,{0} archivos huérfanos eliminados.,
c104,{0} verwaiste Datei löschen?,¿Eliminar {0} archivo huérfano?,
c105,{0} verwaiste Dateien löschen?,¿Eliminar {0} archivos huérfanos?,
c106,{0} verwaiste Datei ({1}).,{0} archivo huérfano ({1}).,
c107,{0} verwaiste Dateien ({1}).,{0} archivos huérfanos ({1}).,
c108,Löschen,Eliminar,Idéntico a c109/c110 -- probablemente tres botones distintos con el mismo texto
c109,Löschen,Eliminar,Idéntico a c108/c110
c110,Löschen,Eliminar,Idéntico a c108/c109
c111,Album löschen,Eliminar álbum,
c112,Alben löschen,Eliminar álbumes,
c113,Interpret löschen,Eliminar artista,
c114,Interpreten löschen,Eliminar artistas,
c115,Aus der Mediathek löschen,Eliminar de la biblioteca,
c116,Cover löschen,Eliminar carátula,
c117,Folge löschen,Eliminar episodio,
c118,Folgen löschen,Eliminar episodios,
c119,Fotos aus der Mediathek löschen,Eliminar fotos de la biblioteca,
c120,Film löschen,Eliminar película,
c121,Filme löschen,Eliminar películas,
c122,Serie löschen,Eliminar serie,
c123,Serien löschen,Eliminar series,
c124,Aus dem Album entfernen,Quitar del álbum,
c125,Favorit entfernen,Quitar de favoritos,"Alemán en singular (""un favorito""); podría ser ""Desmarcar como favorito"" en vez de ""Quitar de favoritos"""
c126,Aus den Favoriten entfernen,Quitar de favoritos,
c127,Aus den Favoriten entfernen,Quitar de favoritos,Idéntico a c126
c128,Interpretenfoto entfernen,Quitar foto del artista,
c129,Interpretenfotos entfernen,Quitar fotos de los artistas,
c130,Poster entfernen,Quitar póster,
c131,Das Gerät hat sich seit deiner Bestätigung geändert. Zur Sicherheit wurde nichts geschrieben.,"El dispositivo cambió desde tu confirmación. Por seguridad, no se escribió nada.",
c132,"Gerät überprüft: {0}, {1}, {2}","Dispositivo verificado: {0}, {1}, {2}",
c133,Es kommt mehr als ein iPod in Frage. Zur Sicherheit wurde keiner ausgewählt.,"Hay más de un iPod candidato. Por seguridad, no se eligió ninguno.",
c134,Der iPod ist verschwunden. Es wurde nichts geschrieben.,El iPod desapareció. No se escribió nada.,
c135,Das Volume des iPod ist nicht eingebunden.,El volumen del iPod no está montado.,"Alemán usa ""Volume"" (préstamo del inglés) en vez de ""Datenträger"", usado en otras filas -- podría ser inconsistencia terminológica del propio alemán, o a propósito para distinguir volumen lógico de disco físico"
c136,Abbrechen,Cancelar,
c137,{0} Datei in die Mediathek kopiert.,{0} archivo copiado a la biblioteca.,
c138,{0} Dateien in die Mediathek kopiert.,{0} archivos copiados a la biblioteca.,
c139,{0} konnte nicht kopiert werden.,No se pudo copiar {0}.,Construcción impersonal alemana; no queda claro el género/número de lo que {0} reemplaza fuera de esta oración
c140,{0} konnten nicht kopiert werden.,No se pudieron copiar {0}.,"Misma nota que c139, en plural"
c141,"{0} wurde übersprungen, weil die Datei fehlt; der Eintrag bleibt im Katalog.","{0} se omitió porque falta el archivo; el elemento queda en el catálogo.",
c142,"{0} wurden übersprungen, weil ihre Dateien fehlen; die Einträge bleiben im Katalog.","{0} se omitieron porque faltan sus archivos; los elementos quedan en el catálogo.",
c143,{0} Datei wird in die Mediathek kopiert…,Copiando {0} archivo a la biblioteca…,
c144,{0} Dateien werden in die Mediathek kopiert…,Copiando {0} archivos a la biblioteca…,
c145,{0} vorbereitete Datei trägt den alten Namen,{0} archivo preparado tiene el nombre antiguo,
c146,{0} vorbereitete Dateien tragen den alten Namen,{0} archivos preparados tienen el nombre antiguo,
c147,die Tags von {0} Titel wurden geschrieben,se escribieron las etiquetas de {0} canción,"Empieza en minúscula: parece la segunda mitad de una oración concatenada con otro fragmento, no una oración independiente"
c148,die Tags von {0} Titeln wurden geschrieben,se escribieron las etiquetas de {0} canciones,Misma nota que c147
c149,"bei {0} Eintrag steht noch nicht, ob seine Datei Auras Kopie ist oder deine","en {0} elemento todavía no consta si su archivo es una copia de Aura o tuyo","Empieza en minúscula, mismo patrón fragmentario que c147/c148"
c150,"bei {0} Einträgen steht noch nicht, ob ihre Dateien Auras Kopien sind oder deine","en {0} elementos todavía no consta si sus archivos son copias de Aura o tuyas",Misma nota que c149
c151,Audioqualität,Calidad de audio,
c152,In MP3 guter Qualität komprimieren,Comprimir a MP3 de buena calidad,
c153,Verwaiste Dateien suchen,Buscar archivos huérfanos,
c154,Verwaiste Dateien aufräumen,Limpiar archivos huérfanos,
c155,"Sie gehören zu keinem Eintrag deiner Mediathek; sie zu löschen betrifft keinen Titel, kein Foto und kein Video, das du hast.","No pertenecen a ningún elemento de tu biblioteca; eliminarlos no afecta ninguna canción, foto ni video que tengas.",
c156,"Vorbereitete Dateien und Cover, die zu keinem Eintrag deiner Mediathek mehr gehören — von Einträgen, die vor dieser Version gelöscht wurden, oder aus einer erneuten Verarbeitung. Es sind nicht deine Originaldateien: es sind technische Kopien, die Aura selbst anlegt und bei Bedarf wieder anlegen kann.","Archivos preparados y carátulas que ya no pertenecen a ningún elemento de tu biblioteca — de elementos eliminados antes de esta versión, o de un reprocesamiento. No son tus archivos originales: son copias técnicas que Aura genera sola y puede volver a generar si hace falta.",
c157,Es gibt keine verwaisten Dateien: es ist nichts aufzuräumen.,No hay archivos huérfanos: no hay nada que limpiar.,
c158,Verwaiste Dateien,Archivos huérfanos,
c159,Bildqualität,Calidad de imagen,
c160,Den Ordner zu wechseln verschiebt nichts,Cambiar de carpeta no mueve nada,
c161,Mediathek-Ordner,Carpeta de la biblioteca,
c162,"Aura Studio verwendet ab jetzt den neuen Ordner und liest die Mediathek, die dort liegt (oder fängt leer an, wenn es keine gibt). Deine bisherige Mediathek bleibt unangetastet, wo sie war, und kommt zurück, wenn du diesen Ordner wieder wählst.","A partir de ahora, Aura Studio usa la carpeta nueva y lee la biblioteca que hay ahí (o empieza vacía, si no hay ninguna). Tu biblioteca anterior queda intacta donde estaba, y vuelve si eliges esa carpeta de nuevo.",
c163,"Externe Ordner, die du bei ausgeschaltetem Kopieren hereingezogen hast. Aura kopiert von dort nichts, es merkt sie sich nur. Einen aus dieser Liste zu entfernen löscht nichts und trennt nichts, was du schon von dort importiert hast: er wird bloß nicht mehr angezeigt.","Carpetas externas que arrastraste con la copia desactivada. Aura no copia nada de ahí, solo las recuerda. Quitar una de esta lista no borra nada ni desconecta nada de lo que ya importaste de ahí: solo deja de mostrarse.",
c164,Medien in den Mediathek-Ordner kopieren,Copiar los medios a la carpeta de la biblioteca,
c165,Ursprüngliches Format behalten (empfohlen),Mantener el formato original (recomendado),
c166,Mediathek migrieren,Migrar biblioteca,Idéntico a c172
c167,Von einer früheren Version migrieren,Migrar de una versión anterior,
c168,"Speicher sparen (320 px, empfohlen)","Ahorrar espacio (320 px, recomendado)",
c169,HD-Fassung (640 px),Versión HD (640 px),
c170,WAV und AIFF werden immer konvertiert,WAV y AIFF siempre se convierten,
c171,Diese Mediathek stammt aus einer früheren Version,Esta biblioteca proviene de una versión anterior,
c172,Mediathek migrieren,Migrar biblioteca,Idéntico a c166
c173,{0} Eintrag aus der Mediathek entfernt.,{0} elemento eliminado de la biblioteca.,
c174,{0} Einträge aus der Mediathek entfernt.,{0} elementos eliminados de la biblioteca.,
c175,"Diese Änderung wirkt sich nur auf das aus, was du ab jetzt importierst: was schon in deiner Mediathek ist, bleibt, wie es ist.","Este cambio solo afecta lo que importes de ahora en adelante: lo que ya está en tu biblioteca se queda como está.",
c176,"In die Aura-Mediathek kopieren: Aura verwaltet die Dateien, bearbeitet ihre Tags und synchronisiert sie direkt; das braucht Speicherplatz (eine Kopie); deine Originale kannst du danach löschen.","Copiar a la biblioteca de Aura: Aura administra los archivos, edita sus etiquetas y los sincroniza directamente; esto ocupa espacio (una copia); tus originales los puedes borrar después.",
c177,"Am Ort belassen und darauf verweisen: kein zusätzlicher Speicherplatz, deine Dateien werden nie angetastet; Aura hält eine vorbereitete Fassung daneben (.preparados/), Änderungen leben nur in Aura und auf dem iPod, und wenn der ursprüngliche Datenträger fehlt, lassen sich diese Titel nicht synchronisieren.","Dejar en su lugar y referenciar: sin espacio adicional, tus archivos nunca se tocan; Aura mantiene una versión preparada aparte (.preparados/), los cambios viven solo en Aura y en el iPod, y si falta el disco original, esas canciones no se pueden sincronizar.",
c178,Wie deine Musik gespeichert wird,Cómo se guarda tu música,
