"clave","idioma","texto_mac","texto_windows","clave_windows_usada","veredicto","motivo"
"storage-reference-explainer","ru","Ссылаться на них на месте: не занимает лишнего места и не трогает ваши файлы; Aura хранит подготовленную версию отдельно (.preparados/), правки живут только в Aura и на iPod, а если исходный диск недоступен, эти треки синхронизировать не получится.","Ссылаться на месте: не занимает лишнего места и не трогает ваши файлы; Aura держит подготовленную версию рядом (.preparados/), правки живут только в Aura и на iPod, а если исходного диска нет, эти треки нельзя синхронизировать.","storage-reference-explainer","distinto-manda-Mac",""
"storage-reference-explainer","fr","Les référencer sur place : aucun espace supplémentaire et vos fichiers ne sont jamais touchés ; Aura conserve une version préparée à part (.preparados/), les modifications ne vivent que dans Aura et sur l’iPod, et si le disque d’origine est absent, ces morceaux ne peuvent pas être synchronisés.","Les référencer sur place : aucun espace supplémentaire et vos fichiers ne sont jamais touchés ; Aura garde une version préparée à côté (.preparados/), les modifications ne vivent que dans Aura et sur l'iPod, et si le disque d'origine est absent, ces morceaux ne peuvent pas être synchronisés.","storage-reference-explainer","distinto-manda-Mac",""
"storage-change-only-affects-future","ja","この設定を変更しても、影響するのはこれから読み込むものだけです。すでにライブラリにあるものはそのままです。","この設定を変えても、影響するのはこれから取り込むものだけです。すでにライブラリにあるものはそのまま残ります。","storage-change-only-affects-future","distinto-manda-Mac",""
"storage-change-only-affects-future","de","Diese Änderung gilt nur für das, was du ab jetzt importierst: Was schon in deiner Mediathek ist, bleibt, wie es ist.","Diese Änderung wirkt sich nur auf das aus, was du ab jetzt importierst: was schon in deiner Mediathek ist, bleibt, wie es ist.","storage-change-only-affects-future","distinto-manda-Mac",""
"storage-change-only-affects-future","ru","Изменение этой настройки влияет только на то, что вы импортируете дальше: то, что уже в медиатеке, остаётся как есть.","Изменение этой настройки влияет только на то, что вы импортируете начиная с этого момента: то, что уже в вашей медиатеке, остаётся как есть.","storage-change-only-affects-future","distinto-manda-Mac",""
"storage-change-only-affects-future","fr","Modifier ce réglage n’affecte que ce que vous importerez désormais : ce qui est déjà dans votre bibliothèque reste tel quel.","Modifier ce réglage n'affecte que ce que vous importerez à partir de maintenant : ce qui est déjà dans votre bibliothèque reste tel quel.","storage-change-only-affects-future","distinto-manda-Mac",""
"music-settings-view.calidad-audio","ja","オーディオ品質","音質","music-settings-view.calidad-audio","distinto-manda-Mac",""
"music-settings-view.calidad-audio","de","Audioqualität","Audioqualität","music-settings-view.calidad-audio","igual",""
"music-settings-view.calidad-audio","ru","Качество звука","Качество звука","music-settings-view.calidad-audio","igual",""
"music-settings-view.calidad-audio","fr","Qualité audio","Qualité audio","music-settings-view.calidad-audio","igual",""
"music-settings-view.comprimir-mp3-buena-calidad","ja","高音質の MP3 に圧縮","高音質の MP3 に圧縮","music-settings-view.comprimir-mp3-buena-calidad","igual",""
"music-settings-view.comprimir-mp3-buena-calidad","de","In MP3 mit guter Qualität umwandeln","In MP3 guter Qualität komprimieren","music-settings-view.comprimir-mp3-buena-calidad","distinto-manda-Mac",""
"music-settings-view.comprimir-mp3-buena-calidad","ru","Сжимать в MP3 хорошего качества","Сжимать в MP3 хорошего качества","music-settings-view.comprimir-mp3-buena-calidad","igual",""
"music-settings-view.comprimir-mp3-buena-calidad","fr","Compresser en MP3 de bonne qualité","Compresser en MP3 de bonne qualité","music-settings-view.comprimir-mp3-buena-calidad","igual",""
"settings-section-view.buscar-actualizaciones","ja","アップデートを確認","更新を確認","settings-section-view.buscar-actualizaciones","distinto-manda-Mac",""
"settings-section-view.buscar-actualizaciones","de","Nach Updates suchen","Nach Updates suchen","settings-section-view.buscar-actualizaciones","igual",""
"settings-section-view.buscar-actualizaciones","ru","Проверить обновления","Проверить обновления","settings-section-view.buscar-actualizaciones","igual",""
"settings-section-view.buscar-actualizaciones","fr","Rechercher les mises à jour","Rechercher des mises à jour","settings-section-view.buscar-actualizaciones","distinto-manda-Mac",""
"app-menu-commands.buscar-actualizaciones-aura-studio","ja","Aura Studio のアップデートを確認…","","","no-aplica","solo Mac, sin sitio Windows"
"app-menu-commands.buscar-actualizaciones-aura-studio","de","Nach Aura-Studio-Updates suchen …","","","no-aplica","solo Mac, sin sitio Windows"
"app-menu-commands.buscar-actualizaciones-aura-studio","ru","Проверить обновления Aura Studio…","","","no-aplica","solo Mac, sin sitio Windows"
"app-menu-commands.buscar-actualizaciones-aura-studio","fr","Rechercher les mises à jour d’Aura Studio…","","","no-aplica","solo Mac, sin sitio Windows"
"settings-section-view.actualizaciones-aura-studio","ja","Aura Studio のアップデート","Aura Studio の更新","settings-section-view.actualizaciones-aura-studio","distinto-manda-Mac",""
"settings-section-view.actualizaciones-aura-studio","de","Aura-Studio-Updates","Update von Aura Studio","settings-section-view.actualizaciones-aura-studio","distinto-manda-Mac",""
"settings-section-view.actualizaciones-aura-studio","ru","Обновления Aura Studio","Обновление Aura Studio","settings-section-view.actualizaciones-aura-studio","distinto-manda-Mac",""
"settings-section-view.actualizaciones-aura-studio","fr","Mises à jour d’Aura Studio","Mise à jour d'Aura Studio","settings-section-view.actualizaciones-aura-studio","distinto-manda-Mac",""
"app-update-bar.baja-aura-studio-no-se-actualiza","ja","%@ をダウンロードします。Aura Studio は自動では更新されません。完了したら開いて、アプリを「アプリケーション」にドラッグしてください。","","","no-aplica","solo Mac, sin sitio Windows"
"app-update-bar.baja-aura-studio-no-se-actualiza","de","Lädt %@ herunter. Aura Studio aktualisiert sich nicht selbst: Öffne es nach dem Download und zieh die App in „Programme“.","","","no-aplica","solo Mac, sin sitio Windows"
"app-update-bar.baja-aura-studio-no-se-actualiza","ru","Загружает %@. Aura Studio не обновляется сама: когда загрузка закончится, откройте файл и перетащите приложение в «Программы».","","","no-aplica","solo Mac, sin sitio Windows"
"app-update-bar.baja-aura-studio-no-se-actualiza","fr","Télécharge %@. Aura Studio ne se met pas à jour tout seul : une fois le téléchargement terminé, ouvrez-le et faites glisser l’app dans Applications.","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.instalar-actualizacion","ja","%@ のアップデートをインストール","更新をインストール","device-general-view.instalar-actualizacion","distinto-manda-Mac",""
"device-general-view.instalar-actualizacion","de","%@-Update installieren","Update installieren","device-general-view.instalar-actualizacion","distinto-manda-Mac",""
"device-general-view.instalar-actualizacion","ru","Установить обновление %@","Установить обновление","device-general-view.instalar-actualizacion","distinto-manda-Mac",""
"device-general-view.instalar-actualizacion","fr","Installer la mise à jour de %@","Installer la mise à jour","device-general-view.instalar-actualizacion","distinto-manda-Mac",""
"device-general-view.buscar-actualizaciones","ja","%@ のアップデートを確認","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.buscar-actualizaciones","de","Nach %@-Updates suchen","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.buscar-actualizaciones","ru","Проверить обновления %@","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.buscar-actualizaciones","fr","Rechercher les mises à jour de %@","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.actualizacion-disponible","ja","%@%@ のアップデートがあります","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.actualizacion-disponible","de","Update auf %@%@ verfügbar","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.actualizacion-disponible","ru","Доступно обновление %@%@","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.actualizacion-disponible","fr","Mise à jour %@%@ disponible","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.esta-version-aura-studio-trae-mas","ja","このバージョンの Aura Studio には、iPod に入っているものより新しい %@ が含まれています。アップデートしても音楽や設定は消えません。","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.esta-version-aura-studio-trae-mas","de","Diese Version von Aura Studio bringt ein neueres %@ mit als das auf deinem iPod. Beim Aktualisieren gehen weder Musik noch Einstellungen verloren.","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.esta-version-aura-studio-trae-mas","ru","В этой версии Aura Studio есть более новая %@, чем установленная на вашем iPod. Обновление не удаляет ни музыку, ни настройки.","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.esta-version-aura-studio-trae-mas","fr","Cette version d’Aura Studio contient un %@ plus récent que celui installé sur votre iPod. La mise à jour n’efface ni votre musique ni vos réglages.","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.tu-ipod-tiene-firmware-que-esta","ja","iPod には %@ が入っています。このバージョンの Aura Studio には同梱されていないファームウェアです。アップデートはお知らせできますが適用はできません。リポジトリからダウンロードして、いつもどおりインストールしてください。ライブラリはそのままです。","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.tu-ipod-tiene-firmware-que-esta","de","Auf deinem iPod ist %@, eine Firmware, die diese Version von Aura Studio nicht mitbringt. Sie informiert dich über Updates, kann sie aber nicht einspielen: Lade sie aus ihrem Repository und installiere sie wie gewohnt. Deine Mediathek bleibt unangetastet.","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.tu-ipod-tiene-firmware-que-esta","ru","На вашем iPod установлена %@ — прошивка, которой нет в этой версии Aura Studio. Она сообщает о её обновлениях, но не может их применить: скачайте её из репозитория и установите как обычно. Ваша медиатека не трогается.","","","no-aplica","solo Mac, sin sitio Windows"
"device-general-view.tu-ipod-tiene-firmware-que-esta","fr","Votre iPod a %@, un firmware que cette version d’Aura Studio n’embarque pas. Elle vous signale ses mises à jour mais ne peut pas les appliquer : téléchargez-la depuis son dépôt et installez-la comme d’habitude. Votre bibliothèque n’est pas touchée.","","","no-aplica","solo Mac, sin sitio Windows"
"artists-view.eliminar","ja","削除","削除","artists-view.eliminar","igual",""
"artists-view.eliminar","de","Löschen","Löschen","artists-view.eliminar","igual",""
"artists-view.eliminar","ru","Удалить","Удалить","artists-view.eliminar","igual",""
"artists-view.eliminar","fr","Supprimer","Supprimer","artists-view.eliminar","igual",""
"background-task-center-indicator.cancelar","ja","キャンセル","キャンセル","background-task-center-indicator.cancelar","igual",""
"background-task-center-indicator.cancelar","de","Abbrechen","Abbrechen","background-task-center-indicator.cancelar","igual",""
"background-task-center-indicator.cancelar","ru","Отменить","Отмена","background-task-center-indicator.cancelar","distinto-manda-Mac","Windows usa 'Отмена' (sustantivo), que coincide con el termino ya verificado como estandar de Windows en glosario-plataforma.csv/glosario-veredicto.csv (B7c); Mac usa 'Отменить' (verbo). No es un error evidente de la Mac -- ambas formas son validas en ruso -- pero se anota para que la Maestra decida si conservar la convencion de boton de Windows en este caso puntual."
"background-task-center-indicator.cancelar","fr","Annuler","Annuler","background-task-center-indicator.cancelar","igual",""
"orphans-title","ja","孤立ファイル","孤立ファイル","orphans-title","igual",""
"orphans-title","de","Verwaiste Dateien","Verwaiste Dateien","orphans-title","igual",""
"orphans-title","ru","Неиспользуемые файлы","Неиспользуемые файлы","orphans-title","igual",""
"orphans-title","fr","Fichiers orphelins","Fichiers orphelins","orphans-title","igual",""
"orphans-detail","ja","ライブラリのどの項目にも属さなくなった準備済みファイルとアートワークです。このバージョンより前に削除された項目や、再処理の結果として残ったものです。元のファイルではありません。Aura が自分で作る技術的なコピーで、必要になればまた作れます。","ライブラリのどの項目にも属さなくなった準備済みファイルとアートワークです。このバージョンより前に削除した項目や、再処理によって生じたものです。あなたの元のファイルではありません。Aura が自分で作る技術的なコピーで、必要ならまた作り直せます。","orphans-detail","distinto-manda-Mac",""
"orphans-detail","de","Vorbereitete Dateien und Cover, die zu keinem Objekt deiner Mediathek mehr gehören – von Objekten, die vor dieser Version gelöscht wurden, oder von einer erneuten Verarbeitung. Es sind nicht deine Originaldateien: Es sind technische Kopien, die Aura selbst anlegt und bei Bedarf neu anlegen kann.","Vorbereitete Dateien und Cover, die zu keinem Eintrag deiner Mediathek mehr gehören — von Einträgen, die vor dieser Version gelöscht wurden, oder aus einer erneuten Verarbeitung. Es sind nicht deine Originaldateien: es sind technische Kopien, die Aura selbst anlegt und bei Bedarf wieder anlegen kann.","orphans-detail","distinto-manda-Mac",""
"orphans-detail","ru","Подготовленные файлы и обложки, которые больше не принадлежат ни одному объекту вашей медиатеки — от объектов, удалённых до этой версии, или после повторной обработки. Это не ваши исходные файлы: это технические копии, которые Aura создаёт сама и при необходимости создаст заново.","Подготовленные файлы и обложки, которые больше не принадлежат ни одному элементу вашей медиатеки — от элементов, удалённых до этой версии, или от повторной обработки. Это не ваши исходные файлы: это технические копии, которые Aura делает сама и может сделать заново, если понадобится.","orphans-detail","distinto-manda-Mac",""
"orphans-detail","fr","Fichiers préparés et pochettes qui n’appartiennent plus à aucun élément de votre bibliothèque — issus d’éléments supprimés avant cette version, ou d’un retraitement. Ce ne sont pas vos fichiers d’origine : ce sont des copies techniques qu’Aura crée seul et peut recréer si besoin.","Fichiers préparés et pochettes qui n'appartiennent plus à aucun élément de votre bibliothèque — issus d'éléments supprimés avant cette version, ou d'un retraitement. Ce ne sont pas vos fichiers d'origine : ce sont des copies techniques qu'Aura crée toute seule et peut recréer si besoin.","orphans-detail","distinto-manda-Mac",""
"orphans-button","ja","孤立ファイルを探す","孤立ファイルを探す","orphans-button","igual",""
"orphans-button","de","Verwaiste Dateien suchen","Verwaiste Dateien suchen","orphans-button","igual",""
"orphans-button","ru","Найти неиспользуемые файлы","Найти неиспользуемые файлы","orphans-button","igual",""
"orphans-button","fr","Chercher les fichiers orphelins","Rechercher les orphelins","orphans-button","distinto-manda-Mac",""
"orphans-clean-button","ja","孤立ファイルを整理","孤立ファイルを整理","orphans-clean-button","igual",""
"orphans-clean-button","de","Verwaiste Dateien aufräumen","Verwaiste Dateien aufräumen","orphans-clean-button","igual",""
"orphans-clean-button","ru","Очистить неиспользуемые файлы","Очистить неиспользуемые файлы","orphans-clean-button","igual",""
"orphans-clean-button","fr","Nettoyer les fichiers orphelins","Nettoyer les fichiers orphelins","orphans-clean-button","igual",""
"orphans-none-found","ja","孤立ファイルはありません。整理するものはありません。","孤立ファイルはありません。整理するものはありません。","orphans-none-found","igual",""
"orphans-none-found","de","Es gibt keine verwaisten Dateien: Es ist nichts aufzuräumen.","Es gibt keine verwaisten Dateien: es ist nichts aufzuräumen.","orphans-none-found","igual",""
"orphans-none-found","ru","Неиспользуемых файлов нет: чистить нечего.","Неиспользуемых файлов нет: очищать нечего.","orphans-none-found","distinto-manda-Mac",""
"orphans-none-found","fr","Il n’y a pas de fichiers orphelins : rien à nettoyer.","Il n'y a aucun fichier orphelin : rien à nettoyer.","orphans-none-found","distinto-manda-Mac",""
"orphans-confirm-message","ja","これらはライブラリのどの項目にも結び付いていません。削除しても、お持ちの曲・写真・ビデオには影響しません。","これらはライブラリのどの項目にも結び付いていません。削除しても、お持ちの曲・写真・ビデオには影響しません。","orphans-confirm-message","igual",""
"orphans-confirm-message","de","Sie gehören zu keinem Objekt deiner Mediathek; sie zu löschen betrifft keinen Titel, kein Foto und kein Video, das du hast.","Sie gehören zu keinem Eintrag deiner Mediathek; sie zu löschen betrifft keinen Titel, kein Foto und kein Video, das du hast.","orphans-confirm-message","distinto-manda-Mac",""
"orphans-confirm-message","ru","Они не связаны ни с одним объектом вашей медиатеки; их удаление не затронет ни один трек, фото или видео.","Они не связаны ни с одним элементом вашей медиатеки; их удаление не затронет ни одного трека, ни одного фото и ни одного видео из ваших.","orphans-confirm-message","distinto-manda-Mac",""
"orphans-confirm-message","fr","Ils ne sont liés à aucun élément de votre bibliothèque ; les supprimer n’affecte aucun morceau, photo ou vidéo que vous possédez.","Ils ne sont liés à aucun élément de votre bibliothèque ; les supprimer n'affecte aucun morceau, aucune photo et aucune vidéo que vous ayez.","orphans-confirm-message","distinto-manda-Mac",""
"library-unavailable-view.no-se-perdio-nada-tu-catalogo","ja","何も失われていません。カタログもファイルもそのディスクに残っています。再び利用できるようになるまで、Aura Studio は何も触りません。","何も失われていません。カタログもファイルもそのディスクに残っています。つなげば、ライブラリはひとりでに戻ります。","library-unavailable-view.no-se-perdio-nada-tu-catalogo","distinto-manda-Mac",""
"library-unavailable-view.no-se-perdio-nada-tu-catalogo","de","Es ist nichts verloren: Dein Katalog und deine Dateien liegen weiterhin auf dieser Festplatte. Aura Studio rührt nichts an, bis sie wieder verfügbar ist.","Es ist nichts verloren: der Katalog und deine Dateien liegen weiter auf diesem Datenträger. Schließ ihn an, und die Mediathek kommt von selbst zurück.","library-unavailable-view.no-se-perdio-nada-tu-catalogo","distinto-manda-Mac",""
"library-unavailable-view.no-se-perdio-nada-tu-catalogo","ru","Ничего не потеряно: ваш каталог и файлы остаются на этом диске. Aura Studio ничего не тронет, пока он снова не станет доступен.","Ничего не потеряно: каталог и ваши файлы по-прежнему на этом диске. Подключите его, и медиатека вернётся сама.","library-unavailable-view.no-se-perdio-nada-tu-catalogo","distinto-manda-Mac",""
"library-unavailable-view.no-se-perdio-nada-tu-catalogo","fr","Rien n’est perdu : votre catalogue et vos fichiers sont toujours sur ce disque. Aura Studio n’y touchera pas tant qu’il ne sera pas de nouveau disponible.","Rien n'est perdu : le catalogue et vos fichiers sont toujours sur ce disque. Branchez-le et la bibliothèque revient d'elle-même.","library-unavailable-view.no-se-perdio-nada-tu-catalogo","distinto-manda-Mac",""
"library-unavailable-view.elegir-otra-biblioteca","ja","別のライブラリを選択…","別のライブラリを選ぶ","library-unavailable-view.elegir-otra-biblioteca","distinto-manda-Mac",""
"library-unavailable-view.elegir-otra-biblioteca","de","Andere Mediathek wählen …","Andere Mediathek wählen","library-unavailable-view.elegir-otra-biblioteca","distinto-manda-Mac",""
"library-unavailable-view.elegir-otra-biblioteca","ru","Выбрать другую медиатеку…","Выбрать другую медиатеку","library-unavailable-view.elegir-otra-biblioteca","distinto-manda-Mac",""
"library-unavailable-view.elegir-otra-biblioteca","fr","Choisir une autre bibliothèque…","Choisir une autre bibliothèque","library-unavailable-view.elegir-otra-biblioteca","distinto-manda-Mac",""
"library-unavailable-view.crear-nueva","ja","新規作成","新しく作る","library-unavailable-view.crear-nueva","distinto-manda-Mac",""
"library-unavailable-view.crear-nueva","de","Neue anlegen","Neue anlegen","library-unavailable-view.crear-nueva","igual",""
"library-unavailable-view.crear-nueva","ru","Создать новую","Создать новую","library-unavailable-view.crear-nueva","igual",""
"library-unavailable-view.crear-nueva","fr","En créer une","En créer une nouvelle","library-unavailable-view.crear-nueva","distinto-manda-Mac",""
"done-view.reintentar","ja","再試行","ディスクをつないでやり直す","done-view.reintentar","distinto-manda-Mac","Diferencia grande de CONTENIDO, no solo de estilo: Mac es un boton corto (solo 'Reintentar'), Windows es una oracion larga que instruye conectar el disco. Manda Mac por regla, pero vale que la Maestra lo revise antes de aplicar: perder la instruccion de 'conectar el disco' podria ser una regresion real para el usuario de Windows, no un simple cambio de redaccion."
"done-view.reintentar","de","Erneut versuchen","Datenträger anschließen und erneut versuchen","done-view.reintentar","distinto-manda-Mac","Diferencia grande de CONTENIDO, no solo de estilo: Mac es un boton corto (solo 'Reintentar'), Windows es una oracion larga que instruye conectar el disco. Manda Mac por regla, pero vale que la Maestra lo revise antes de aplicar: perder la instruccion de 'conectar el disco' podria ser una regresion real para el usuario de Windows, no un simple cambio de redaccion."
"done-view.reintentar","ru","Повторить","Подключить диск и попробовать снова","done-view.reintentar","distinto-manda-Mac","Diferencia grande de CONTENIDO, no solo de estilo: Mac es un boton corto (solo 'Reintentar'), Windows es una oracion larga que instruye conectar el disco. Manda Mac por regla, pero vale que la Maestra lo revise antes de aplicar: perder la instruccion de 'conectar el disco' podria ser una regresion real para el usuario de Windows, no un simple cambio de redaccion."
"done-view.reintentar","fr","Réessayer","Brancher le disque et réessayer","done-view.reintentar","distinto-manda-Mac","Diferencia grande de CONTENIDO, no solo de estilo: Mac es un boton corto (solo 'Reintentar'), Windows es una oracion larga que instruye conectar el disco. Manda Mac por regla, pero vale que la Maestra lo revise antes de aplicar: perder la instruccion de 'conectar el disco' podria ser una regresion real para el usuario de Windows, no un simple cambio de redaccion."
"library-unavailable-view.instalador-extras-siguen-funcionando-sin","ja","「インストーラ」と「その他」はライブラリがなくても使えます。","","","no-aplica","solo Mac, sin sitio Windows"
"library-unavailable-view.instalador-extras-siguen-funcionando-sin","de","Installation und Extras funktionieren auch ohne Mediathek.","","","no-aplica","solo Mac, sin sitio Windows"
"library-unavailable-view.instalador-extras-siguen-funcionando-sin","ru","«Установка» и «Дополнения» работают и без медиатеки.","","","no-aplica","solo Mac, sin sitio Windows"
"library-unavailable-view.instalador-extras-siguen-funcionando-sin","fr","L’Installation et les Extras fonctionnent toujours sans la bibliothèque.","","","no-aplica","solo Mac, sin sitio Windows"
"settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","ja","ここにライブラリのカタログが置かれます。iPod がつながっていなくても使え、つないだときに同期します。ファイル自体もここにコピーするかどうかは、下の設定で決まります。","ここにライブラリのカタログがあります。iPod がつながっていなくても動き、つないだときに同期されます。ファイルもここにコピーするかどうかは、下の設定で決まります。","settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","distinto-manda-Mac",""
"settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","de","Hier liegt der Katalog deiner Mediathek – er funktioniert auch, wenn der iPod nicht angeschlossen ist, und wird beim Anschließen synchronisiert. Ob deine Dateien zusätzlich hierher kopiert werden, hängt von der Einstellung unten ab.","Hier liegt der Katalog deiner Mediathek: er funktioniert auch, wenn der iPod nicht angeschlossen ist, und wird beim Anschließen synchronisiert. Ob deine Dateien ebenfalls hierher kopiert werden, hängt von der Einstellung unten ab.","settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","distinto-manda-Mac",""
"settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","ru","Здесь хранится каталог вашей медиатеки — он работает, даже когда iPod не подключён, и синхронизируется при подключении. Копируются ли сюда ещё и ваши файлы, зависит от настройки ниже.","Здесь живёт каталог вашей медиатеки: он работает, даже когда iPod не подключён, и синхронизируется, когда вы его подключите. Копируются ли сюда ещё и ваши файлы, зависит от настройки ниже.","settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","distinto-manda-Mac",""
"settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","fr","C’est ici que vit le catalogue de votre bibliothèque — il fonctionne même quand l’iPod n’est pas branché, et se synchronise dès que vous le branchez. Que vos fichiers y soient aussi copiés dépend du réglage ci-dessous.","C'est ici que vit le catalogue de votre bibliothèque : il fonctionne même quand l'iPod n'est pas branché, et il se synchronise dès que vous le branchez. Que vos fichiers soient aussi copiés ici dépend du réglage ci-dessous.","settings-section-view.aqui-vive-catalogo-tu-biblioteca-funcion","distinto-manda-Mac",""
"settings-page.migrar-version-anterior","ja","以前のバージョンから移行","以前のバージョンから移行","settings-page.migrar-version-anterior","igual",""
"settings-page.migrar-version-anterior","de","Von einer älteren Version migrieren","Von einer früheren Version migrieren","settings-page.migrar-version-anterior","distinto-manda-Mac",""
"settings-page.migrar-version-anterior","ru","Миграция с предыдущей версии","Перенести из более ранней версии","settings-page.migrar-version-anterior","distinto-manda-Mac",""
"settings-page.migrar-version-anterior","fr","Migrer depuis une version antérieure","Migrer depuis une version antérieure","settings-page.migrar-version-anterior","igual",""
"settings-page.migrar-biblioteca","ja","ライブラリを移行","ライブラリを移行","settings-page.migrar-biblioteca","igual",""
"settings-page.migrar-biblioteca","de","Mediathek migrieren","Mediathek migrieren","settings-page.migrar-biblioteca","igual",""
"settings-page.migrar-biblioteca","ru","Мигрировать медиатеку","Перенести медиатеку","settings-page.migrar-biblioteca","distinto-manda-Mac",""
"settings-page.migrar-biblioteca","fr","Migrer la bibliothèque","Migrer la bibliothèque","settings-page.migrar-biblioteca","igual",""
"settings.language-machine-translated","ja","機械翻訳です。ネイティブスピーカーによる確認はまだ行われていません","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-machine-translated","de","Maschinelle Übersetzung, noch nicht von Muttersprachlern geprüft","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-machine-translated","ru","Машинный перевод, ещё не проверенный носителями языка","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-machine-translated","fr","Traduction automatique, pas encore relue par des locuteurs natifs","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-title","ja","Aura Studio を今すぐ終了しますか？","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-title","de","Aura Studio jetzt schließen?","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
"settings.language-apply-title","ru","Закрыть Aura Studio сейчас?","","","no-aplica","sitio Windows vacio en claves-compartidas.csv (estado: clave distinta)"
