clave,tipo,archivo,linea,texto_original,texto_con_marcadores,tiene_interpolacion,nota
app-strings.bootloader-update-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,510,Actualizar el arranque,Actualizar el arranque,no,
app-strings.bootloader-update-what-it-is,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,513,"El arranque es el programa que corre antes del firmware, en un chip aparte del disco. Esta versión trae uno nuevo, con otra pantalla de encendido.","El arranque es el programa que corre antes del firmware, en un chip aparte del disco. Esta versión trae uno nuevo, con otra pantalla de encendido.",no,
app-strings.bootloader-update-why-dfu,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,517,Hace falta modo DFU porque ese chip no se puede escribir de ninguna otra forma.,Hace falta modo DFU porque ese chip no se puede escribir de ninguna otra forma.,no,
app-strings.declared-family-label,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,255,Familia declarada,Familia declarada,no,
app-strings.delete-confirm-cancel,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,184,Cancelar,Cancelar,no,
app-strings.delete-confirm-primary,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,183,Eliminar,Eliminar,no,
app-strings.device-ambiguous,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,75,"Se encontraron {count} discos que podrían ser tu iPod. Por seguridad, Aura Studio no elige uno solo — desconecta los demás discos externos y vuelve a intentar.","Se encontraron {0} discos que podrían ser tu iPod. Por seguridad, Aura Studio no elige uno solo — desconecta los demás discos externos y vuelve a intentar.",sí,
app-strings.device-connected,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,78,Conectado: {name},Conectado: {0},sí,
app-strings.device-detecting,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,65,Buscando tu iPod…,Buscando tu iPod…,no,
app-strings.device-not-connected,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,67,No hay ningún iPod conectado. Conecta tu iPod Classic por USB.,No hay ningún iPod conectado. Conecta tu iPod Classic por USB.,no,
app-strings.dfu-driver-heading,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,588,Controlador para el modo DFU,Controlador para el modo DFU,no,
app-strings.dfu-driver-installed-no-device,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,597,El controlador de Apple está instalado. Todavía no se ve ningún iPod en modo DFU.,El controlador de Apple está instalado. Todavía no se ve ningún iPod en modo DFU.,no,
app-strings.dfu-driver-missing,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,593,Windows ve el iPod pero no tiene controlador para él. Instala «Dispositivos Apple» desde la Microsoft Store (o iTunes de Apple) y vuelve a conectarlo: Aura Studio necesita ese controlador para hablarle al iPod en modo DFU.,Windows ve el iPod pero no tiene controlador para él. Instala «Dispositivos Apple» desde la Microsoft Store (o iTunes de Apple) y vuelve a conectarlo: Aura Studio necesita ese controlador para hablarle al iPod en modo DFU.,no,
app-strings.dfu-driver-package-missing,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,599,"No se encontró el controlador de dispositivos de Apple. Instala «Dispositivos Apple» desde la Microsoft Store (o iTunes) antes de continuar: sin él, Windows no puede hablarle al iPod en modo DFU.","No se encontró el controlador de dispositivos de Apple. Instala «Dispositivos Apple» desde la Microsoft Store (o iTunes) antes de continuar: sin él, Windows no puede hablarle al iPod en modo DFU.",no,
app-strings.dfu-driver-ready,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,591,Windows reconoce «{device}» y tiene su controlador funcionando.,Windows reconoce «{0}» y tiene su controlador funcionando.,sí,
app-strings.dfu-driver-unknown,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,603,No se pudo consultar el estado del controlador.,No se pudo consultar el estado del controlador.,no,
app-strings.eject-failed,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,252,No se pudo expulsar el iPod. Cierra las aplicaciones que estén usando la unidad y vuelve a intentarlo.,No se pudo expulsar el iPod. Cierra las aplicaciones que estén usando la unidad y vuelve a intentarlo.,no,
app-strings.eject-requested,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,250,Se solicitó la expulsión. Ya puedes desconectar el iPod cuando Windows lo indique.,Se solicitó la expulsión. Ya puedes desconectar el iPod cuando Windows lo indique.,no,
app-strings.general-subtitle,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,233,Administra tu iPod y revisa su estado,Administra tu iPod y revisa su estado,no,
app-strings.general-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,232,General,General,no,
app-strings.installer-already-writing,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,582,Ya hay una operación escribiendo en el iPod. Espera a que termine antes de empezar otra.,Ya hay una operación escribiendo en el iPod. Espera a que termine antes de empezar otra.,no,
app-strings.installer-artifacts-invalid,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,584,"Los archivos del firmware no se pudieron verificar, así que no se instala nada.","Los archivos del firmware no se pudieron verificar, así que no se instala nada.",no,
app-strings.installer-awaiting-reboot,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,488,Grabado. Esperando a que el iPod se reinicie y vuelva a aparecer…,Grabado. Esperando a que el iPod se reinicie y vuelva a aparecer…,no,
app-strings.installer-begin,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,343,Comenzar,Comenzar,no,
app-strings.installer-cancelled,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,580,Operación cancelada.,Operación cancelada.,no,
app-strings.installer-copied-files,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,418,{count} archivos escritos en el iPod.,{0} archivos escritos en el iPod.,sí,
app-strings.installer-copy-failed,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,417,No se pudo copiar el firmware al iPod.,No se pudo copiar el firmware al iPod.,no,
app-strings.installer-copy-files,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,416,Copiar el firmware,Copiar el firmware,no,
app-strings.installer-copying-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,415,Copiando el firmware al iPod…,Copiando el firmware al iPod…,no,
app-strings.installer-detect-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,357,Revisa estos datos con cuidado. Lo que sigue borra el contenido del disco que aparece aquí.,Revisa estos datos con cuidado. Lo que sigue borra el contenido del disco que aparece aquí.,no,
app-strings.installer-detect-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,355,Confirma que este es tu iPod,Confirma que este es tu iPod,no,
app-strings.installer-dfu-detected-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,452,Aura Studio lo reconoció al conectarlo. ¿Quieres instalarle un firmware? No se hace nada hasta que elijas.,Aura Studio lo reconoció al conectarlo. ¿Quieres instalarle un firmware? No se hace nada hasta que elijas.,no,
app-strings.installer-dfu-detected-dismiss,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,455,Ahora no,Ahora no,no,
app-strings.installer-dfu-detected-install,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,454,"Sí, instalar","Sí, instalar",no,
app-strings.installer-dfu-detected-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,450,Tu iPod está en modo DFU,Tu iPod está en modo DFU,no,
app-strings.installer-dfu-found-1,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,461,iPod detectado en modo DFU.,iPod detectado en modo DFU.,no,
app-strings.installer-dfu-found-2,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,461,iPod detectado en modo DFU (estado {state}).,iPod detectado en modo DFU (estado {0}).,sí,
app-strings.installer-dfu-guide-link,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,442,Guía de flasheo y restauración (repositorio del firmware),Guía de flasheo y restauración (repositorio del firmware),no,
app-strings.installer-dfu-guide-url,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,444,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,no,
app-strings.installer-dfu-no-families,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,457,No hay ningún firmware disponible para instalar: falta poblar la carpeta de artefactos.,No hay ningún firmware disponible para instalar: falta poblar la carpeta de artefactos.,no,
app-strings.installer-dfu-not-found,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,463,No se ve ningún iPod en modo DFU todavía. Repite la combinación de botones y vuelve a buscar. Recuerda seguir presionando después de que la pantalla se ponga negra.,No se ve ningún iPod en modo DFU todavía. Repite la combinación de botones y vuelve a buscar. Recuerda seguir presionando después de que la pantalla se ponga negra.,no,
app-strings.installer-dfu-not-seen-by-windows,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,472,"El controlador de Apple está instalado, pero Windows no ve ningún dispositivo de Apple. Si ya hiciste la combinación de botones y la pantalla del iPod está en negro, es probable que esté en modo DFU y que su conexión USB no esté llegando hasta aquí. En una máquina virtual, revisa que el iPod en modo DFU esté redirigido a Windows: al entrar en DFU cambia de identificador USB y puede hacer falta autorizarlo de nuevo.","El controlador de Apple está instalado, pero Windows no ve ningún dispositivo de Apple. Si ya hiciste la combinación de botones y la pantalla del iPod está en negro, es probable que esté en modo DFU y que su conexión USB no esté llegando hasta aquí. En una máquina virtual, revisa que el iPod en modo DFU esté redirigido a Windows: al entrar en DFU cambia de identificador USB y puede hacer falta autorizarlo de nuevo.",no,
app-strings.installer-dfu-step1,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,430,"Si tu iPod está reproduciendo música, detén la reproducción.","Si tu iPod está reproduciendo música, detén la reproducción.",no,
app-strings.installer-dfu-step2,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,431,Mantén presionados SELECT + MENU al mismo tiempo.,Mantén presionados SELECT + MENU al mismo tiempo.,no,
app-strings.installer-dfu-step3,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,433,"Sigue presionando ambos botones unos 12 segundos, hasta después de que la pantalla se ponga negra.","Sigue presionando ambos botones unos 12 segundos, hasta después de que la pantalla se ponga negra.",no,
app-strings.installer-dfu-step4,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,435,Suéltalos. Aura Studio va a detectar el modo DFU automáticamente.,Suéltalos. Aura Studio va a detectar el modo DFU automáticamente.,no,
app-strings.installer-dfu-timing-warning,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,439,"Si sueltas los botones antes de unos 12 segundos, el iPod se reinicia normalmente y NO entra en modo DFU. Que la pantalla se ponga negra no es la señal de soltar: sigue presionando después de eso.","Si sueltas los botones antes de unos 12 segundos, el iPod se reinicia normalmente y NO entra en modo DFU. Que la pantalla se ponga negra no es la señal de soltar: sigue presionando después de eso.",no,
app-strings.installer-dfu-unreadable,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,478,No se pudo leer el estado del iPod. Revisa abajo si falta el controlador de Apple.,No se pudo leer el estado del iPod. Revisa abajo si falta el controlador de Apple.,no,
app-strings.installer-dfu-waiting,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,446,Esperando el modo DFU…,Esperando el modo DFU…,no,
app-strings.installer-done-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,577,El firmware quedó instalado. Expulsa el iPod desde General antes de desconectarlo.,El firmware quedó instalado. Expulsa el iPod desde General antes de desconectarlo.,no,
app-strings.installer-done-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,575,Listo,Listo,no,
app-strings.installer-dry-run,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,377,Ensayar sin escribir,Ensayar sin escribir,no,
app-strings.installer-dry-run-heading,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,406,Ensayo terminado — no se tocó el disco,Ensayo terminado — no se tocó el disco,no,
app-strings.installer-dry-run-ok,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,380,El ensayo salió bien: el disco se volvió a verificar con permisos de administrador y el plan de formateo es válido. No se escribió nada todavía.,El ensayo salió bien: el disco se volvió a verificar con permisos de administrador y el plan de formateo es válido. No se escribió nada todavía.,no,
app-strings.installer-dry-run-running,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,378,Ensayando la preparación del disco…,Ensayando la preparación del disco…,no,
app-strings.installer-enter-dfu-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,424,Ahora pon el iPod en modo DFU,Ahora pon el iPod en modo DFU,no,
app-strings.installer-enter-dfu-when,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,427,Este es el momento: el disco ya está listo y lo que sigue es grabar el arranque. El iPod tiene que estar conectado por USB mientras lo haces.,Este es el momento: el disco ya está listo y lo que sigue es grabar el arranque. El iPod tiene que estar conectado por USB mientras lo haces.,no,
app-strings.installer-failed-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,578,No se pudo continuar,No se pudo continuar,no,
app-strings.installer-family-change,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,373,"Este iPod tiene {installed} instalado y vas a instalar {target}. {installed} se guarda completo, con sus ajustes, y puedes volver a él desde Extras cuando quieras.","Este iPod tiene {0} instalado y vas a instalar {1}. {0} se guarda completo, con sus ajustes, y puedes volver a él desde Extras cuando quieras.",sí,
app-strings.installer-family-label,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,344,Firmware que se va a instalar,Firmware que se va a instalar,no,
app-strings.installer-flash,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,480,Grabar el arranque,Grabar el arranque,no,
app-strings.installer-flash-confirm,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,483,Entiendo que esto reemplaza el arranque original de Apple y no se puede deshacer sin restaurarlo.,Entiendo que esto reemplaza el arranque original de Apple y no se puede deshacer sin restaurarlo.,no,
app-strings.installer-flash-failed,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,486,No se pudo grabar el arranque.,No se pudo grabar el arranque.,no,
app-strings.installer-flash-needs-confirmation,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,485,Falta tu confirmación para grabar el arranque. Aura Studio no graba nada sin que confirmes antes.,Falta tu confirmación para grabar el arranque. Aura Studio no graba nada sin que confirmes antes.,no,
app-strings.installer-flashing,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,481,Grabando el arranque en el iPod…,Grabando el arranque en el iPod…,no,
app-strings.installer-format-confirm,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,400,Entiendo que se va a borrar todo el contenido de {target}.,Entiendo que se va a borrar todo el contenido de {0}.,sí,
app-strings.installer-format-danger-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,396,El ensayo de arriba no tocó nada. Lo que sigue borra todo el contenido del disco y no se puede deshacer. Revisa que sea el iPod correcto antes de continuar.,El ensayo de arriba no tocó nada. Lo que sigue borra todo el contenido del disco y no se puede deshacer. Revisa que sea el iPod correcto antes de continuar.,no,
app-strings.installer-format-danger-heading,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,393,Esto sí borra el iPod,Esto sí borra el iPod,no,
app-strings.installer-format-needs-confirmation,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,403,Falta tu confirmación para borrar el iPod. Aura Studio no formatea nada sin que confirmes antes sobre qué disco va a actuar.,Falta tu confirmación para borrar el iPod. Aura Studio no formatea nada sin que confirmes antes sobre qué disco va a actuar.,no,
app-strings.installer-format-needs-dry-run,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,384,Primero hay que ensayar la preparación del disco. Así se comprueba todo sin escribir nada.,Primero hay que ensayar la preparación del disco. Así se comprueba todo sin escribir nada.,no,
app-strings.installer-format-now-on,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,391,Borrar y formatear {target},Borrar y formatear {0},sí,
app-strings.installer-format-running,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,382,Dando formato al disco del iPod…,Dando formato al disco del iPod…,no,
app-strings.installer-needs-mounted-volume,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,361,El iPod no tiene un volumen que Windows pueda leer. Prepara el disco antes de copiar los archivos.,El iPod no tiene un volumen que Windows pueda leer. Prepara el disco antes de copiar los archivos.,no,
app-strings.installer-no-device,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,359,No hay ningún iPod conectado. Conéctalo por USB y espera a que Windows lo reconozca.,No hay ningún iPod conectado. Conéctalo por USB y espera a que Windows lo reconozca.,no,
app-strings.installer-permissions-continue,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,353,"Entendido, continuar","Entendido, continuar",no,
app-strings.installer-permissions-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,348,"Para preparar el disco del iPod, Windows te va a pedir permiso de administrador con su propio aviso. Aura Studio hace todo desde aquí: nunca vas a tener que abrir una consola ni escribir un comando. El permiso se pide solo para dos cosas concretas — dar formato al disco del iPod y, durante el grabado, pausar el servicio de Apple que podría quedarse con el puerto USB. Cada vez que se use queda anotado en la bitácora de la aplicación.","Para preparar el disco del iPod, Windows te va a pedir permiso de administrador con su propio aviso. Aura Studio hace todo desde aquí: nunca vas a tener que abrir una consola ni escribir un comando. El permiso se pide solo para dos cosas concretas — dar formato al disco del iPod y, durante el grabado, pausar el servicio de Apple que podría quedarse con el puerto USB. Cada vez que se use queda anotado en la bitácora de la aplicación.",no,
app-strings.installer-permissions-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,346,Permisos que hacen falta,Permisos que hacen falta,no,
app-strings.installer-prepare-disk,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,376,Preparar el disco,Preparar el disco,no,
app-strings.installer-privileged-log-heading,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,407,Lo que hizo la operación con permisos,Lo que hizo la operación con permisos,no,
app-strings.installer-rebooted,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,490,El iPod salió de modo DFU. Ya puedes copiar el firmware.,El iPod salió de modo DFU. Ya puedes copiar el firmware.,no,
app-strings.installer-restart,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,579,Empezar de nuevo,Empezar de nuevo,no,
app-strings.installer-safety-abort,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,410,Aura Studio se detuvo por seguridad antes de tocar el disco: {reason}.,Aura Studio se detuvo por seguridad antes de tocar el disco: {0}.,sí,
app-strings.installer-scan-dfu,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,458,Buscar el iPod en DFU,Buscar el iPod en DFU,no,
app-strings.installer-scanning-dfu,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,459,Buscando el iPod en modo DFU…,Buscando el iPod en modo DFU…,no,
app-strings.installer-stuck-in-dfu,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,492,El iPod sigue en modo DFU y no se confirmó la instalación. No desconectes: vuelve a buscarlo.,El iPod sigue en modo DFU y no se confirmó la instalación. No desconectes: vuelve a buscarlo.,no,
app-strings.installer-subtitle,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,334,"Instala el firmware en tu iPod, paso a paso","Instala el firmware en tu iPod, paso a paso",no,
app-strings.installer-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,333,Instalador,Instalador,no,
app-strings.installer-unknown-disk,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,413,"No se pudo identificar el número de disco de «{path}», así que no se toca nada.","No se pudo identificar el número de disco de «{0}», así que no se toca nada.",sí,
app-strings.installer-welcome-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,338,"Aura Studio va a preparar el disco de tu iPod, grabar el arranque y copiar el firmware. Te va a ir explicando cada paso antes de hacerlo, y no toca nada hasta que confirmes.","Aura Studio va a preparar el disco de tu iPod, grabar el arranque y copiar el firmware. Te va a ir explicando cada paso antes de hacerlo, y no toca nada hasta que confirmes.",no,
app-strings.installer-welcome-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,336,Vamos a instalar el firmware en tu iPod,Vamos a instalar el firmware en tu iPod,no,
app-strings.installer-welcome-warning,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,341,"Instalar borra todo lo que haya en el iPod y reemplaza su arranque original de Apple. Si tienes música solo ahí, cópiala antes.","Instalar borra todo lo que haya en el iPod y reemplaza su arranque original de Apple. Si tienes música solo ahí, cópiala antes.",no,
app-strings.label-bus,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,365,Conexión,Conexión,no,
app-strings.label-capacity,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,236,Capacidad,Capacidad,no,
app-strings.label-device,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,363,Dispositivo,Dispositivo,no,
app-strings.label-file-system,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,239,Sistema de archivos,Sistema de archivos,no,
app-strings.label-firmware,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,366,Firmware detectado,Firmware detectado,no,
app-strings.label-free,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,238,Disponible,Disponible,no,
app-strings.label-music,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,240,Música,Música,no,
app-strings.label-photos,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,242,Fotos,Fotos,no,
app-strings.label-playlists,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,243,Listas,Listas,no,
app-strings.label-unit,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,364,Unidad,Unidad,no,
app-strings.label-used,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,237,Usado,Usado,no,
app-strings.label-video,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,241,Video,Video,no,
app-strings.last-sync-summary,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,254,Resumen de la última sincronización,Resumen de la última sincronización,no,
app-strings.library-add-files,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,142,Agregar archivos,Agregar archivos,no,
app-strings.library-add-folder,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,143,Agregar carpeta,Agregar carpeta,no,
