clase	donde	codigo
PANTALLA	AuraStudio.App\Platform\AppUpdateInstaller.cs:127	: "Lo descargado no coincide con el resumen que publica GitHub para ese archivo. "
PANTALLA	AuraStudio.App\Platform\AppUpdateInstaller.cs:128	+ "Se borró y no se abrió nada; vuelve a intentarlo más tarde.";
PANTALLA	AuraStudio.App\Platform\AppUpdateInstaller.cs:138	+ "incompleta. Se borró y no se abrió nada.";
PANTALLA	AuraStudio.App\Platform\AppUpdateInstaller.cs:74	return new AppUpdateDownloadResult(AppUpdateDownloadOutcome.Cancelled, "Se detuvo la descarga.");
PANTALLA	AuraStudio.App\Platform\AudioTranscoder.cs:219	+ "ALAC necesita Windows 10 versión 1803 o más nuevo.");
PANTALLA	AuraStudio.App\Platform\AudioTranscoder.cs:304	+ "del formato que dice su extensión.");
PANTALLA	AuraStudio.App\Platform\CredentialStore.cs:142	"Carátulas y arte de disco en alta resolución (~1000 px), fotos de artista, y pósters curados de películas y series (estos últimos necesitan además la clave de TMDB para encontrar el título).",
PANTALLA	AuraStudio.App\Platform\CredentialStore.cs:143	"Crea una cuenta gratuita en fanart.tv, entra a tu perfil y copia la \"Personal API Key\" (no la de proyecto).",
PANTALLA	AuraStudio.App\Platform\CredentialStore.cs:149	"Pósters de películas y series. Encuentra el título y su identificador; con fanart.tv configurado se prefiere el póster curado de allá, y si no, el de TMDB.",
PANTALLA	AuraStudio.App\Platform\CredentialStore.cs:150	"Crea una cuenta gratuita en themoviedb.org, entra a Ajustes › API y copia la \"API Key (v3 auth)\".",
PANTALLA	AuraStudio.App\Platform\CredentialStore.cs:164	"Los repositorios de los firmwares son públicos: Aura Studio ya avisa de versiones nuevas sin necesitar nada de esto. Un token de solo lectura solo eleva el límite de consultas a la API de GitHub; instalar el firmware nunca depende de esto, porque viene incluido en la app.",
PANTALLA	AuraStudio.App\Platform\CredentialStore.cs:165	"Si de todas formas quieres uno: crea un token de acceso personal \"fine-grained\" en github.com › Settings › Developer settings, con acceso solo a Aura-Firmware, Metro-Aura y moonlit-aura, y permiso Contents: Read-only.",
PANTALLA	AuraStudio.App\Platform\DfuFlashRunner.cs:104	"El iPod todavía está en modo DFU…", progress, ct);
PANTALLA	AuraStudio.App\Platform\DfuFlashRunner.cs:109	"Esperando a que el iPod entre en modo DFU…", progress, ct);
PANTALLA	AuraStudio.App\Platform\DfuFlashRunner.cs:171	return new ProcessResult(-1, "No se pudo iniciar mks5lboot.exe.");
PANTALLA	AuraStudio.App\Platform\DfuFlashRunner.cs:37	"No se encontró mks5lboot.exe junto a Aura Studio.", -1);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:203	"Ensayo completo: el disco se volvió a verificar y el plan de formateo es válido. " +
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:204	"No se escribió nada.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:253	? "Windows releyó la tabla de particiones"
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:254	: "Windows no releyó la tabla (se verá al reconectar el iPod)");
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:264	return PrivilegedOperationResult.Ok("El iPod quedó formateado en FAT32.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:407	return PrivilegedOperationResult.Ok("El servicio de Apple ya estaba en marcha.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:412	return PrivilegedOperationResult.Ok("Se volvió a arrancar el servicio de Apple.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:417	return PrivilegedOperationResult.Ok("El servicio de Apple ya estaba detenido.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:421	return PrivilegedOperationResult.Failure("El servicio de Apple no se puede detener.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:432	"No se pudo preparar la reactivación automática, así que no se detuvo ningún servicio.",
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:438	return PrivilegedOperationResult.Ok("Se detuvo el servicio de Apple durante el grabado.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:445	return PrivilegedOperationResult.Ok("No hay servicio de Apple que pausar en este equipo.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:450	"El servicio de Apple no respondió a tiempo.", log);
PANTALLA	AuraStudio.App\Platform\PrivilegedHost.cs:55	result = PrivilegedOperationResult.Failure("La petición no se pudo leer.");
PANTALLA	AuraStudio.App\Platform\PrivilegedRunner.cs:104	"Cancelaste la autorización. Este paso no puede continuar sin ese permiso.");
PANTALLA	AuraStudio.App\Platform\PrivilegedRunner.cs:79	"Cancelaste la autorización. Este paso no puede continuar sin ese permiso.");
PANTALLA	AuraStudio.App\Platform\PrivilegedRunner.cs:86	"La operación con permisos de administrador terminó sin dejar resultado. " +
PANTALLA	AuraStudio.App\Platform\PrivilegedRunner.cs:87	"No se puede saber si alcanzó a hacer algo, así que no se continúa.");
PANTALLA	AuraStudio.App\Platform\PrivilegedRunner.cs:92	?? PrivilegedOperationResult.Failure("No se pudo leer el resultado de la operación.");
PANTALLA	AuraStudio.App\Platform\VolumeLock.cs:126	"Cierra las ventanas del Explorador y las aplicaciones que estén usando el iPod.");
PANTALLA	AuraStudio.App\Services\AppUpdateService.cs:136	StatusMessage = "No se pudo consultar GitHub para saber si hay una versión más nueva. " +
PANTALLA	AuraStudio.App\Services\AppUpdateService.cs:137	"Revisa tu conexión y vuelve a intentar.";
PANTALLA	AuraStudio.App\Services\AppUpdateService.cs:161	"ábrelo en GitHub para descargarlo a mano.";
PANTALLA	AuraStudio.App\Services\EnrichmentService.cs:59	"\"Completar en línea\" está apagado en Ajustes › Servicios.");
PANTALLA	AuraStudio.App\Services\FirmwareTreeInstaller.cs:28	return new FirmwareTreeInstallResult(false, 0, "El volumen del iPod ya no está disponible.");
PANTALLA	AuraStudio.App\Services\LibraryProcessor.cs:74	item.Status = LibraryItemStatus.Failed("Este tipo de archivo no es compatible.");
PANTALLA	AuraStudio.App\Services\SyncService.cs:32	if (!Directory.Exists(volumeRoot)) return Failure("El volumen del iPod ya no está disponible.", started);
PANTALLA	AuraStudio.App\Services\SyncService.cs:52	if (!Directory.Exists(volumeRoot)) return Failure("El volumen del iPod ya no está disponible.", started);
PANTALLA	AuraStudio.App\ViewModels\ArtistsViewModel.cs:226	public string FavoriteButtonText => SelectionAllFavorite ? "Quitar favorito" : "Marcar como favorito";
PANTALLA	AuraStudio.App\ViewModels\ArtistsViewModel.cs:74	(IsFavorite ? "Quitar de favoritos: " : "Marcar como favorito: ") + Title;
PANTALLA	AuraStudio.App\ViewModels\DeviceListViewModel.cs:268	? "El firmware quedó actualizado. Expulsa el iPod y enciéndelo."
PANTALLA	AuraStudio.App\ViewModels\DeviceListViewModel.cs:97	"Busca actualizaciones para saber si hay una más nueva publicada."
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:105	return "Lenguaje visual Waning Crescent: calma nocturna, Material Design 3 adaptado al iPod, " +
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:106	"sin sistema de temas.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:115	"Elige cuál de los firmwares instalables usa Aura Studio la próxima vez que abras el Instalador. " +
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:116	"Todos son software libre (GPL v2), derivados de Rockbox, y comparten la misma biblioteca: " +
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:117	"tu música, fotos y videos se sincronizan igual con cualquiera.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:213	? "Las versiones son las más recientes publicadas en GitHub: instalar desde cero descarga esa."
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:214	: "No se pudo consultar GitHub (revisa el token en Ajustes › Servicios): se muestran las versiones " +
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:215	"incluidas en Aura Studio, que son las que se instalarían.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:274	return "Conecta tu iPod con Aura instalado para instalar, activar o construir temas.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:278	string name = device.DeclaredFamily?.DisplayName ?? "Este firmware";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:282	return "Tema integrado (Claro/Oscuro) más los que instales — Ajustes › Estilo, en el iPod.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:286	public const string AnimationsDetail = "Tres niveles cada uno. Se eligen en Ajustes, en el iPod.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:291	"Estos extras del iPod original no están implementados en Aura. " +
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:292	"Cuando existan, se van a poder gestionar desde aquí.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:294	public const string NotImplemented = "No implementados.";
PANTALLA	AuraStudio.App\ViewModels\ExtrasViewModel.cs:299	"Todos los firmwares son GPL v2. Aquí están sus fuentes, versiones exactas y cambios.";
PANTALLA	AuraStudio.App\ViewModels\InstallerViewModel.cs:1261	"No se pudo determinar qué firmware instalar. Vuelve a elegirlo y reintenta.");
PANTALLA	AuraStudio.App\ViewModels\InstallerViewModel.cs:812	DfuDriverStatus.DeviceReady => AppStrings.DfuDriverReady(report.DeviceName ?? "el dispositivo"),
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:1035	"Normalizando carátulas…", BackgroundTaskProgress.Of(0, files.Count), cancellation.Cancel);
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:1677	"Migrando la biblioteca…", BackgroundTaskProgress.Of(0, items.Count));
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:2007	StatusMessage = removed == 0 ? "No había ningún póster que quitar." : "Se quitó el póster.";
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:2007	StatusMessage = removed == 0 ? "No había ningún póster que quitar." : "Se quitó el póster.";
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:2073	? "No se encontró letra para lo seleccionado."
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:48	(0, 0) => "No había ningún álbum con título al que aplicarle una tapa.",
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:49	(0, 1) => "No se encontró una tapa segura para ese álbum.",
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:51	(1, 0) => "Se aplicó la tapa recomendada a 1 álbum.",
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:554	? "No se consiguió ningún póster nuevo."
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:750	"Cargando biblioteca…", BackgroundTaskProgress.Indeterminate, cancellation.Cancel);
PANTALLA	AuraStudio.App\ViewModels\LibraryViewModel.cs:893	"Midiendo archivos…", BackgroundTaskProgress.Of(0, pending.Count), cancellation.Cancel);
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:343	MediaGridKind.Albums => "Los álbumes de tu biblioteca, armados con la metadata de cada canción.",
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:344	MediaGridKind.Movies => "Tus películas.",
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:345	MediaGridKind.Series => "Tus series, con sus temporadas.",
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:346	MediaGridKind.PhotoCollection => "Álbumes de esta colección. Los álbumes son locales: al iPod las fotos viajan sin carpetas.",
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:347	MediaGridKind.AllPhotos => "Todas tus imágenes.",
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:348	MediaGridKind.Clips => "Videos que no son película ni serie.",
PANTALLA	AuraStudio.App\ViewModels\MediaGridViewModel.cs:349	_ => "Todos tus videos."
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:231	: "Esta carpeta todavía no tiene una biblioteca de Aura Studio: empieza vacía.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:253	? "Cada canción, foto o video que sueltas en Aura Studio se copia dentro de la carpeta de arriba; el original queda intacto donde estaba. Usa más espacio en disco, pero la biblioteca queda completa en un solo lugar."
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:254	: "No se copia nada: la biblioteca referencia tus archivos donde ya están, y aquí solo se guarda lo que los liga a Aura (metadata, letras, portadas). Al sincronizar, Aura Studio arma el archivo para el iPod leyendo el original en ese momento — un poco más lento la primera vez, pero tu disco nunca termina con una copia duplicada de toda tu biblioteca.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:267	"Un WAV o un AIFF ocupa diez veces lo que la misma canción comprimida, y el disco del iPod no "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:268	+ "da abasto: al copiarlos a la biblioteca se convierten, con el codificador que ya trae "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:269	+ "Windows, a " + (AudioOriginal ? "ALAC, que es sin pérdida" : "MP3 de 256 kbps")
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:270	+ " — lo que hayas elegido en \"Cómo guardar tu música\". Tu archivo original queda intacto "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:271	+ "donde estaba.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:365	: "Si esta biblioteca la armó una versión anterior de Aura Studio, migrarla deja las "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:366	+ "etiquetas del catálogo escritas en las copias de Música, ordena lo preparado y borra "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:367	+ "lo que ya no usa nadie. Tus archivos originales no se tocan, y correrla de nuevo "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:368	+ "cuando ya está al día no cambia nada.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:404	"«Gorillaz feat. De La Soul» se muestra dentro de «Gorillaz»: una sola fila en Artistas y una sola foto de artista. " +
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:405	"Los separadores son «feat.», «feat», «ft.», «ft», «featuring», «+», «with» y «con», siempre como palabra suelta. " +
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:406	"«vs.» y «versus» NO agrupan: «Spacemonkeyz vs. Gorillaz» es un proyecto con nombre propio. " +
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:407	"Esto solo cambia cómo se AGRUPA lo que ves; nunca reescribe el artista de la canción ni mueve carpetas en el iPod.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:462	? "Una sola imagen por álbum, compartida por todas sus canciones. Es lo que el firmware busca primero y ocupa mucho menos espacio en el iPod."
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:463	: "Cada canción lleva su propia carátula. Sirve para sencillos y recopilaciones, donde una sola portada por álbum sería incorrecta.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:516	MusicOrganization.Album => "Music/Álbum/ — todas las canciones agrupadas solo por álbum, sin carpeta de artista.",
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:517	MusicOrganization.Artist => "Music/Artista/ — todas las canciones del artista juntas, sin carpeta de álbum.",
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:518	_ => "Music/Artista/Álbum/ — una carpeta por álbum dentro de cada artista."
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:603	? "FLAC, ALAC, M4A y MP3 se copian tal cual: el iPod con Aura los reproduce sin perder calidad. "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:604	+ "WAV y AIFF sí se convierten, a ALAC, que también es sin pérdida y ocupa la mitad. Tu "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:605	+ "archivo original nunca se modifica."
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:606	: "Cada canción se convierte a MP3 de 256 kbps antes de copiarla: buena calidad, mucho menos "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:607	+ "espacio. Si sueltas un FLAC, tu biblioteca de Aura guarda el MP3 y no el FLAC; el archivo "
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:608	+ "original se queda intacto en su carpeta.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:726	: "sin clave configurada abajo";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:751	return "Se quitó la clave del Administrador de credenciales.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:758	? "Clave guardada en el Administrador de credenciales de Windows."
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:759	: "No se pudo guardar la clave. Revisa que tu cuenta de Windows permita guardar credenciales.";
PANTALLA	AuraStudio.App\ViewModels\SettingsViewModel.cs:766	return "Se quitó la clave del Administrador de credenciales.";
