clase	archivo	linea	texto
PANTALLA	Models/LibraryStatusSummary.swift	261	álbum
PANTALLA	Models/LibraryStatusSummary.swift	261	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	266	\(formatted(selected.count)) de \(formatted(items.count)) seleccionadas
PANTALLA	Models/LibraryStatusSummary.swift	268	álbum
PANTALLA	Models/LibraryStatusSummary.swift	268	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	293	álbum
PANTALLA	Models/LibraryStatusSummary.swift	293	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	295	canción
PANTALLA	Models/LibraryStatusSummary.swift	304	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionados
PANTALLA	Models/LibraryStatusSummary.swift	306	canción
PANTALLA	Models/LibraryStatusSummary.swift	322	álbum
PANTALLA	Models/LibraryStatusSummary.swift	322	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	323	canción
PANTALLA	Models/LibraryStatusSummary.swift	332	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionados
PANTALLA	Models/LibraryStatusSummary.swift	333	álbum
PANTALLA	Models/LibraryStatusSummary.swift	333	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	334	canción
PANTALLA	Models/LibraryStatusSummary.swift	348	canción
PANTALLA	Models/LibraryStatusSummary.swift	358	canción
PANTALLA	Models/LibraryStatusSummary.swift	378	película
PANTALLA	Models/LibraryStatusSummary.swift	378	películas
PANTALLA	Models/LibraryStatusSummary.swift	385	\(formatted(selected.count)) de \(formatted(items.count)) seleccionados
PANTALLA	Models/LibraryStatusSummary.swift	398	película
PANTALLA	Models/LibraryStatusSummary.swift	398	películas
PANTALLA	Models/LibraryStatusSummary.swift	407	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionadas
PANTALLA	Models/LibraryStatusSummary.swift	435	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionadas
PANTALLA	Models/LibraryStatusSummary.swift	462	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionados
PANTALLA	Models/LibraryStatusSummary.swift	480	\(formatted(n)) en \(collection)
PANTALLA	Models/LibraryStatusSummary.swift	484	álbum
PANTALLA	Models/LibraryStatusSummary.swift	484	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	488	\(formatted(selected.count)) de \(formatted(items.count)) seleccionadas
PANTALLA	Models/LibraryStatusSummary.swift	502	álbum
PANTALLA	Models/LibraryStatusSummary.swift	502	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	504	\(formatted(loose)) sin álbum
PANTALLA	Models/LibraryStatusSummary.swift	513	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionados
PANTALLA	Models/MediaCategory.swift	37	Películas
PANTALLA	Models/MusicTableColumn.swift	45	Música
PANTALLA	Models/MusicTableColumn.swift	47	Estadísticas
PANTALLA	Models/MusicTableColumn.swift	48	Archivo
PANTALLA	Models/MusicTableColumn.swift	72	Álbum
PANTALLA	Models/MusicTableColumn.swift	73	Artista del álbum
PANTALLA	Models/MusicTableColumn.swift	76	Número de disco
PANTALLA	Models/MusicTableColumn.swift	77	Duración
PANTALLA	Models/MusicTableColumn.swift	78	Género
PANTALLA	Models/MusicTableColumn.swift	79	Número de pista
PANTALLA	Models/MusicTableColumn.swift	82	Calificación
PANTALLA	Models/MusicTableColumn.swift	83	Fecha en que se agregó
PANTALLA	Models/MusicTableColumn.swift	85	Tamaño
PANTALLA	Models/MusicTableColumn.swift	94	Disco
PANTALLA	Models/MusicTableColumn.swift	171	Título
PANTALLA	Models/PreparedMusicPlan.swift	68	el archivo de origen ya sirve tal como está
PANTALLA	Models/PreparedMusicPlan.swift	71	todavía no hay preparado
PANTALLA	Models/PreparedMusicPlan.swift	74	el archivo de origen cambió de tamaño
PANTALLA	Models/PreparedMusicPlan.swift	80	no se pudo leer la fecha de los archivos
PANTALLA	Models/PreparedMusicPlan.swift	83	el archivo de origen es más nuevo que el preparado
PANTALLA	Models/PreparedMusicPlan.swift	85	el preparado sigue sirviendo
PANTALLA	Services/APIKeyStore.swift	31	Caratulas y arte de disco en alta resolucion (~1000px), fotos de artista, y posters curados de peliculas y series (estos ultimos necesitan tambien la key de TMDB para encontrar el titulo).
PANTALLA	Services/APIKeyStore.swift	32	Posters de peliculas y series (biblioteca de Video). Encuentra el titulo y su identificador; con fanart.tv configurado se prefiere el poster curado de alli, si no, el de TMDB.
PANTALLA	Services/APIKeyStore.swift	42	"Crea una cuenta gratuita en fanart.tv, entra a tu perfil y copia la \""Personal API Key\"" (no la de proyecto)."
PANTALLA	Services/APIKeyStore.swift	44	"Crea una cuenta gratuita en themoviedb.org, ve a Ajustes › API y copia la \""Clave de la API\"" (la corta, v3), no el token de lectura."
PANTALLA	Services/AppleLosslessEncoder.swift	33	Este AIFF está comprimido (\(compression)) y Aura Studio no lo convierte. Expórtalo como AIFF o WAV sin comprimir y vuelve a importarlo.
PANTALLA	Services/AppleLosslessEncoder.swift	35	El archivo no tiene pista de audio que convertir.
PANTALLA	Services/AppleLosslessEncoder.swift	37	El archivo declara un formato de audio que no se puede usar (\(detail)). Puede estar truncado o mal escrito.
PANTALLA	Services/AppleLosslessEncoder.swift	39	No se pudo leer el audio para convertirlo: \(message)
PANTALLA	Services/AppleLosslessEncoder.swift	41	No se pudo escribir el archivo convertido: \(message)
PANTALLA	Services/AppleLosslessEncoder.swift	68	tasa de muestreo \(Int(sampleRate)) Hz
PANTALLA	Services/AudioTranscoder.swift	17	"No se encontro ffmpeg instalado. Instálalo con \""brew install ffmpeg\"" y vuelve a intentar."
PANTALLA	Services/AudioTranscoder.swift	19	ffmpeg fallo al comprimir el audio: \(output)
PANTALLA	Services/CatalogPersister.swift	211	No se pudo guardar el catalogo de la biblioteca: \(error.localizedDescription)
PANTALLA	Services/CoverNormalizationMigration.swift	61	Normalizando carátulas… \(completed) de \(total)
PANTALLA	Services/DeviceNameStore.swift	104	iPod de \(full)
PANTALLA	Services/DeviceNameStore.swift	106	iPod de \(short)
PANTALLA	Services/DeviceNameStore.swift	107	iPod
PANTALLA	Services/FFmpegTranscoder.swift	39	"No se encontro ffmpeg instalado. Instálalo con \""brew install ffmpeg\"" y vuelve a intentar."
PANTALLA	Services/FFmpegTranscoder.swift	301	crop=\(crop.w):\(crop.h):\(crop.x):\(crop.y)
PANTALLA	Services/FFmpegTranscoder.swift	307	crop=\(crop.w):\(crop.h):\(crop.x):\(crop.y)
PANTALLA	Services/FFmpegTranscoder.swift	321	crop=\(c.w):\(c.h):\(c.x):\(c.y)
PANTALLA	Services/FirmwareReleaseDownloader.swift	100	esta versión de Aura Studio no instala esa familia
PANTALLA	Services/FirmwareReleaseDownloader.swift	102	Buscando la versión más reciente de \(family.displayName)...
PANTALLA	Services/FirmwareReleaseDownloader.swift	110	el token de GitHub no tiene acceso a ese repositorio
PANTALLA	Services/FirmwareReleaseDownloader.swift	111	GitHub no devolvió ningún Release utilizable
PANTALLA	Services/FirmwareReleaseDownloader.swift	116	el tag \(latest.tagName) no es un nombre de carpeta válido
PANTALLA	Services/FirmwareReleaseDownloader.swift	119	\(family.displayName) \(latest.tagName) ya estaba descargado.
PANTALLA	Services/FirmwareReleaseDownloader.swift	137	Descargando \(name.rawValue) de \(family.displayName) \(latest.tagName)...
PANTALLA	Services/FirmwareReleaseDownloader.swift	161	Verificando integridad de \(family.displayName) \(latest.tagName)...
PANTALLA	Services/FirmwareReleaseDownloader.swift	185	la URL de \(asset.name) no es válida
PANTALLA	Services/FirmwareReleaseDownloader.swift	207	GitHub respondió \(code) al pedir \(asset.name) de \(tag)
PANTALLA	Services/FirmwareReleaseDownloader.swift	215	\(asset.name) llegó incompleto (\(data.count) de \(asset.size) bytes)
PANTALLA	Services/IPodDiskIdentifier.swift	67	iPod
PANTALLA	Services/IPodMonitor.swift	305	No se pudo ejecutar la herramienta de detección DFU (mks5lboot): \(error.localizedDescription)
PANTALLA	Services/ImageResizer.swift	19	No se pudo leer la imagen de origen.
PANTALLA	Services/ImageResizer.swift	20	No se pudo generar el JPEG de salida.
PANTALLA	Services/InstallManifest.swift	58	unzip -lv falló
PANTALLA	Services/InstallManifest.swift	63	unzip -lv no devolvió entradas
PANTALLA	Services/LibraryFileWorker.swift	108	el archivo de origen no está
PANTALLA	Services/LibraryFileWorker.swift	119	este formato viaja tal cual
PANTALLA	Services/LibrarySync.swift	374	No se pudo crear el archivo temporal en \(path)
PANTALLA	Services/LocalTagWriter.swift	70	el formato .\(ext) no lleva etiquetas (al importarlo en copia se convierte, ver AudioConversionRule)
PANTALLA	Services/LocalTagWriter.swift	73	no hay ningún campo que escribir
PANTALLA	Services/LocalTagWriter.swift	87	no se pudieron escribir las etiquetas de \(url.lastPathComponent): \(error)
PANTALLA	Services/LocalTagWriter.swift	118	título
PANTALLA	Services/LocalTagWriter.swift	120	álbum
PANTALLA	Services/LocalTagWriter.swift	121	artista del álbum
PANTALLA	Services/LocalTagWriter.swift	123	género
PANTALLA	Services/LocalTagWriter.swift	134	carátula
PANTALLA	Services/MKS5LBootRunner.swift	28	No se encontró la herramienta mks5lboot dentro de Aura Studio.
PANTALLA	Services/MKS5LBootRunner.swift	30	La herramienta mks5lboot que trae Aura Studio no tiene permiso de ejecución (\(path)). Vuelve a instalar Aura Studio o, si compilas desde el código, corre scripts/fetch-firmware.sh de nuevo.
PANTALLA	Services/MediaCategoryClassifier.swift	11	Imágenes
PANTALLA	Services/MusicBrainzClient.swift	238	Error de red (HTTP \(code))
PANTALLA	Services/MusicBrainzClient.swift	240	No se encontro ningun resultado
PANTALLA	Services/PrivilegedExecutor.swift	34	Cancelaste la autorización. Este paso no puede continuar sin ese permiso.
PANTALLA	Services/PrivilegedExecutor.swift	38	Aura Studio se detuvo por seguridad antes de tocar el disco: \(reason)
PANTALLA	Services/PrivilegedExecutor.swift	40	macOS bloqueó el acceso directo al disco del iPod.
PANTALLA	Services/PrivilegedExecutor.swift	71	No se pudo construir el script de autorización.
PANTALLA	Services/PrivilegedExecutor.swift	72	error: no se pudo construir el script
PANTALLA	Services/PrivilegedExecutor.swift	82	Error desconocido
PANTALLA	Services/PrivilegedExecutor.swift	91	cancelado por el usuario
PANTALLA	Services/PrivilegedExecutor.swift	94	bloqueado por TCC (falta Acceso total al disco)
PANTALLA	Services/PrivilegedExecutor.swift	97	abortado por seguridad: \(message)
PANTALLA	Services/PrivilegedExecutor.swift	100	error \(number): \(message)
PANTALLA	Services/PrivilegedExecutor.swift	203	el candidato no cumple los criterios de identificacion del iPod
PANTALLA	Services/PrivilegedExecutor.swift	219	AURA_SAFETY_ABORT: el disco ya no aparece como removible
PANTALLA	Services/PrivilegedExecutor.swift	222	AURA_SAFETY_ABORT: el disco aparece como interno
PANTALLA	Services/PrivilegedExecutor.swift	225	AURA_SAFETY_ABORT: el tamaño del disco ya no coincide ($SIZE bytes)
PANTALLA	Services/PrivilegedExecutor.swift	238	No partition found
PANTALLA	Services/PrivilegedExecutor.swift	254	AURA_FDA_REQUIRED: macOS bloqueo la escritura directa al disco
PANTALLA	Services/PrivilegedExecutor.swift	259	formatear disco \(candidate.bsdName)
PANTALLA	Services/PrivilegedExecutor.swift	272	el candidato no cumple los criterios de identificacion del iPod
PANTALLA	Services/PrivilegedExecutor.swift	287	AURA_SAFETY_ABORT: el disco ya no aparece como removible
PANTALLA	Services/PrivilegedExecutor.swift	290	AURA_SAFETY_ABORT: el disco aparece como interno
PANTALLA	Services/PrivilegedExecutor.swift	293	AURA_SAFETY_ABORT: el tamaño del disco ya no coincide ($SIZE bytes)
PANTALLA	Services/PrivilegedExecutor.swift	299	preparar disco \(candidate.bsdName) para restauracion de Apple
PANTALLA	Services/PrivilegedExecutor.swift	310	valor con caracteres no seguros para interpolar en shell: \(value)
PANTALLA	Services/SimilarItemsDetector.swift	65	Título
PANTALLA	Services/SimilarItemsDetector.swift	67	Álbum
PANTALLA	Services/SimilarItemsDetector.swift	384	Mismo título sin contar el número de pista o los paréntesis: «\(a.rawTitle)» / «\(b.rawTitle)»
PANTALLA	Services/SimilarItemsDetector.swift	386	Mismo título: «\(a.rawTitle)»
PANTALLA	Services/SimilarItemsDetector.swift	389	Título casi igual: «\(a.rawTitle)» / «\(b.rawTitle)»
PANTALLA	Services/SimilarItemsDetector.swift	400	A uno le falta el artista
PANTALLA	Services/SimilarItemsDetector.swift	403	Misma duración (\(clock(a.duration)))
PANTALLA	Services/SimilarItemsDetector.swift	404	Duración parecida (\(clock(a.duration)) / \(clock(b.duration)))
PANTALLA	Services/SimilarItemsDetector.swift	406	Mismo tamaño exacto de archivo (\(ByteCountFormatter.string(fromByteCount: a.fileSize, countStyle: .file)))
PANTALLA	Services/SimilarItemsDetector.swift	410	Una parece otra versión (\(qualifierDiff.sorted().joined(separator: 
PANTALLA	Services/SimilarItemsDetector.swift	435	Misma duración (\(clock(a.duration)))
PANTALLA	Services/SimilarItemsDetector.swift	436	Mismo tamaño exacto de archivo
PANTALLA	Services/SimilarItemsDetector.swift	442	Mismo título: «\(a.rawTitle)»
PANTALLA	Services/SimilarItemsDetector.swift	442	Título casi igual: «\(a.rawTitle)» / «\(b.rawTitle)»
PANTALLA	Services/SimilarItemsDetector.swift	444	Misma duración (\(clock(a.duration)))
PANTALLA	Services/SimilarItemsDetector.swift	445	Duración parecida (\(clock(a.duration)) / \(clock(b.duration)))
PANTALLA	Services/SimilarItemsDetector.swift	447	Mismo tamaño exacto de archivo
PANTALLA	Services/SimilarItemsDetector.swift	450	Categorías distintas: \(a.item.category ?? 
PANTALLA	Services/SimilarItemsDetector.swift	469	Mismo nombre de archivo sin contar «copia»/«(1)»: \(a.item.sourceURL.lastPathComponent) / \(b.item.sourceURL.lastPathComponent)
PANTALLA	Services/SimilarItemsDetector.swift	471	Nombre de archivo casi igual: \(a.item.sourceURL.lastPathComponent) / \(b.item.sourceURL.lastPathComponent)
PANTALLA	Services/SimilarItemsDetector.swift	474	Mismo tamaño exacto de archivo (\(ByteCountFormatter.string(fromByteCount: a.fileSize, countStyle: .file)))
PANTALLA	Services/SimilarItemsDetector.swift	561	 sin pérdida
PANTALLA	Services/SimilarItemsDetector.swift	562	con carátula
PANTALLA	Services/SimilarItemsDetector.swift	562	con póster
PANTALLA	Services/SimilarItemsDetector.swift	563	con letra
PANTALLA	Services/SimilarItemsDetector.swift	565	el más grande
PANTALLA	Services/SimilarItemsDetector.swift	571	Parecen el mismo archivo repetido. Sugerencia: conservar «\(keep.rawTitle)» (\(keepDescription)) y eliminar el resto.
PANTALLA	Services/SimilarItemsDetector.swift	573	Probablemente es el mismo elemento con la metadata escrita distinto. Sugerencia: conservar «\(keep.rawTitle)» (\(keepDescription)) y eliminar el resto, o unificar la metadata si prefieres quedarte con
PANTALLA	Services/SimilarItemsDetector.swift	575	Podrían ser versiones distintas. Sugerencia: revisar antes de eliminar. Si resultan ser la misma, conservar «\(keep.rawTitle)» (\(keepDescription)).
PANTALLA	Services/SimilarItemsDetector.swift	588	 El artista que más se usa en tu biblioteca es «\(canonical)».
PANTALLA	Services/ThemeInstaller.swift	14	No hay un iPod montado en una ruta válida.
PANTALLA	Services/ThemeInstaller.swift	16	"\""\(id)\"" no es un id válido de tema."
PANTALLA	Services/ThemeInstaller.swift	20	Ya hay otra operación escribiendo en el iPod -- espera a que termine.
PANTALLA	Services/ThemeInstaller.swift	22	No se pudo copiar el tema al iPod: \(reason).
PANTALLA	Services/ThemeInstaller.swift	24	"\""Aura\"" es el tema integrado del firmware -- no se puede eliminar."
PANTALLA	Services/ThemeInstaller.swift	108	no se encontró theme.cfg en \(manifest.id)/ después de copiar
PANTALLA	Services/ThemeInstaller.swift	215	código \(finished.terminationStatus)
PANTALLA	Services/ThemePackager.swift	11	No se encontró \(file) en la carpeta de origen.
PANTALLA	Services/ThemePackager.swift	13	La carpeta de origen no tiene icons/masks/.
PANTALLA	Services/ThemePackager.swift	15	No se pudo escribir el paquete: \(reason).
PANTALLA	Services/ThemeValidator.swift	18	Falta theme.cfg en el paquete.
PANTALLA	Services/ThemeValidator.swift	20	theme.cfg no se pudo leer, o no declara theme_format.
PANTALLA	Services/ThemeValidator.swift	22	"\""\(id)\"" no es un id valido de tema (theme_id en theme.cfg)."
PANTALLA	Services/ThemeValidator.swift	24	Este tema requiere el formato \(found); el firmware instalado en el iPod soporta hasta el \(supported).
PANTALLA	Services/ThemeValidator.swift	26	Faltan fuentes en el paquete: \(roles.joined(separator: 
PANTALLA	Services/ThemeValidator.swift	28	Faltan mascaras de icono: el paquete trae \(found), se necesitan \(required).
PANTALLA	ViewModels/InstallerViewModel.swift	180	mks5lboot descargado no quedó ejecutable
PANTALLA	ViewModels/InstallerViewModel.swift	184	Instalando \(family.displayName) \(prepared.tag), descargado de GitHub.
PANTALLA	ViewModels/InstallerViewModel.swift	189	\(why) Se instalará la versión incluida en Aura Studio\(versionText).
PANTALLA	ViewModels/InstallerViewModel.swift	572	iPod
PANTALLA	ViewModels/InstallerViewModel.swift	753	iPod
PANTALLA	ViewModels/InstallerViewModel.swift	789	Formateando el disco (puente FAT y despues Mac OS Plus)...
PANTALLA	ViewModels/InstallerViewModel.swift	819	Verificando integridad de los archivos...
PANTALLA	ViewModels/InstallerViewModel.swift	828	Instalando el bootloader de \(targetName)...
PANTALLA	ViewModels/InstallerViewModel.swift	844	Firmware enviado. Esperando a que el iPod confirme y reinicie...
PANTALLA	ViewModels/InstallerViewModel.swift	860	Arranque grabado. Esperando a que el iPod reaparezca como disco...
PANTALLA	ViewModels/InstallerViewModel.swift	877	Actualizando el arranque de \(targetName)...
PANTALLA	ViewModels/InstallerViewModel.swift	882	Arranque enviado. Esperando a que el iPod confirme y reinicie...
PANTALLA	ViewModels/InstallerViewModel.swift	894	Quitando el bootloader de \(targetName)...
PANTALLA	ViewModels/InstallerViewModel.swift	902	Firmware enviado. Esperando a que el iPod confirme y reinicie...
PANTALLA	ViewModels/InstallerViewModel.swift	913	Bootloader eliminado. Esperando a que el iPod reaparezca como disco... Si no aparece solo, mantén SELECT + PLAY al encenderlo para entrar a modo disco.
PANTALLA	ViewModels/InstallerViewModel.swift	950	Formateando el disco...
PANTALLA	ViewModels/InstallerViewModel.swift	960	Disco listo. Ahora hace falta grabar el arranque por DFU.
PANTALLA	ViewModels/InstallerViewModel.swift	964	Disco listo. Copiando archivos...
PANTALLA	ViewModels/InstallerViewModel.swift	1031	Verificando integridad de los archivos...
PANTALLA	ViewModels/InstallerViewModel.swift	1033	Copiando el firmware al iPod...
PANTALLA	ViewModels/InstallerViewModel.swift	1059	Guardando \(detected.displayName) para poder volver a él...
PANTALLA	ViewModels/InstallerViewModel.swift	1064	no se pudo verificar rockbox.ipod tras copiarlo
PANTALLA	ViewModels/InstallerViewModel.swift	1067	Instalando \(targetName) en el iPod (tipografías, iconos, códecs)... Puede tardar varios minutos por USB -- no desconectes el iPod.
PANTALLA	ViewModels/InstallerViewModel.swift	1097	Actualizando \(targetName): \(delta.toExtract.count) archivo(s) por escribir, \(delta.toDelete.count) por quitar...
PANTALLA	ViewModels/InstallerViewModel.swift	1104	La actualización selectiva no pudo; instalando completo...
PANTALLA	ViewModels/InstallerViewModel.swift	1137	La copia se interrumpió -- reintentando...
PANTALLA	ViewModels/InstallerViewModel.swift	1164	el árbol .rockbox no quedó completo tras extraerlo (falta \(sentinel.lastPathComponent))
PANTALLA	ViewModels/InstallerViewModel.swift	1235	Archivos copiados. Ahora hace falta flashear el arranque por DFU.
PANTALLA	ViewModels/InstallerViewModel.swift	1276	el zip no trae \(path)
PANTALLA	ViewModels/LibraryViewModel.swift	452	No se pudo copiar \(fileName) a la biblioteca: \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	519	No se pudo importar \(item.sourceURL.lastPathComponent): \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	550	No se pudo preparar \(item.sourceURL.lastPathComponent): \(failure)
PANTALLA	ViewModels/LibraryViewModel.swift	557	no se pudieron escribir
PANTALLA	ViewModels/LibraryViewModel.swift	571	Convirtiendo en copias… \(completed) de \(total)
PANTALLA	ViewModels/LibraryViewModel.swift	791	Formato no soportado
PANTALLA	ViewModels/LibraryViewModel.swift	808	Falta ffmpeg
PANTALLA	ViewModels/LibraryViewModel.swift	1221	No se pudo mover 1 archivo a la Papelera; el elemento sí se quitó de la biblioteca.
PANTALLA	ViewModels/LibraryViewModel.swift	1222	No se pudieron mover \(failures) archivos a la Papelera; los elementos sí se quitaron de la biblioteca.
PANTALLA	ViewModels/LibraryViewModel.swift	1301	Migrando biblioteca… \(completed) de \(total)
PANTALLA	ViewModels/LibraryViewModel.swift	1372	no se pudieron escribir
PANTALLA	ViewModels/LibraryViewModel.swift	1607	Para buscar pósters hace falta una API key de TMDB (gratuita). Agrégala en Ajustes › Servicios; con fanart.tv configurado además se usará su póster curado cuando exista.
PANTALLA	ViewModels/LibraryViewModel.swift	1632	No se pudo guardar el póster de \(items[index].sourceURL.lastPathComponent): \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	1691	No se pudo guardar la foto de \(artist.name): \(error.localizedDescription)
PANTALLA	ViewModels/LibraryViewModel.swift	1700	Todos los artistas seleccionados ya tienen foto.
PANTALLA	ViewModels/LibraryViewModel.swift	1701	No hay artistas para buscar.
PANTALLA	ViewModels/LibraryViewModel.swift	1837	\(completed + 1) de \(targets.count)
PANTALLA	ViewModels/LibraryViewModel.swift	1852	Carátula aplicada a 1 canción.
PANTALLA	ViewModels/LibraryViewModel.swift	1853	Carátula aplicada a \(changed) canciones.
PANTALLA	ViewModels/LibraryViewModel.swift	1898	Buscando carátula recomendada…
PANTALLA	ViewModels/LibraryViewModel.swift	1899	Buscando carátulas de \(requests.count) álbumes…
PANTALLA	ViewModels/LibraryViewModel.swift	1919	«\(request.albumTitle)» — \(completed + 1) de \(requests.count)
PANTALLA	ViewModels/LibraryViewModel.swift	1990	\(completed + 1) de \(targets.count)
PANTALLA	ViewModels/LibraryViewModel.swift	2065	\(completed + 1) de \(targets.count)
PANTALLA	ViewModels/LibraryViewModel.swift	2131	Buscando información en línea…
PANTALLA	ViewModels/LibraryViewModel.swift	2149	\(completed + 1) de \(targets.count)
