clave,motivo,texto es,texto ja,texto de,texto ru,texto fr
detect-device-view.encontramos-con-firmware-original-apple,texto de riesgo,"Encontramos ""%@"", con el firmware original de Apple (no esta en FAT32 todavia). No hace falta que lo conviertas: haz clic en ""Ya lo conecte, continuar igual"" y Aura Studio lo formatea automaticamente en el paso de preparar el disco, mas adelante.",Apple 純正ファームウェアの「%@」が見つかりました（まだ FAT32 ではありません）。変換の必要はありません。「接続しました。このまま続ける」をクリックすれば、あとのディスク準備の段階で Aura Studio が自動的にフォーマットします。,"Wir haben „%@“ gefunden, mit Apples Original-Firmware (noch nicht auf FAT32). Du musst nichts umwandeln: Klick auf „Ist angeschlossen, trotzdem fortfahren“ und Aura Studio formatiert ihn später automatisch, beim Vorbereiten der Festplatte.","Мы нашли «%@» с оригинальной прошивкой Apple (пока не в FAT32). Преобразовывать ничего не нужно: нажмите «Подключил, всё равно продолжить», и Aura Studio отформатирует его автоматически позже, на шаге подготовки диска.","Nous avons trouvé « %@ », avec le firmware d’origine d’Apple (pas encore en FAT32). Inutile de le convertir : cliquez sur « Il est branché, continuer quand même » et Aura Studio le formatera automatiquement plus tard, à l’étape de préparation du disque."
detect-device-view.encontramos-tu-ipod-pero-su-disco,texto de riesgo,"Encontramos tu iPod, pero su disco no tiene un sistema de archivos legible (asi se ve en el modo bootloader, o si una instalacion quedo a medias). Haz clic en ""Ya lo conecte, continuar igual"" para prepararlo e instalar Aura.",iPod は見つかりましたが、ディスクに読み取れるファイルシステムがありません（ブートローダーモードのとき、またはインストールが途中で終わったときにこうなります）。「接続しました。このまま続ける」をクリックして、準備と Aura のインストールを行ってください。,"Wir haben deinen iPod gefunden, aber seine Festplatte hat kein lesbares Dateisystem (so sieht sie im Bootloader-Modus aus, oder wenn eine Installation abgebrochen wurde). Klick auf „Ist angeschlossen, trotzdem fortfahren“, um ihn vorzubereiten und Aura zu installieren.","Мы нашли ваш iPod, но на его диске нет читаемой файловой системы (так он выглядит в режиме загрузчика или если установка прервалась). Нажмите «Подключил, всё равно продолжить», чтобы подготовить его и установить Aura.","Nous avons trouvé votre iPod, mais son disque n’a pas de système de fichiers lisible (c’est l’aspect qu’il a en mode bootloader, ou si une installation s’est arrêtée en cours). Cliquez sur « Il est branché, continuer quand même » pour le préparer et installer Aura."
detect-device-view.tu-ipod-ya-esta-modo-dfu,texto de riesgo,Tu iPod ya esta en modo DFU.,iPod はすでに DFU モードです。,Dein iPod ist bereits im DFU-Modus.,Ваш iPod уже в режиме DFU.,Votre iPod est déjà en mode DFU.
device-activity-bar.archivo-s-listo-s-para-sincronizar,texto de riesgo,%lld archivo(s) listo(s) para sincronizar.,同期できるファイル: %lld 件。,%lld Datei(en) bereit zum Synchronisieren.,Файлов готово к синхронизации: %lld.,%lld fichier(s) prêt(s) à être synchronisé(s).
device-activity-bar.conecta-tu-ipod-para-sincronizar,texto de riesgo,Conecta tu iPod para sincronizar.,同期するには iPod を接続してください。,"Schließ deinen iPod an, um zu synchronisieren.","Подключите iPod, чтобы синхронизировать.",Branchez votre iPod pour synchroniser.
device-activity-bar.instala-aura-este-ipod-para-poder,texto de riesgo,Instala Aura en este iPod para poder sincronizar.,同期するには、この iPod に Aura をインストールしてください。,"Installiere Aura auf diesem iPod, um synchronisieren zu können.","Установите Aura на этот iPod, чтобы синхронизировать.",Installez Aura sur cet iPod pour pouvoir synchroniser.
device-activity-bar.sincronizando-archivo-s,texto de riesgo,Sincronizando %@ de %@ archivo(s)...,%@ / %@ 件のファイルを同期しています…,%@ von %@ Datei(en) werden synchronisiert …,Синхронизация %@ из %@ файлов…,Synchronisation de %@ sur %@ fichier(s)…
device-activity-bar.sincronizar,texto de riesgo,Sincronizar,同期,Synchronisieren,Синхронизировать,Synchroniser
device-activity-bar.todo-sincronizado,texto de riesgo,Todo sincronizado.,すべて同期済みです。,Alles ist synchron.,Всё синхронизировано.,Tout est synchronisé.
device-general-view.actualizacion-disponible,compartida con Windows,Actualización de %@%@ disponible,%@%@ のアップデートがあります,Update auf %@%@ verfügbar,Доступно обновление %@%@,Mise à jour %@%@ disponible
device-general-view.buscar-actualizaciones,compartida con Windows,Buscar actualizaciones de %@,%@ のアップデートを確認,Nach %@-Updates suchen,Проверить обновления %@,Rechercher les mises à jour de %@
device-general-view.disco-esta-vacio-instala-aura-desde,texto de riesgo,El disco esta vacio. Instala Aura desde la seccion Instalador para empezar a usarlo.,ディスクは空です。「インストーラ」セクションから Aura をインストールして始めてください。,"Die Festplatte ist leer. Installiere Aura im Bereich „Installation“, um loszulegen.","Диск пуст. Установите Aura в разделе «Установка», чтобы начать.",Le disque est vide. Installez Aura depuis la section Installation pour commencer.
device-general-view.eliminar-contenido,texto de riesgo,Eliminar contenido,コンテンツを削除,Inhalte löschen,Удалить содержимое,Supprimer le contenu
device-general-view.eliminar-todo,texto de riesgo,Eliminar todo,すべて削除,Alles löschen,Удалить всё,Tout supprimer
device-general-view.esta-accion-no-se-puede-deshacer,texto de riesgo,Esta acción no se puede deshacer -- los archivos borrados del iPod no se pueden recuperar. Tu biblioteca en esta Mac no se toca; puedes volver a sincronizar cuando quieras.,この操作は取り消せません。iPod から削除したファイルは復元できません。この Mac のライブラリはそのままなので、いつでも再び同期できます。,Das lässt sich nicht rückgängig machen – vom iPod gelöschte Dateien sind nicht wiederherstellbar. Deine Mediathek auf diesem Mac bleibt unangetastet; du kannst jederzeit wieder synchronisieren.,Это действие нельзя отменить — удалённые с iPod файлы не восстановить. Ваша медиатека на этом Mac не трогается; вы можете синхронизировать снова в любой момент.,Cette action est irréversible — les fichiers supprimés de l’iPod ne peuvent pas être récupérés. Votre bibliothèque sur ce Mac n’est pas touchée ; vous pouvez resynchroniser quand vous voulez.
device-general-view.esta-version-aura-studio-trae-mas,compartida con Windows,Esta versión de Aura Studio trae un %@ más nuevo que el instalado en tu iPod. Actualizar no borra tu música ni tus ajustes.,このバージョンの Aura Studio には、iPod に入っているものより新しい %@ が含まれています。アップデートしても音楽や設定は消えません。,Diese Version von Aura Studio bringt ein neueres %@ mit als das auf deinem iPod. Beim Aktualisieren gehen weder Musik noch Einstellungen verloren.,"В этой версии Aura Studio есть более новая %@, чем установленная на вашем iPod. Обновление не удаляет ни музыку, ни настройки.",Cette version d’Aura Studio contient un %@ plus récent que celui installé sur votre iPod. La mise à jour n’efface ni votre musique ni vos réglages.
device-general-view.este-ipod-tiene-rockbox-que-no,texto de riesgo,Este iPod tiene un Rockbox que no es Aura: la biblioteca de Aura Studio no aplica a esta instalacion. En la seccion Instalador puedes instalar Aura (sin flashear -- solo se reemplaza la carpeta .rockbox) o restaurar el firmware original.,この iPod には Aura ではない Rockbox が入っています。Aura Studio のライブラリはこのインストールには適用されません。「インストーラ」セクションで Aura をインストールする（フラッシュはせず .rockbox フォルダを置き換えるだけです）か、純正ファームウェアを復元できます。,"Auf diesem iPod läuft ein Rockbox, das nicht Aura ist: Die Aura-Studio-Mediathek gilt für diese Installation nicht. Im Bereich „Installation“ kannst du Aura installieren (ohne Flashen – es wird nur der Ordner .rockbox ersetzt) oder die Original-Firmware wiederherstellen.","На этом iPod установлен Rockbox, который не является Aura: медиатека Aura Studio к этой установке не относится. В разделе «Установка» можно установить Aura (без прошивки — заменяется только папка .rockbox) или восстановить оригинальную прошивку.","Cet iPod a un Rockbox qui n’est pas Aura : la bibliothèque d’Aura Studio ne s’applique pas à cette installation. Dans la section Installation, vous pouvez installer Aura (sans flasher — seul le dossier .rockbox est remplacé) ou restaurer le firmware d’origine."
device-general-view.hay-archivos-aura-disco-pero-no,texto de riesgo,"Hay archivos de Aura en el disco, pero no hay evidencia de que Aura arranque en este iPod: está corriendo el firmware de Apple y Aura nunca escribió su configuración aquí. Instala Aura desde la sección Instalador (flashea el arranque por DFU y vuelve a copiar los archivos) para activar la biblioteca. Si ya lo instalaste, enciende el iPod con Aura una vez y vuelve a conectarlo.",ディスクに Aura のファイルはありますが、この iPod で Aura が起動した形跡がありません。動いているのは Apple のファームウェアで、Aura はここに設定を書いたことがありません。「インストーラ」セクションから Aura をインストールしてください（DFU でブートローダーを書き込み、ファイルを再度コピーします）。すでにインストール済みの場合は、一度 Aura で iPod を起動してから接続し直してください。,"Auf der Festplatte liegen Aura-Dateien, aber es gibt keinen Hinweis darauf, dass Aura auf diesem iPod startet: Es läuft Apples Firmware, und Aura hat hier nie seine Einstellungen geschrieben. Installiere Aura im Bereich „Installation“ (dabei wird der Bootloader per DFU geflasht und die Dateien werden erneut kopiert), um die Mediathek zu aktivieren. Wenn du es schon installiert hast, starte den iPod einmal mit Aura und schließ ihn erneut an.","На диске есть файлы Aura, но нет признаков того, что Aura запускается на этом iPod: работает прошивка Apple, и Aura ни разу не записывала здесь свои настройки. Установите Aura в разделе «Установка» (загрузчик прошивается по DFU, файлы копируются заново), чтобы включить медиатеку. Если вы уже установили её, включите iPod с Aura один раз и подключите снова.","Il y a des fichiers Aura sur le disque, mais rien n’indique qu’Aura démarre sur cet iPod : c’est le firmware d’Apple qui tourne, et Aura n’a jamais écrit ses réglages ici. Installez Aura depuis la section Installation (le bootloader est flashé en DFU et les fichiers sont recopiés) pour activer la bibliothèque. Si vous l’avez déjà installé, allumez l’iPod avec Aura une fois puis rebranchez-le."
device-general-view.instalar-actualizacion,compartida con Windows,Instalar actualización de %@,%@ のアップデートをインストール,%@-Update installieren,Установить обновление %@,Installer la mise à jour de %@
device-general-view.mientras-tanto-puedes-ir-armando-bibliot,texto de riesgo,"Mientras tanto puedes ir armando la biblioteca en Musica, Video y Fotos: se sincroniza cuando conectes el dispositivo.",その間に「音楽」「ビデオ」「写真」でライブラリを作れます。デバイスを接続すると同期されます。,"In der Zwischenzeit kannst du deine Mediathek unter Musik, Video und Fotos aufbauen: Sie wird synchronisiert, sobald du das Gerät anschließt.","Тем временем вы можете собирать медиатеку в разделах «Музыка», «Видео» и «Фото»: она синхронизируется, как только вы подключите устройство.","En attendant, vous pouvez constituer votre bibliothèque dans Musique, Vidéo et Photos : elle se synchronise dès que vous branchez l’appareil."
device-general-view.musica-este-ipod-administra-firmware-ori,texto de riesgo,"La musica de este iPod la administra el firmware original de Apple -- se sincroniza con Finder (o la app Musica), no con Aura Studio. Si instalas Aura desde la seccion Instalador, la biblioteca de Aura Studio se activa.",この iPod の音楽は Apple 純正ファームウェアが管理しています。同期は Aura Studio ではなく Finder（またはミュージックアプリ）で行います。「インストーラ」セクションから Aura をインストールすると、Aura Studio のライブラリが有効になります。,"Die Musik auf diesem iPod verwaltet Apples Original-Firmware – sie wird mit dem Finder (oder der Musik-App) synchronisiert, nicht mit Aura Studio. Wenn du Aura im Bereich „Installation“ installierst, wird die Aura-Studio-Mediathek aktiv.","Музыкой на этом iPod управляет оригинальная прошивка Apple — она синхронизируется через Finder (или приложение «Музыка»), а не через Aura Studio. Если установить Aura в разделе «Установка», медиатека Aura Studio включится.","La musique de cet iPod est gérée par le firmware d’origine d’Apple — elle se synchronise avec le Finder (ou l’app Musique), pas avec Aura Studio. Si vous installez Aura depuis la section Installation, la bibliothèque d’Aura Studio s’active."
device-general-view.todavia-no-sincronizaste-este-ipod-con,texto de riesgo,Todavia no sincronizaste este iPod con Aura Studio.,この iPod はまだ Aura Studio と同期していません。,Du hast diesen iPod noch nicht mit Aura Studio synchronisiert.,Вы ещё не синхронизировали этот iPod с Aura Studio.,Vous n’avez pas encore synchronisé cet iPod avec Aura Studio.
device-general-view.tu-ipod-tiene-firmware-que-esta,compartida con Windows,"Tu iPod tiene %@, un firmware que esta versión de Aura Studio no trae embebido. Te avisa de sus actualizaciones pero no puede aplicarlas: descárgala de su repositorio e instálala como de costumbre. Tu biblioteca no se toca.",iPod には %@ が入っています。このバージョンの Aura Studio には同梱されていないファームウェアです。アップデートはお知らせできますが適用はできません。リポジトリからダウンロードして、いつもどおりインストールしてください。ライブラリはそのままです。,"Auf deinem iPod ist %@, eine Firmware, die diese Version von Aura Studio nicht mitbringt. Sie informiert dich über Updates, kann sie aber nicht einspielen: Lade sie aus ihrem Repository und installiere sie wie gewohnt. Deine Mediathek bleibt unangetastet.","На вашем iPod установлена %@ — прошивка, которой нет в этой версии Aura Studio. Она сообщает о её обновлениях, но не может их применить: скачайте её из репозитория и установите как обычно. Ваша медиатека не трогается.","Votre iPod a %@, un firmware que cette version d’Aura Studio n’embarque pas. Elle vous signale ses mises à jour mais ne peut pas les appliquer : téléchargez-la depuis son dépôt et installez-la comme d’habitude. Votre bibliothèque n’est pas touchée."
done-view.abrir-acceso-total-al-disco,acción de riesgo,Abrir Acceso total al disco,「フルディスクアクセス」を開く,„Festplattenvollzugriff“ öffnen,Открыть «Полный доступ к диску»,Ouvrir « Accès complet au disque »
done-view.detectamos-que-firmware-ya-habia-estado,acción de riesgo,"Detectamos que el firmware ya había estado instalado antes, así que solo actualizamos los archivos sin volver a grabar el arranque. Si al desconectar el cable tu iPod NO arranca con %@, el arranque se perdió desde la instalación anterior y hace falta grabarlo de nuevo por DFU.",ファームウェアが以前にインストールされていたことがわかったため、ブートローダーは書き直さずファイルだけを更新しました。ケーブルを外したあと iPod が %@ で起動しない場合は、その前のインストール以降にブートローダーが失われているので、DFU で書き直す必要があります。,"Wir haben festgestellt, dass die Firmware schon einmal installiert war, also haben wir nur die Dateien aktualisiert, ohne den Bootloader erneut zu schreiben. Wenn dein iPod nach dem Abziehen des Kabels NICHT mit %@ startet, ist der Bootloader seit der früheren Installation verloren gegangen und muss erneut per DFU geschrieben werden.","Мы обнаружили, что прошивка уже была установлена, поэтому обновили только файлы, не записывая загрузчик заново. Если после отключения кабеля ваш iPod НЕ запускается с %@, значит загрузчик был утерян с прошлой установки и его нужно записать снова по DFU.","Nous avons détecté que le firmware avait déjà été installé, nous avons donc seulement mis à jour les fichiers sans réécrire le bootloader. Si votre iPod ne démarre PAS avec %@ une fois le câble débranché, le bootloader a été perdu depuis cette installation précédente et doit être réécrit en DFU."
done-view.instalar-solo-este-firmware-ipod,acción de riesgo,Instalar solo este firmware en el iPod,このファームウェアだけを iPod にインストール,Nur diese Firmware auf dem iPod installieren,Установить на iPod только эту прошивку,Installer seulement ce firmware sur l’iPod
done-view.instalaste-modo-dual-boot,acción de riesgo,Instalaste en modo dual boot,デュアルブートモードでインストールしました,Du hast im Dual-Boot-Modus installiert,Вы установили в режиме двойной загрузки,Vous avez installé en mode dual boot
done-view.no-arranco-con-terminar-por-dfu,acción de riesgo,No arrancó con %@ -- terminar por DFU,%@ で起動しませんでした — DFU で仕上げる,Er ist nicht mit %@ gestartet – per DFU abschließen,Не запустился с %@ — завершить по DFU,Il n’a pas démarré avec %@ — terminer en DFU
done-view.para-volver-apple-cualquier-momento-mant,acción de riesgo,"Para volver a Apple en cualquier momento, mantén SELECT + MENU presionados unos 5 segundos al encender el iPod. Cualquier otra combinacion (o nada) arranca %@.",いつでも Apple に戻すには、iPod の電源を入れながら SELECT + MENU を約 5 秒間押し続けてください。それ以外の組み合わせ（または何も押さない場合）は %@ が起動します。,"Um jederzeit zu Apple zurückzukehren, halte beim Einschalten des iPods etwa 5 Sekunden SELECT + MENU gedrückt. Jede andere Kombination (oder keine) startet %@.","Чтобы в любой момент вернуться к Apple, удерживайте SELECT + MENU около 5 секунд при включении iPod. Любое другое сочетание (или ни одного) запускает %@.","Pour revenir à Apple à tout moment, maintenez SELECT + MENU environ 5 secondes en allumant l’iPod. Toute autre combinaison (ou aucune) démarre %@."
done-view.reintentar,compartida con Windows,Reintentar,再試行,Erneut versuchen,Повторить,Réessayer
done-view.reintentar-ya-prepare-ipod-con-itunes,acción de riesgo,Reintentar (ya preparé el iPod con iTunes),再試行（iTunes で iPod を準備済み）,Erneut versuchen (iPod ist schon mit iTunes vorbereitet),Повторить (iPod уже подготовлен в iTunes),Réessayer (j’ai déjà préparé l’iPod avec iTunes)
done-view.tu-ipod-sigue-mostrando-firmware-origina,acción de riesgo,¿Tu iPod sigue mostrando el firmware original?,iPod にまだ純正ファームウェアが表示されていますか？,Zeigt dein iPod immer noch die Original-Firmware?,Ваш iPod по-прежнему показывает оригинальную прошивку?,Votre iPod affiche-t-il toujours le firmware d’origine ?
enter-d-f-u-view.aura-studio-no-puede-detectar-modo,acción de riesgo,Aura Studio no puede detectar el modo DFU,Aura Studio が DFU モードを検出できません,Aura Studio kann den DFU-Modus nicht erkennen,Aura Studio не может обнаружить режим DFU,Aura Studio ne peut pas détecter le mode DFU
enter-d-f-u-view.entra-modo-dfu,acción de riesgo,Entra a modo DFU,DFU モードにする,In den DFU-Modus wechseln,Перейти в режим DFU,Passer en mode DFU
enter-d-f-u-view.esperando-modo-dfu,acción de riesgo,Esperando modo DFU...,DFU モードを待っています…,Warten auf den DFU-Modus …,Ожидание режима DFU…,En attente du mode DFU…
enter-d-f-u-view.modo-dfu-detectado,acción de riesgo,Modo DFU detectado,DFU モードを検出しました,DFU-Modus erkannt,Режим DFU обнаружен,Mode DFU détecté
enter-d-f-u-view.no-aparece-pausar-servicios-macos-que,acción de riesgo,¿No aparece? Pausar los servicios de macOS que pueden interferir,表示されませんか？ 干渉する可能性のある macOS のサービスを一時停止する,"Erscheint nicht? Die macOS-Dienste anhalten, die stören können","Не появляется? Приостановить службы macOS, которые могут мешать",Il n’apparaît pas ? Mettre en pause les services macOS qui peuvent interférer
enter-d-f-u-view.pedira-tu-contrasena-se-reactivan-solos,acción de riesgo,Pedirá tu contraseña. Se reactivan solos al terminar.,パスワードの入力を求められます。終了すると自動的に再開します。,Du wirst nach deinem Passwort gefragt. Danach starten sie von selbst wieder.,Потребуется ваш пароль. По завершении они включатся сами.,Votre mot de passe vous sera demandé. Ils se réactivent tout seuls à la fin.
extras-view.elige-cual-firmwares-instalables-usa-aur,texto de riesgo,"Elige cuál de los firmwares instalables usa Aura Studio la próxima vez que abras el Instalador. Todos son software libre (GPL v2), derivados de Rockbox, y comparten la misma biblioteca: tu música, fotos y videos se sincronizan igual con cualquiera.",次に「インストーラ」を開いたときに Aura Studio が使うファームウェアを選んでください。いずれも Rockbox から派生した自由ソフトウェア（GPL v2）で、同じライブラリを共有します。音楽・写真・ビデオはどれでも同じように同期されます。,"Wähl, welche der installierbaren Firmwares Aura Studio verwendet, wenn du das nächste Mal die Installation öffnest. Alle sind freie Software (GPL v2), von Rockbox abgeleitet, und teilen sich dieselbe Mediathek: Deine Musik, Fotos und Videos werden mit jeder davon gleich synchronisiert.","Выберите, какую из устанавливаемых прошивок Aura Studio будет использовать при следующем открытии раздела «Установка». Все они — свободное ПО (GPL v2), производные от Rockbox, и используют одну и ту же медиатеку: ваша музыка, фото и видео синхронизируются с любой из них одинаково.","Choisissez lequel des firmwares installables Aura Studio utilisera à la prochaine ouverture de l’Installation. Ce sont tous des logiciels libres (GPL v2), dérivés de Rockbox, et ils partagent la même bibliothèque : votre musique, vos photos et vos vidéos se synchronisent de la même façon avec chacun d’eux."
extras-view.instalar,texto de riesgo,Instalar %@,%@ をインストール,%@ installieren,Установить %@,Installer %@
extras-view.tu-ipod-tiene-instalar-lo-agrega,texto de riesgo,Tu iPod tiene %@. Instalar %@ lo agrega: %@ se guarda dormido con sus ajustes y podrás volver a él desde aquí sin volver a instalar nada.,iPod には %@ が入っています。%@ をインストールすると追加され、%@ は設定を保ったままスリープ状態で残ります。何も入れ直さずに、ここから戻せます。,"Auf deinem iPod ist %@. Wenn du %@ installierst, kommt es dazu: %@ bleibt mit seinen Einstellungen im Ruhezustand, und du kannst von hier aus dorthin zurückwechseln, ohne noch einmal etwas zu installieren.","На вашем iPod установлена %@. Установка %@ добавит её: %@ останется в спящем виде со своими настройками, и вы сможете вернуться к ней отсюда, ничего не устанавливая заново.",Votre iPod a %@. Installer %@ l’ajoute : %@ reste en veille avec ses réglages et vous pourrez y revenir d’ici sans rien réinstaller.
extras-view.ya-esta-instalado-tu-ipod-dormido,texto de riesgo,"%@ ya está instalado en tu iPod, dormido, con sus ajustes guardados. Cambiar toma un segundo (no descarga ni borra nada); después hay que reiniciar el iPod y la primera vez reconstruye su base de música.",%@ はすでに iPod にインストールされ、設定を保ったままスリープ状態です。切り替えは一瞬で終わり（ダウンロードも削除もしません）、そのあと iPod を再起動する必要があります。初回は音楽データベースを作り直します。,"%@ ist bereits auf deinem iPod installiert, im Ruhezustand und mit gespeicherten Einstellungen. Das Wechseln dauert eine Sekunde (es wird nichts geladen oder gelöscht); danach musst du den iPod neu starten, und beim ersten Mal baut er seine Musikdatenbank neu auf.","%@ уже установлена на вашем iPod, в спящем виде и с сохранёнными настройками. Переключение занимает секунду (ничего не загружается и не удаляется); после этого нужно перезапустить iPod, и в первый раз он заново соберёт свою музыкальную базу.","%@ est déjà installé sur votre iPod, en veille, avec ses réglages enregistrés. Basculer prend une seconde (rien n’est téléchargé ni effacé) ; ensuite il faut redémarrer l’iPod, et la première fois il reconstruit sa base musicale."
git-hub-token-settings-view.quitar,texto de riesgo,Quitar,削除,Entfernen,Убрать,Retirer
git-hub-token-settings-view.repositorios-firmwares-son-publicos-aura,texto de riesgo,"Los repositorios de los firmwares son públicos: Aura Studio ya avisa de versiones nuevas sin necesitar nada de esto. Un token de solo lectura solo eleva el límite de consultas a la API de GitHub (útil si compartes tu conexión con muchas otras consultas); instalar el firmware nunca depende de esto, porque viene incluido en la app.",ファームウェアのリポジトリは公開されています。これがなくても Aura Studio は新しいバージョンをお知らせします。読み取り専用のトークンは GitHub API のリクエスト上限を引き上げるだけです（多くのリクエストと回線を共有している場合に役立ちます）。ファームウェアのインストールがこれに依存することはありません。アプリに同梱されているからです。,"Die Firmware-Repositorys sind öffentlich: Aura Studio informiert dich auch ohne all das über neue Versionen. Ein Token mit Lesezugriff erhöht nur das Anfragelimit der GitHub-API (nützlich, wenn du deine Verbindung mit vielen anderen Anfragen teilst); das Installieren der Firmware hängt nie davon ab, weil sie in der App enthalten ist.","Репозитории прошивок открыты: Aura Studio и так сообщает о новых версиях без всего этого. Токен только для чтения лишь повышает лимит запросов к API GitHub (полезно, если вы делите соединение со множеством других запросов); установка прошивки от него никогда не зависит, потому что она входит в приложение.","Les dépôts des firmwares sont publics : Aura Studio vous signale déjà les nouvelles versions sans rien de tout cela. Un jeton en lecture seule ne fait qu’augmenter la limite de requêtes de l’API GitHub (utile si vous partagez votre connexion avec beaucoup d’autres requêtes) ; l’installation du firmware n’en dépend jamais, car il est inclus dans l’app."
installer-home-view.actualizar-arranque,acción de riesgo,Actualizar el arranque,ブートローダーを更新,Bootloader aktualisieren,Обновить загрузчик,Mettre à jour le bootloader
installer-home-view.firmware-instalar-se-elige-extras-firmwa,acción de riesgo,Firmware a instalar: %@ -- se elige en Extras › Firmware,インストールするファームウェア: %@ — その他 › ファームウェアで選べます,Zu installierende Firmware: %@ – auswählbar unter Extras › Firmware,Прошивка для установки: %@ — выбирается в разделе Дополнения › Прошивка,Firmware à installer : %@ — se choisit dans Extras › Firmware
installer-home-view.restaurar-ipod-original,acción de riesgo,Restaurar iPod original,純正の iPod に復元,Original-iPod wiederherstellen,Восстановить оригинальный iPod,Restaurer l’iPod d’origine
installer-wizard-view.cancelar-instalacion,acción de riesgo,Cancelar instalación,インストールをキャンセル,Installation abbrechen,Отменить установку,Annuler l’installation
installer-wizard-view.continuar,acción de riesgo,Continuar,続ける,Fortfahren,Продолжить,Continuer
installer-wizard-view.detener,acción de riesgo,Detener,停止,Stoppen,Остановить,Arrêter
